id_partido,fecha,rival,posesion_barca,goles_barca
2936489711,"Wednesday November 5, 2014",Ajax,,0
2046986569,"Tuesday November 25, 2014",APOEL FC,,0
734762883,"Wednesday February 16, 2011",Arsenal,,2
2877968264,"Tuesday October 21, 2014",Ajax,,3
247915284,"Wednesday September 17, 2014",APOEL FC,,1
427255149,"Tuesday March 8, 2011",Arsenal,,3
305710489,"Wednesday May 17, 2006",Arsenal,,2
3901541334,"Tuesday November 4, 2008",Basel,,1
3665978002,"Wednesday April 8, 2009",Bayern Munich,,4
3058439297,"Wednesday May 6, 2015",Bayern Munich,,3
2327558886,"Wednesday April 5, 2006",Benfica,,2
3751565131,"Tuesday April 28, 2009",Chelsea,,0
1862612193,"Tuesday March 7, 2006",Chelsea,,1
312587718,"Wednesday October 20, 2010",FC Copenhagen,,2
163669189,"Wednesday March 11, 2009",Lyon,,5
1397392838,"Wednesday March 18, 2015",Manchester City,,1
1920658952,"Saturday May 28, 2011",Manchester United,,3
1244528538,"Wednesday May 27, 2009",Manchester United,,2
2105134653,"Wednesday April 26, 2006",Milan,,0
2906876591,"Tuesday September 14, 2010",Panathinaikos,,5
3769343567,"Wednesday November 2, 2005",Panathinaikos,,5
209727079,"Tuesday April 21, 2015",Paris Saint-Germain,,2
477976557,"Wednesday December 10, 2014",Paris Saint-Germain,,3
1787474204,"Tuesday May 3, 2011",Real Madrid,,1
644256419,"Tuesday December 7, 2010",Rubin Kazan,,2
519435061,"Tuesday December 9, 2008",Shakhtar Donetsk,,2
1807500392,"Wednesday April 6, 2011",Shakhtar Donetsk,,5
2677851521,"Tuesday September 16, 2008",Sporting CP,,3
3952036007,"Tuesday September 27, 2005",Udinese,,4
397917736,"Tuesday November 22, 2005",Werder Bremen,,3
1557471118,"Wednesday August 13, 2008",Wisła Kraków,,4
1526859631,"Wednesday October 22, 2008",Basel,,0
2185755613,"Tuesday April 14, 2009",Bayern Munich,,1
2351030834,"Tuesday May 12, 2015",Bayern Munich,,3
36386981,"Tuesday March 28, 2006",Benfica,,0
3523700492,"Wednesday May 6, 2009",Chelsea,,1
2978057826,"Tuesday November 2, 2010",FC Copenhagen,,1
804430251,"Saturday June 6, 2015",Juventus,,1
1538718126,"Tuesday February 24, 2009",Lyon,,1
216097974,"Tuesday February 24, 2015",Manchester City,,1
2234542152,"Wednesday November 24, 2010",Panathinaikos,,0
2892255717,"Tuesday September 30, 2014",Paris Saint-Germain,,3
4030629189,"Wednesday April 15, 2015",Paris Saint-Germain,,1
1904890530,"Wednesday April 27, 2011",Real Madrid,,0
2119380205,"Wednesday September 29, 2010",Rubin Kazan,,1
2314908959,"Tuesday April 12, 2011",Shakhtar Donetsk,,0
1864629331,"Wednesday October 1, 2008",Shakhtar Donetsk,,1
2489349317,"Wednesday November 26, 2008",Sporting CP,,2
2621348047,"Tuesday August 26, 2008",Wisła Kraków,,1
1119671309,"Wednesday March 31, 2010",Arsenal,,2
811079349,"Tuesday April 6, 2010",Arsenal,,4
1454484498,"Wednesday January 29, 2025",Atalanta,,2
2518727313,"Tuesday December 6, 2011",BATE Borisov,,4
4249962027,"Wednesday May 1, 2013",Bayern Munich,,0
1762238166,"Wednesday October 23, 2024",Bayern Munich,,4
1625913280,"Tuesday March 11, 2025",Benfica,,3
3549303109,"Wednesday December 5, 2012",Benfica,,0
1064559555,"Tuesday November 26, 2024",Brest,,3
488726885,"Tuesday March 4, 2008",Celtic,,1
663604594,"Tuesday October 23, 2012",Celtic,,2
4160621388,"Tuesday April 24, 2012",Chelsea,,2
3644679072,"Wednesday April 9, 2025",Dortmund,,4
3348664141,"Tuesday September 29, 2009",Dynamo Kyiv,,2
2666450370,"Tuesday November 24, 2009",Internazionale,,2
4128204904,"Wednesday April 28, 2010",Internazionale,,1
4261159470,"Wednesday April 30, 2025",Internazionale,,3
3695035955,"Wednesday October 24, 2018",Internazionale,,2
2272297403,"Wednesday March 7, 2012",Leverkusen,,7
301968115,"Wednesday May 1, 2019",Liverpool,,3
1133375982,"Wednesday March 13, 2019",Lyon,,5
2947926159,"Wednesday September 19, 2007",Lyon,,3
579903398,"Tuesday April 16, 2019",Manchester United,,3
2063922866,"Wednesday April 23, 2008",Manchester United,,0
2406645602,"Tuesday April 3, 2012",Milan,,3
1702439428,"Tuesday March 12, 2013",Milan,,4
2502649658,"Tuesday September 13, 2011",Milan,,2
164556935,"Wednesday April 10, 2013",Paris Saint-Germain,,1
2058519939,"Tuesday September 18, 2018",PSV Eindhoven,,4
934494683,"Wednesday November 7, 2007",Rangers,,2
593342821,"Tuesday October 20, 2009",Rubin Kazan,,1
1956748926,"Wednesday April 9, 2008",Schalke 04,,1
2663568509,"Wednesday September 19, 2012",Spartak Moscow,,3
2208806417,"Wednesday December 12, 2007",Stuttgart,,3
1973980865,"Wednesday March 17, 2010",Stuttgart,,4
3722402717,"Tuesday December 11, 2018",Tottenham Hotspur,,1
3891683120,"Wednesday October 19, 2011",Viktoria Plzeň,,2
2306976000,"Tuesday October 1, 2024",Young Boys,,5
119333816,"Wednesday September 28, 2011",BATE Borisov,,0
465517634,"Tuesday April 23, 2013",Bayern Munich,,4
3983383127,"Tuesday January 21, 2025",Benfica,,4
1735501813,"Tuesday October 2, 2012",Benfica,,0
1692674544,"Wednesday March 5, 2025",Benfica,,0
3136674987,"Wednesday February 20, 2008",Celtic,,2
1961724987,"Wednesday November 7, 2012",Celtic,,2
1939911265,"Wednesday April 18, 2012",Chelsea,,1
2860897283,"Wednesday February 22, 2006",Chelsea,,1
3419752693,"Tuesday April 15, 2025",Dortmund,,3
2929137246,"Wednesday December 11, 2024",Dortmund,,2
