season,player,nation,pos,age,mp,starts,min,goals,assists
2005-2006,Ronaldinho,br BRA,"FW,MF",25.0,12,12,1078,7,4
2005-2006,Samuel Eto'o,cm CMR,FW,24.0,11,11,978,6,0
2005-2006,Deco,pt POR,MF,27.0,11,11,969,2,0
2005-2006,Juliano Belletti,br BRA,"DF,MF",29.0,10,7,641,1,0
2005-2006,Mark van Bommel,nl NED,MF,28.0,9,7,513,1,0
2005-2006,Ludovic Giuly,fr FRA,"FW,MF",29.0,8,6,466,1,1
2005-2006,Henrik Larsson,se SWE,FW,33.0,10,5,560,1,3
2005-2006,Andrés Iniesta,es ESP,MF,21.0,10,5,519,1,2
2005-2006,Lionel Messi,ar ARG,"FW,MF",18.0,6,4,322,1,1
2005-2006,Gabri García,es ESP,"DF,MF",26.0,4,2,211,1,0
2005-2006,Santiago Ezquerro,es ESP,FW,28.0,4,1,157,1,0
2005-2006,Giovanni van Bronckhorst,nl NED,"DF,MF",30.0,13,13,1148,0,1
2005-2006,Carles Puyol,es ESP,DF,27.0,12,12,1080,0,0
2005-2006,Víctor Valdés,es ESP,GK,23.0,12,12,1080,0,0
2005-2006,Oleguer Presas,es ESP,DF,25.0,11,11,954,0,0
2005-2006,Rafael Márquez,mx MEX,"DF,MF",26.0,8,8,704,0,0
2005-2006,Edmílson,br BRA,"DF,MF",29.0,9,7,637,0,0
2005-2006,Thiago Motta,it ITA,MF,22.0,7,4,426,0,0
2005-2006,Xavi,es ESP,MF,25.0,4,4,313,0,0
2005-2006,Albert Jorquera,es ESP,GK,26.0,1,1,90,0,0
2005-2006,Sylvinho,br BRA,DF,31.0,1,0,22,0,0
2005-2006,Maxi López,ar ARG,FW,21.0,1,0,2,0,0
2006-2007,Eiður Guðjohnsen,is ISL,"FW,MF",27.0,8,4,395,3,0
2006-2007,Deco,pt POR,MF,28.0,8,8,720,2,3
2006-2007,Ronaldinho,br BRA,"FW,MF",26.0,8,8,720,2,2
2006-2007,Andrés Iniesta,es ESP,MF,22.0,8,5,482,2,0
2006-2007,Ludovic Giuly,fr FRA,"FW,MF",30.0,8,4,368,2,1
2006-2007,Carles Puyol,es ESP,DF,28.0,8,8,704,1,0
2006-2007,Lionel Messi,ar ARG,"FW,MF",19.0,5,4,385,1,0
2006-2007,Samuel Eto'o,cm CMR,FW,25.0,3,3,216,1,3
2006-2007,Víctor Valdés,es ESP,GK,24.0,8,8,720,0,0
2006-2007,Rafael Márquez,mx MEX,"DF,MF",27.0,6,6,513,0,0
2006-2007,Thiago Motta,it ITA,MF,23.0,6,6,443,0,0
2006-2007,Gianluca Zambrotta,it ITA,DF,29.0,6,5,457,0,0
2006-2007,Xavi,es ESP,MF,26.0,7,4,395,0,1
2006-2007,Giovanni van Bronckhorst,nl NED,"DF,MF",31.0,4,4,327,0,0
