Temporada,LaLiga,Champions_League,Copa_del_Rey,Supercopa_Espana,Supercopa_Europa,Mundial_Clubes,Titulos_Totales
2003-2004,2,No participó,Cuartos,No participó,No participó,No participó,0
2004-2005,1,Octavos,Treintaidosavos,No participó,No participó,No participó,1
2005-2006,1,Campeón,Cuartos,Campeón,No participó,No participó,3
2006-2007,2,Octavos,Semifinales,Campeón,Subcampeón,Subcampeón,1
2007-2008,3,Semifinales,Semifinales,No participó,No participó,No participó,0
2008-2009,1,Campeón,Campeón,No participó,No participó,No participó,3
2009-2010,1,Semifinales,Octavos,Campeón,Campeón,Campeón,4
2010-2011,1,Campeón,Subcampeón,Campeón,No participó,No participó,3
2011-2012,2,Semifinales,Campeón,Campeón,Campeón,Campeón,4
2012-2013,1,Semifinales,Semifinales,Subcampeón,No participó,No participó,1
2013-2014,2,Cuartos,Subcampeón,Campeón,No participó,No participó,1
2014-2015,1,Campeón,Campeón,No participó,No participó,No participó,3
2015-2016,1,Cuartos,Campeón,Subcampeón,Campeón,Campeón,4
2016-2017,2,Cuartos,Campeón,Campeón,No participó,No participó,2
2017-2018,1,Cuartos,Campeón,Subcampeón,No participó,No participó,2
2018-2019,1,Semifinales,Subcampeón,Campeón,No participó,No participó,2
2019-2020,2,Cuartos,Cuartos,Semifinales,No participó,No participó,0
2020-2021,3,Octavos,Campeón,Subcampeón,No participó,No participó,1
2021-2022,2,Fase de Grupos,Octavos,Semifinales,No participó,No participó,0
2022-2023,1,Fase de Grupos,Semifinales,Campeón,No participó,No participó,2
2023-2024,2,Cuartos,Cuartos,Subcampeón,No participó,No participó,0
2024-2025,1,Semifinales,Campeón,Campeón,No participó,No participó,3
