Jugador;Minutos;Goles;Asistencias;Amarillas;Rojas;Tiros_Totales;Tiros_Puerta;Porcentaje_Tiros_Puerta;Faltas_Cometidas;Faltas_Recibidas;Fueras_Juego;Centros;Intercepciones;Entradas_Ganadas;Penaltis_Provocados;Penaltis_Cometidos;Goles_Propia;Porterias_a_Cero;Porcentaje_Porterias_Cero;Goles_Encajados;Tiros_Puerta_Recibidos;Paradas;Porcentaje_Paradas;temporada
Phillip Cocu;3732;6;2;5;2;;14;;75;;;;;;;;0;;;;;;;2003-2004
Xavi;3644;5;9;3;0;;24;;38;;;;;;;;0;;;;;;;2003-2004
Giovanni van Bronckhorst;3457;0;2;6;0;;8;;80;;;;;;;;0;;;;;;;2003-2004
Víctor Valdés;3364;0;0;4;0;;0;;0;;;;;;;;0;13;39,4;31;147;116;78,9;2003-2004
Ronaldinho;3213;19;5;12;1;;51;;44;;;;;;;;0;;;;;;;2003-2004
Michael Reiziger;2965;0;1;7;0;;2;;45;;;;;;;;0;;;;;;;2003-2004
Carles Puyol;2912;0;0;9;1;;3;;34;;;;;;;;0;;;;;;;2003-2004
Javier Saviola;2721;17;5;5;1;;37;;40;;;;;;;;0;;;;;;;2003-2004
Luis García;2232;7;7;1;0;;10;;22;;;;;;;;0;;;;;;;2003-2004
Oleguer Presas;1918;0;;3;0;;;;;;;;;;;;0;;;;;;;2003-2004
Rafael Márquez;1624;1;0;5;1;;3;;20;;;;;;;;0;;;;;;;2003-2004
Edgar Davids;1468;1;0;6;1;;4;;42;;;;;;;;;;;;;;;2003-2004
Gerard López;1462;1;0;9;1;;5;;27;;;;;;;;0;;;;;;;2003-2004
Patrick Kluivert;1446;10;2;2;0;;18;;24;;;;;;;;0;;;;;;;2003-2004
Gabri García;1430;1;0;7;1;;5;;30;;;;;;;;0;;;;;;;2003-2004
Thiago Motta;1390;2;1;10;4;;4;;32;;;;;;;;0;;;;;;;2003-2004
Luis Enrique;1320;5;2;2;2;;11;;13;;;;;;;;0;;;;;;;2003-2004
Ricardo Quaresma;1224;1;1;6;1;;6;;33;;;;;;;;0;;;;;;;2003-2004
Marc Overmars;1035;1;1;0;0;;8;;5;;;;;;;;0;;;;;;;2003-2004
Rüştü Reçber;596;0;0;0;0;;0;;0;;;;;;;;0;0;0,0;6;20;14;70,0;2003-2004
Andrés Iniesta;562;1;2;0;0;;2;;18;;;;;;;;0;;;;;;;2003-2004
Óscar López;430;0;1;1;0;;0;;8;;;;;;;;0;;;;;;;2003-2004
Sergio García;232;0;1;0;0;;2;;4;;;;;;;;0;;;;;;;2003-2004
Patrik Andersson;208;0;0;0;0;;0;;5;;;;;;;;;;;;;;;2003-2004
Mario;180;0;0;0;0;;0;;1;;;;;;;;0;;;;;;;2003-2004
Albert Jorquera;180;0;0;0;0;;0;;0;;;;;;;;;0;0,0;2;12;10;83,3;2003-2004
Sergio Santamaría;146;0;0;0;0;;0;;2;;;;;;;;;;;;;;;2003-2004
Ramón Ros;6;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2003-2004
Víctor Valdés;3855;0;0;0;1;;0;;0;;;;;;;;;20;46,5;36;185;149;80,5;2004-2005
Carles Puyol;3785;0;1;7;0;;0;;46;;;;;;;;;;;;;;;2004-2005
Xavi;3772;3;7;6;0;;39;;40;;;;;;;;;;;;;;;2004-2005
Ronaldinho;3674;13;10;6;0;;66;;42;;;;;;;;;;;;;;;2004-2005
Samuel Eto'o;3629;28;5;4;0;;80;;42;;;;;;;;;;;;;;;2004-2005
