id_partido_sb,fecha,rival,competicion,formacion_oficial
18242,2015-06-06,Juventus,Champions League,4-3-3
18236,2011-05-28,Manchester United,Champions League,4-3-3
3750201,2009-05-27,Manchester United,Champions League,4-3-3
3773386,2020-10-31,Deportivo Alavés,La Liga,4-2-3-1
3773565,2021-01-09,Granada,La Liga,4-3-3
3773457,2021-05-16,Celta Vigo,La Liga,3-5-2
3773631,2021-02-07,Real Betis,La Liga,4-3-3
3773665,2021-03-06,Osasuna,La Liga,3-5-2
3773497,2021-04-10,Real Madrid,La Liga,3-4-3
3773660,2020-12-13,Levante UD,La Liga,4-2-3-1
3773593,2020-09-27,Villarreal,La Liga,4-2-3-1
3773466,2020-10-01,Celta Vigo,La Liga,4-2-3-1
3773585,2020-10-24,Real Madrid,La Liga,4-4-2
3773552,2021-01-03,Huesca,La Liga,4-3-3
3773672,2020-10-04,Sevilla,La Liga,4-2-3-1
3773587,2020-10-17,Getafe,La Liga,4-2-3-1
3773656,2020-11-21,Atlético Madrid,La Liga,4-2-3-1
3773377,2020-12-19,Valencia,La Liga,4-1-4-1
3773586,2021-04-29,Granada,La Liga,3-5-2
3773372,2021-05-08,Atlético Madrid,La Liga,3-5-2
3773387,2021-05-11,Levante UD,La Liga,3-5-2
3773695,2021-05-02,Valencia,La Liga,3-5-2
3773369,2021-03-15,Huesca,La Liga,3-4-2-1
3773661,2021-04-22,Getafe,La Liga,3-5-2
3773597,2021-03-21,Real Sociedad,La Liga,3-4-2-1
3773523,2020-12-16,Real Sociedad,La Liga,4-2-3-1
3773571,2020-12-22,Real Valladolid,La Liga,3-4-2-1
3773428,2020-12-05,Cádiz,La Liga,4-2-3-1
3764661,2021-01-06,Athletic Club,La Liga,4-3-3
3773526,2021-02-13,Deportivo Alavés,La Liga,4-3-3
3773474,2021-04-05,Real Valladolid,La Liga,3-4-2-1
3773625,2021-02-27,Sevilla,La Liga,3-5-2
3773403,2021-01-31,Athletic Club,La Liga,4-2-3-1
3773547,2020-11-29,Osasuna,La Liga,4-3-3
3773415,2021-02-21,Cádiz,La Liga,4-3-3
3764440,2021-02-24,Elche,La Liga,4-3-3
3773689,2021-04-25,Villarreal,La Liga,3-5-2
3773477,2020-11-07,Real Betis,La Liga,4-4-2
303731,2020-02-22,Eibar,La Liga,4-3-3
303532,2020-06-16,Leganés,La Liga,4-3-3
303516,2020-06-27,Celta Vigo,La Liga,4-3-3
303596,2019-12-18,Real Madrid,La Liga,4-3-3
303430,2019-09-24,Villarreal,La Liga,4-3-3
303725,2020-07-05,Villarreal,La Liga,4-1-2-1-2
303504,2019-11-02,Levante UD,La Liga,4-3-3
303451,2019-12-07,Mallorca,La Liga,4-3-3
303664,2019-12-14,Real Sociedad,La Liga,4-3-3
303682,2020-02-02,Levante UD,La Liga,4-3-3
303400,2020-01-25,Valencia,La Liga,3-5-2
303634,2020-07-16,Osasuna,La Liga,4-3-3
303421,2020-07-19,Deportivo Alavés,La Liga,4-3-3
303493,2020-06-23,Athletic Club,La Liga,4-3-3
303680,2020-07-11,Real Valladolid,La Liga,4-1-2-1-2
303479,2020-03-07,Real Sociedad,La Liga,4-3-3
303615,2020-07-08,Espanyol,La Liga,4-1-2-1-2
303696,2020-06-30,Atlético Madrid,La Liga,4-1-2-1-2
303487,2019-11-09,Celta Vigo,La Liga,4-3-3
303600,2019-10-29,Real Valladolid,La Liga,4-3-3
303548,2020-06-13,Mallorca,La Liga,4-3-3
303652,2020-01-04,Espanyol,La Liga,4-3-3
303674,2020-06-19,Sevilla,La Liga,4-4-2
303470,2020-03-01,Real Madrid,La Liga,4-4-2
303700,2019-10-19,Eibar,La Liga,4-3-3
303707,2020-02-09,Real Betis,La Liga,4-1-2-1-2
303666,2019-09-21,Granada,La Liga,4-3-3
303715,2019-11-23,Leganés,La Liga,4-2-3-1
303377,2020-02-15,Getafe,La Liga,4-3-3
303524,2019-12-01,Atlético Madrid,La Liga,4-3-3
303517,2019-12-21,Deportivo Alavés,La Liga,4-3-3
303610,2020-01-19,Granada,La Liga,3-5-2
303473,2019-10-06,Sevilla,La Liga,4-3-3
15978,2018-09-15,Real Sociedad,La Liga,4-3-3
15998,2018-09-26,Leganés,La Liga,4-3-3
16029,2018-10-20,Sevilla,La Liga,4-3-3
16073,2018-11-24,Atlético Madrid,La Liga,4-4-2
16086,2018-12-08,Espanyol,La Liga,4-3-3
16190,2019-02-23,Sevilla,La Liga,4-3-3
16109,2018-12-22,Celta Vigo,La Liga,4-3-3
16120,2019-01-06,Getafe,La Liga,4-3-3
16182,2019-02-16,Real Valladolid,La Liga,4-3-3
16215,2019-03-17,Real Betis,La Liga,4-4-2
16173,2019-02-10,Athletic Club,La Liga,4-3-3
16265,2019-04-20,Real Sociedad,La Liga,4-3-3
15946,2018-08-18,Deportivo Alavés,La Liga,4-4-2
16157,2019-02-02,Valencia,La Liga,4-3-3
16136,2019-01-20,Leganés,La Liga,4-3-3
16248,2019-04-06,Atlético Madrid,La Liga,4-3-3
16056,2018-11-11,Real Betis,La Liga,4-3-3
16289,2019-04-27,Levante UD,La Liga,4-3-3
16079,2018-12-02,Villarreal,La Liga,4-1-4-1
16149,2019-01-27,Girona,La Liga,4-3-3
16275,2019-04-23,Deportivo Alavés,La Liga,4-3-3
15973,2018-09-02,Huesca,La Liga,4-3-3
16317,2019-05-19,Eibar,La Liga,4-3-3
16131,2019-01-13,Eibar,La Liga,4-3-3
16205,2019-03-09,Rayo Vallecano,La Liga,4-3-3
16095,2018-12-16,Levante UD,La Liga,3-5-1-1
16306,2019-05-12,Getafe,La Liga,4-3-3
16010,2018-09-29,Athletic Club,La Liga,4-3-3
15986,2018-09-23,Girona,La Liga,4-3-3
16240,2019-04-02,Villarreal,La Liga,4-3-3
16023,2018-10-07,Valencia,La Liga,4-3-3
16196,2019-03-02,Real Madrid,La Liga,4-3-3
15956,2018-08-25,Real Valladolid,La Liga,4-3-3
16231,2019-03-30,Espanyol,La Liga,4-3-3
9880,2018-04-14,Valencia,La Liga,4-4-2
9912,2018-04-29,RC Deportivo La Coruña,La Liga,4-3-3
9924,2018-05-06,Real Madrid,La Liga,4-4-2
9855,2018-03-18,Athletic Club,La Liga,4-4-2
9827,2018-03-01,Las Palmas,La Liga,4-4-2
9799,2018-02-17,Eibar,La Liga,4-1-2-1-2
9636,2017-10-01,Las Palmas,La Liga,4-4-2
9609,2017-09-19,Eibar,La Liga,4-3-3
9575,2017-08-20,Real Betis,La Liga,4-4-1-1
9928,2018-05-09,Villarreal,La Liga,4-3-2-1
9736,2017-12-23,Real Madrid,La Liga,4-4-2
9742,2018-01-07,Levante UD,La Liga,4-4-2
9765,2018-01-21,Real Betis,La Liga,4-2-2-2
9661,2017-10-28,Athletic Club,La Liga,4-4-2
9592,2017-09-09,Espanyol,La Liga,4-4-2
9870,2018-04-07,Leganés,La Liga,4-2-3-1
9783,2018-02-04,Espanyol,La Liga,4-3-3
9700,2017-12-02,Celta Vigo,La Liga,4-1-2-1-2
9860,2018-03-31,Sevilla,La Liga,4-3-3
9695,2017-11-26,Valencia,La Liga,4-4-2
9794,2018-02-11,Getafe,La Liga,4-4-2
9717,2017-12-10,Villarreal,La Liga,4-4-2
9673,2017-11-04,Sevilla,La Liga,4-4-2
9650,2017-10-21,Málaga,La Liga,4-4-2
9620,2017-09-23,Girona,La Liga,4-4-2
9837,2018-03-04,Atlético Madrid,La Liga,4-4-2
