season,player,nation,pos,age,mp,starts,min,goals,assists
2003-2004,Ronaldinho,br BRA,"FW,MF",23.0,32,32,2677,15,5
2003-2004,Javier Saviola,ar ARG,FW,21.0,33,28,2274,14,5
2003-2004,Patrick Kluivert,nl NED,FW,27.0,21,11,1287,8,2
2003-2004,Phillip Cocu,nl NED,"DF,FW",32.0,36,36,3129,5,2
2003-2004,Xavi,es ESP,MF,23.0,36,34,3014,4,9
2003-2004,Luis García,es ESP,MF,25.0,25,23,1659,4,7
2003-2004,Luis Enrique,es ESP,"FW,MF",33.0,24,10,1022,3,2
2003-2004,Edgar Davids,nl NED,MF,30.0,18,18,1468,1,0
2003-2004,Rafael Márquez,mx MEX,"DF,MF",24.0,22,17,1388,1,0
2003-2004,Thiago Motta,it ITA,MF,20.0,20,13,1020,1,1
2003-2004,Gabri García,es ESP,"DF,MF",24.0,16,12,1082,1,0
2003-2004,Gerard López,es ESP,MF,24.0,19,11,1232,1,0
2003-2004,Ricardo Quaresma,pt POR,"FW,MF",19.0,22,10,1000,1,1
2003-2004,Marc Overmars,nl NED,"FW,MF",30.0,20,5,799,1,1
2003-2004,Andrés Iniesta,es ESP,MF,19.0,11,5,498,1,2
2003-2004,Giovanni van Bronckhorst,nl NED,"DF,MF",28.0,34,34,3007,0,2
2003-2004,Víctor Valdés,es ESP,GK,21.0,33,33,2914,0,0
2003-2004,Michael Reiziger,nl NED,DF,30.0,30,29,2488,0,1
2003-2004,Carles Puyol,es ESP,DF,25.0,27,27,2338,0,0
2003-2004,Oleguer Presas,es ESP,DF,23.0,18,17,1558,0,0
2003-2004,Rüştü Reçber,tr TUR,GK,30.0,4,3,326,0,0
2003-2004,Óscar López,es ESP,DF,23.0,6,2,311,0,1
2003-2004,Patrik Andersson,se SWE,DF,31.0,4,2,208,0,0
2003-2004,Sergio García,es ESP,"FW,MF",20.0,4,2,206,0,1
2003-2004,Albert Jorquera,es ESP,GK,24.0,2,2,180,0,0
2003-2004,Sergio Santamaría,es ESP,"FW,MF",23.0,4,1,146,0,0
2003-2004,Mario,es ESP,DF,21.0,1,1,90,0,0
2003-2004,Ramón Ros,es ESP,MF,22.0,1,0,6,0,0
2004-2005,Samuel Eto'o,cm CMR,FW,23.0,37,37,3036,24,3
2004-2005,Ludovic Giuly,fr FRA,"FW,MF",28.0,29,29,2080,11,4
2004-2005,Ronaldinho,br BRA,"FW,MF",24.0,35,35,3071,9,9
2004-2005,Deco,pt POR,MF,26.0,35,35,2947,8,11
2004-2005,Giovanni van Bronckhorst,nl NED,"DF,MF",29.0,29,27,2388,4,1
2004-2005,Xavi,es ESP,MF,24.0,36,36,3052,3,6
2004-2005,Rafael Márquez,mx MEX,"DF,MF",25.0,34,33,2715,3,4
2004-2005,Henrik Larsson,se SWE,FW,32.0,12,6,571,3,0
2004-2005,Andrés Iniesta,es ESP,MF,20.0,37,12,1657,2,2
2004-2005,Gerard López,es ESP,MF,25.0,13,2,302,2,0
2004-2005,Oleguer Presas,es ESP,DF,24.0,36,33,2926,1,1
2004-2005,Lionel Messi,ar ARG,"FW,MF",17.0,7,0,70,1,0
2004-2005,Carles Puyol,es ESP,DF,26.0,36,36,3109,0,1
2004-2005,Víctor Valdés,es ESP,GK,22.0,35,35,3135,0,0
2004-2005,Juliano Belletti,br BRA,"DF,MF",28.0,31,29,2536,0,4
2004-2005,Sylvinho,br BRA,DF,30.0,21,11,960,0,1
2004-2005,Damià Abella,es ESP,"DF,MF",22.0,9,5,458,0,0
2004-2005,Edmílson,br BRA,"DF,MF",28.0,6,4,362,0,0
2004-2005,Thiago Motta,it ITA,MF,21.0,8,3,273,0,0
