ID_Partido,Temporada,Fecha,Rival,URL_FBref
5000,2021-2022,2021-08-15,Real Sociedad,https://fbref.com/en/matches/23eddc5a/Barcelona-Real-Sociedad-August-15-2021-La-Liga
5001,2021-2022,2021-08-21,Athletic Club,https://fbref.com/en/matches/102335b0/Athletic-Club-Barcelona-August-21-2021-La-Liga
5002,2021-2022,2021-08-29,Getafe,https://fbref.com/en/matches/c2818e17/Barcelona-Getafe-August-29-2021-La-Liga
5003,2021-2022,2021-09-20,Granada,https://fbref.com/en/matches/0bd211ca/Barcelona-Granada-September-20-2021-La-Liga
5004,2021-2022,2021-09-23,Cádiz,https://fbref.com/en/matches/fadbd5f6/Cadiz-Barcelona-September-23-2021-La-Liga
5005,2021-2022,2021-09-26,Levante,https://fbref.com/en/matches/eafd9715/Barcelona-Levante-September-26-2021-La-Liga
5006,2021-2022,2021-10-02,Atlético Madrid,https://fbref.com/en/matches/5678d0a8/Atletico-Madrid-Barcelona-October-2-2021-La-Liga
5007,2021-2022,2021-10-17,Valencia,https://fbref.com/en/matches/2a3e67f6/Barcelona-Valencia-October-17-2021-La-Liga
5008,2021-2022,2021-10-24,Real Madrid,https://fbref.com/en/matches/5225b8b5/El-Clasico-Barcelona-Real-Madrid-October-24-2021-La-Liga
5009,2021-2022,2021-10-27,Rayo Vallecano,https://fbref.com/en/matches/be333306/Rayo-Vallecano-Barcelona-October-27-2021-La-Liga
5010,2021-2022,2021-10-30,Alavés,https://fbref.com/en/matches/ddb09e34/Barcelona-Alaves-October-30-2021-La-Liga
5011,2021-2022,2021-11-06,Celta Vigo,https://fbref.com/en/matches/59a8ec39/Celta-Vigo-Barcelona-November-6-2021-La-Liga
5012,2021-2022,2021-11-20,Espanyol,https://fbref.com/en/matches/abb1da57/Barcelona-Espanyol-November-20-2021-La-Liga
5013,2021-2022,2021-11-27,Villarreal,https://fbref.com/en/matches/33e27dc0/Villarreal-Barcelona-November-27-2021-La-Liga
5014,2021-2022,2021-12-04,Real Betis,https://fbref.com/en/matches/268dc2a6/Barcelona-Real-Betis-December-4-2021-La-Liga
5015,2021-2022,2021-12-12,Osasuna,https://fbref.com/en/matches/37eadcf7/Osasuna-Barcelona-December-12-2021-La-Liga
5016,2021-2022,2021-12-18,Elche,https://fbref.com/en/matches/611e1be5/Barcelona-Elche-December-18-2021-La-Liga
5017,2021-2022,2021-12-21,Sevilla,https://fbref.com/en/matches/55b23c59/Sevilla-Barcelona-December-21-2021-La-Liga
5018,2021-2022,2022-01-02,Mallorca,https://fbref.com/en/matches/800b362a/Mallorca-Barcelona-January-2-2022-La-Liga
5019,2021-2022,2022-01-08,Granada,https://fbref.com/en/matches/b9ea6288/Granada-Barcelona-January-8-2022-La-Liga
5020,2021-2022,2022-01-23,Alavés,https://fbref.com/en/matches/c80aedca/Alaves-Barcelona-January-23-2022-La-Liga
5021,2021-2022,2022-02-06,Atlético Madrid,https://fbref.com/en/matches/ce2db225/Barcelona-Atletico-Madrid-February-6-2022-La-Liga
5022,2021-2022,2022-02-13,Espanyol,https://fbref.com/en/matches/682e2c2a/Espanyol-Barcelona-February-13-2022-La-Liga
5023,2021-2022,2022-02-20,Valencia,https://fbref.com/en/matches/368c0ef5/Valencia-Barcelona-February-20-2022-La-Liga
5024,2021-2022,2022-02-27,Athletic Club,https://fbref.com/en/matches/7d192eac/Barcelona-Athletic-Club-February-27-2022-La-Liga
5025,2021-2022,2022-03-06,Elche,https://fbref.com/en/matches/3f2a5af5/Elche-Barcelona-March-6-2022-La-Liga
5026,2021-2022,2022-03-13,Osasuna,https://fbref.com/en/matches/34cda9be/Barcelona-Osasuna-March-13-2022-La-Liga
5027,2021-2022,2022-03-20,Real Madrid,https://fbref.com/en/matches/e6a099a7/El-Clasico-Real-Madrid-Barcelona-March-20-2022-La-Liga
5028,2021-2022,2022-04-03,Sevilla,https://fbref.com/en/matches/7710201e/Barcelona-Sevilla-April-3-2022-La-Liga
5029,2021-2022,2022-04-10,Levante,https://fbref.com/en/matches/daab4bf0/Levante-Barcelona-April-10-2022-La-Liga
5030,2021-2022,2022-04-18,Cádiz,https://fbref.com/en/matches/e206a428/Barcelona-Cadiz-April-18-2022-La-Liga
5031,2021-2022,2022-04-21,Real Sociedad,https://fbref.com/en/matches/7e8b3ffd/Real-Sociedad-Barcelona-April-21-2022-La-Liga
5032,2021-2022,2022-04-24,Rayo Vallecano,https://fbref.com/en/matches/82dd9d2e/Barcelona-Rayo-Vallecano-April-24-2022-La-Liga
5033,2021-2022,2022-05-01,Mallorca,https://fbref.com/en/matches/c2369d86/Barcelona-Mallorca-May-1-2022-La-Liga
5034,2021-2022,2022-05-07,Real Betis,https://fbref.com/en/matches/aa0da874/Real-Betis-Barcelona-May-7-2022-La-Liga
5035,2021-2022,2022-05-10,Celta Vigo,https://fbref.com/en/matches/b811b679/Barcelona-Celta-Vigo-May-10-2022-La-Liga
5036,2021-2022,2022-05-15,Getafe,https://fbref.com/en/matches/8108aa10/Getafe-Barcelona-May-15-2022-La-Liga
5037,2021-2022,2022-05-22,Villarreal,https://fbref.com/en/matches/3afd4f9f/Barcelona-Villarreal-May-22-2022-La-Liga
5038,2022-2023,2022-08-13,Rayo Vallecano,https://fbref.com/en/matches/cbe0a303/Barcelona-Rayo-Vallecano-August-13-2022-La-Liga
5039,2022-2023,2022-08-21,Real Sociedad,https://fbref.com/en/matches/9a5e0f15/Real-Sociedad-Barcelona-August-21-2022-La-Liga
5040,2022-2023,2022-08-28,Valladolid,https://fbref.com/en/matches/4ed9f64b/Barcelona-Valladolid-August-28-2022-La-Liga
5041,2022-2023,2022-09-03,Sevilla,https://fbref.com/en/matches/7952eab7/Sevilla-Barcelona-September-3-2022-La-Liga
5042,2022-2023,2022-09-10,Cádiz,https://fbref.com/en/matches/50a0b6b9/Cadiz-Barcelona-September-10-2022-La-Liga
5043,2022-2023,2022-09-17,Elche,https://fbref.com/en/matches/edcc3e7a/Barcelona-Elche-September-17-2022-La-Liga
5044,2022-2023,2022-10-01,Mallorca,https://fbref.com/en/matches/5e73ad1a/Mallorca-Barcelona-October-1-2022-La-Liga
5045,2022-2023,2022-10-09,Celta Vigo,https://fbref.com/en/matches/a32c09d3/Barcelona-Celta-Vigo-October-9-2022-La-Liga
5046,2022-2023,2022-10-16,Real Madrid,https://fbref.com/en/matches/c1875f22/El-Clasico-Real-Madrid-Barcelona-October-16-2022-La-Liga
5047,2022-2023,2022-10-20,Villarreal,https://fbref.com/en/matches/1fc0e34e/Barcelona-Villarreal-October-20-2022-La-Liga
5048,2022-2023,2022-10-23,Athletic Club,https://fbref.com/en/matches/2fb55ba0/Barcelona-Athletic-Club-October-23-2022-La-Liga
5049,2022-2023,2022-10-29,Valencia,https://fbref.com/en/matches/9abb9c34/Valencia-Barcelona-October-29-2022-La-Liga
5050,2022-2023,2022-11-05,Almería,https://fbref.com/en/matches/b9cc54ac/Barcelona-Almeria-November-5-2022-La-Liga
5051,2022-2023,2022-11-08,Osasuna,https://fbref.com/en/matches/1eecb0cd/Osasuna-Barcelona-November-8-2022-La-Liga
5052,2022-2023,2022-12-31,Espanyol,https://fbref.com/en/matches/2af3934b/Barcelona-Espanyol-December-31-2022-La-Liga
5053,2022-2023,2023-01-08,Atlético Madrid,https://fbref.com/en/matches/3169fc9b/Atletico-Madrid-Barcelona-January-8-2023-La-Liga
5054,2022-2023,2023-01-22,Getafe,https://fbref.com/en/matches/09f83bbc/Barcelona-Getafe-January-22-2023-La-Liga
5055,2022-2023,2023-01-28,Girona,https://fbref.com/en/matches/05df662a/Girona-Barcelona-January-28-2023-La-Liga
5056,2022-2023,2023-02-01,Real Betis,https://fbref.com/en/matches/1826e512/Real-Betis-Barcelona-February-1-2023-La-Liga
5057,2022-2023,2023-02-05,Sevilla,https://fbref.com/en/matches/1ccc0d2c/Barcelona-Sevilla-February-5-2023-La-Liga
5058,2022-2023,2023-02-12,Villarreal,https://fbref.com/en/matches/44e57939/Villarreal-Barcelona-February-12-2023-La-Liga
5059,2022-2023,2023-02-19,Cádiz,https://fbref.com/en/matches/c3d1d09b/Barcelona-Cadiz-February-19-2023-La-Liga
5060,2022-2023,2023-02-26,Almería,https://fbref.com/en/matches/47134469/Almeria-Barcelona-February-26-2023-La-Liga
5061,2022-2023,2023-03-05,Valencia,https://fbref.com/en/matches/3dc648e6/Barcelona-Valencia-March-5-2023-La-Liga
5062,2022-2023,2023-03-12,Athletic Club,https://fbref.com/en/matches/11efb749/Athletic-Club-Barcelona-March-12-2023-La-Liga
5063,2022-2023,2023-03-19,Real Madrid,https://fbref.com/en/matches/fbf241b4/El-Clasico-Barcelona-Real-Madrid-March-19-2023-La-Liga
5064,2022-2023,2023-04-01,Elche,https://fbref.com/en/matches/15bdf085/Elche-Barcelona-April-1-2023-La-Liga
5065,2022-2023,2023-04-10,Girona,https://fbref.com/en/matches/495ec163/Barcelona-Girona-April-10-2023-La-Liga
5066,2022-2023,2023-04-16,Getafe,https://fbref.com/en/matches/acef62b2/Getafe-Barcelona-April-16-2023-La-Liga
5067,2022-2023,2023-04-23,Atlético Madrid,https://fbref.com/en/matches/92aae030/Barcelona-Atletico-Madrid-April-23-2023-La-Liga
5068,2022-2023,2023-04-26,Rayo Vallecano,https://fbref.com/en/matches/06840a85/Rayo-Vallecano-Barcelona-April-26-2023-La-Liga
5069,2022-2023,2023-04-29,Real Betis,https://fbref.com/en/matches/3da68242/Barcelona-Real-Betis-April-29-2023-La-Liga
5070,2022-2023,2023-05-02,Osasuna,https://fbref.com/en/matches/8bf7a09f/Barcelona-Osasuna-May-2-2023-La-Liga
5071,2022-2023,2023-05-14,Espanyol,https://fbref.com/en/matches/1c37a941/Espanyol-Barcelona-May-14-2023-La-Liga
5072,2022-2023,2023-05-20,Real Sociedad,https://fbref.com/en/matches/e0ef2dea/Barcelona-Real-Sociedad-May-20-2023-La-Liga
5073,2022-2023,2023-05-23,Valladolid,https://fbref.com/en/matches/d3913703/Valladolid-Barcelona-May-23-2023-La-Liga
5074,2022-2023,2023-05-28,Mallorca,https://fbref.com/en/matches/bfedb115/Barcelona-Mallorca-May-28-2023-La-Liga
5075,2022-2023,2023-06-04,Celta Vigo,https://fbref.com/en/matches/93e7ec48/Celta-Vigo-Barcelona-June-4-2023-La-Liga
5076,2023-2024,2023-08-13,Getafe,https://fbref.com/en/matches/b34ff242/Getafe-Barcelona-August-13-2023-La-Liga
5077,2023-2024,2023-08-20,Cádiz,https://fbref.com/en/matches/312852e3/Barcelona-Cadiz-August-20-2023-La-Liga
5078,2023-2024,2023-08-27,Villarreal,https://fbref.com/en/matches/b10c7abc/Villarreal-Barcelona-August-27-2023-La-Liga
5079,2023-2024,2023-09-03,Osasuna,https://fbref.com/en/matches/de343043/Osasuna-Barcelona-September-3-2023-La-Liga
5080,2023-2024,2023-09-16,Real Betis,https://fbref.com/en/matches/91deddae/Barcelona-Real-Betis-September-16-2023-La-Liga
5081,2023-2024,2023-09-23,Celta Vigo,https://fbref.com/en/matches/027eed9e/Barcelona-Celta-Vigo-September-23-2023-La-Liga
5082,2023-2024,2023-09-26,Mallorca,https://fbref.com/en/matches/c95852d8/Mallorca-Barcelona-September-26-2023-La-Liga
5083,2023-2024,2023-09-29,Sevilla,https://fbref.com/en/matches/c5fbae8a/Barcelona-Sevilla-September-29-2023-La-Liga
5084,2023-2024,2023-10-08,Granada,https://fbref.com/en/matches/e2ce9278/Granada-Barcelona-October-8-2023-La-Liga
5085,2023-2024,2023-10-22,Athletic Club,https://fbref.com/en/matches/5be40f3e/Barcelona-Athletic-Club-October-22-2023-La-Liga
5086,2023-2024,2023-10-28,Real Madrid,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
5087,2023-2024,2023-11-04,Real Sociedad,https://fbref.com/en/matches/a81185c4/Real-Sociedad-Barcelona-November-4-2023-La-Liga
5088,2023-2024,2023-11-12,Alavés,https://fbref.com/en/matches/3541e819/Barcelona-Alaves-November-12-2023-La-Liga
5089,2023-2024,2023-11-25,Rayo Vallecano,https://fbref.com/en/matches/01f34256/Rayo-Vallecano-Barcelona-November-25-2023-La-Liga
5090,2023-2024,2023-12-03,Atlético Madrid,https://fbref.com/en/matches/0012462a/Barcelona-Atletico-Madrid-December-3-2023-La-Liga
5091,2023-2024,2023-12-10,Girona,https://fbref.com/en/matches/36e35f1b/Barcelona-Girona-December-10-2023-La-Liga
5092,2023-2024,2023-12-16,Valencia,https://fbref.com/en/matches/ab58d4c0/Valencia-Barcelona-December-16-2023-La-Liga
5093,2023-2024,2023-12-20,Almería,https://fbref.com/en/matches/cb6ccdca/Barcelona-Almeria-December-20-2023-La-Liga
5094,2023-2024,2024-01-04,Las Palmas,https://fbref.com/en/matches/2181388a/Las-Palmas-Barcelona-January-4-2024-La-Liga
5095,2023-2024,2024-01-21,Real Betis,https://fbref.com/en/matches/cd2367fb/Real-Betis-Barcelona-January-21-2024-La-Liga
