ID_Partido,Fecha,Temporada,Rival,URL_FBref
55,2004-10-16,2004-2005,Espanyol,https://fbref.com/en/matches/b8462dd0/Espanyol-Barcelona-October-16-2004-La-Liga
57,2004-10-24,2004-2005,Osasuna,https://fbref.com/en/matches/02ff8c7d/Barcelona-Osasuna-October-24-2004-La-Liga
65,2004-12-04,2004-2005,Málaga,https://fbref.com/en/matches/b8902695/Barcelona-Malaga-December-4-2004-La-Liga
67,2004-12-11,2004-2005,Albacete,https://fbref.com/en/matches/d7ec258e/Albacete-Barcelona-December-11-2004-La-Liga
69,2004-12-21,2004-2005,Levante,https://fbref.com/en/matches/473c4f44/Barcelona-Levante-December-21-2004-La-Liga
86,2005-04-17,2004-2005,Getafe,https://fbref.com/en/matches/859bc6ad/Barcelona-Getafe-April-17-2005-La-Liga
88,2005-05-01,2004-2005,Albacete,https://fbref.com/en/matches/aabdac12/Barcelona-Albacete-May-1-2005-La-Liga
100,2005-10-01,2005-2006,Zaragoza,https://fbref.com/en/matches/f95b6bca/Barcelona-Zaragoza-October-1-2005-La-Liga
103,2005-10-22,2005-2006,Osasuna,https://fbref.com/en/matches/2688fc0f/Barcelona-Osasuna-October-22-2005-La-Liga
104,2005-10-26,2005-2006,Málaga,https://fbref.com/en/matches/2bd06fc0/Barcelona-Malaga-October-26-2005-La-Liga
107,2005-11-06,2005-2006,Getafe,https://fbref.com/en/matches/dcbf593d/Getafe-Barcelona-November-6-2005-La-Liga
108,2005-11-19,2005-2006,Real Madrid,https://fbref.com/en/matches/332d0527/El-Clasico-Real-Madrid-Barcelona-November-19-2005-La-Liga
110,2005-11-27,2005-2006,Racing Sant,https://fbref.com/en/matches/8472ed19/Barcelona-Racing-Santander-November-27-2005-La-Liga
111,2005-12-04,2005-2006,Villarreal,https://fbref.com/en/matches/85e189ac/Villarreal-Barcelona-December-4-2005-La-Liga
113,2005-12-11,2005-2006,Sevilla,https://fbref.com/en/matches/26fed2f9/Barcelona-Sevilla-December-11-2005-La-Liga
114,2005-12-17,2005-2006,Cádiz,https://fbref.com/en/matches/b4b2f07b/Cadiz-Barcelona-December-17-2005-La-Liga
115,2005-12-20,2005-2006,Celta Vigo,https://fbref.com/en/matches/3360a947/Barcelona-Celta-Vigo-December-20-2005-La-Liga
116,2006-01-07,2005-2006,Espanyol,https://fbref.com/en/matches/af130ed7/Espanyol-Barcelona-January-7-2006-La-Liga
117,2006-01-15,2005-2006,Athletic Club,https://fbref.com/en/matches/43a0e664/Barcelona-Athletic-Club-January-15-2006-La-Liga
118,2006-01-22,2005-2006,Alavés,https://fbref.com/en/matches/ab1c6013/Barcelona-Alaves-January-22-2006-La-Liga
119,2006-01-29,2005-2006,Mallorca,https://fbref.com/en/matches/d94fe859/Mallorca-Barcelona-January-29-2006-La-Liga
120,2006-02-05,2005-2006,Atlético Madrid,https://fbref.com/en/matches/aff2a4f6/Barcelona-Atletico-Madrid-February-5-2006-La-Liga
122,2006-02-18,2005-2006,Real Betis,https://fbref.com/en/matches/3a2b14c9/Barcelona-Real-Betis-February-18-2006-La-Liga
124,2006-02-25,2005-2006,Zaragoza,https://fbref.com/en/matches/f528e9c2/Zaragoza-Barcelona-February-25-2006-La-Liga
144,2006-08-28,2006-2007,Celta Vigo,https://fbref.com/en/matches/7811e6f4/Celta-Vigo-Barcelona-August-28-2006-La-Liga
145,2006-09-09,2006-2007,Osasuna,https://fbref.com/en/matches/5c7a478f/Barcelona-Osasuna-September-9-2006-La-Liga
147,2006-09-17,2006-2007,Racing Sant,https://fbref.com/en/matches/1244cbd4/Racing-Santander-Barcelona-September-17-2006-La-Liga
148,2006-09-24,2006-2007,Valencia,https://fbref.com/en/matches/23e84f5d/Barcelona-Valencia-September-24-2006-La-Liga
150,2006-09-30,2006-2007,Athletic Club,https://fbref.com/en/matches/1fb5842d/Athletic-Club-Barcelona-September-30-2006-La-Liga
151,2006-10-15,2006-2007,Sevilla,https://fbref.com/en/matches/887ee395/Barcelona-Sevilla-October-15-2006-La-Liga
153,2006-10-22,2006-2007,Real Madrid,https://fbref.com/en/matches/5775fe9c/El-Clasico-Real-Madrid-Barcelona-October-22-2006-La-Liga
156,2006-11-04,2006-2007,Dep La Coruña,https://fbref.com/en/matches/20bc8d8f/Deportivo-La-Coruna-Barcelona-November-4-2006-La-Liga
157,2006-11-12,2006-2007,Zaragoza,https://fbref.com/en/matches/c7ac3f12/Barcelona-Zaragoza-November-12-2006-La-Liga
171,2007-02-11,2006-2007,Racing Sant,https://fbref.com/en/matches/7ad410f8/Barcelona-Racing-Santander-February-11-2007-La-Liga
172,2007-02-18,2006-2007,Valencia,https://fbref.com/en/matches/fd09accd/Valencia-Barcelona-February-18-2007-La-Liga
174,2007-02-25,2006-2007,Athletic Club,https://fbref.com/en/matches/4eb946d7/Barcelona-Athletic-Club-February-25-2007-La-Liga
175,2007-03-03,2006-2007,Sevilla,https://fbref.com/en/matches/31affdf9/Sevilla-Barcelona-March-3-2007-La-Liga
177,2007-03-10,2006-2007,Real Madrid,https://fbref.com/en/matches/a0963463/El-Clasico-Barcelona-Real-Madrid-March-10-2007-La-Liga
178,2007-03-17,2006-2007,Recreativo,https://fbref.com/en/matches/03ff4dbc/Recreativo-Barcelona-March-17-2007-La-Liga
179,2007-03-31,2006-2007,Dep La Coruña,https://fbref.com/en/matches/a9c41d01/Barcelona-Deportivo-La-Coruna-March-31-2007-La-Liga
180,2007-04-07,2006-2007,Zaragoza,https://fbref.com/en/matches/f3031119/Zaragoza-Barcelona-April-7-2007-La-Liga
181,2007-04-15,2006-2007,Mallorca,https://fbref.com/en/matches/1bec7e0a/Barcelona-Mallorca-April-15-2007-La-Liga
182,2007-04-22,2006-2007,Villarreal,https://fbref.com/en/matches/2ca92ee0/Villarreal-Barcelona-April-22-2007-La-Liga
183,2007-04-29,2006-2007,Levante,https://fbref.com/en/matches/0189d722/Barcelona-Levante-April-29-2007-La-Liga
184,2007-05-05,2006-2007,Real Sociedad,https://fbref.com/en/matches/711370be/Real-Sociedad-Barcelona-May-5-2007-La-Liga
185,2007-05-13,2006-2007,Real Betis,https://fbref.com/en/matches/6e309b0f/Barcelona-Real-Betis-May-13-2007-La-Liga
186,2007-05-20,2006-2007,Atlético Madrid,https://fbref.com/en/matches/a34392cc/Atletico-Madrid-Barcelona-May-20-2007-La-Liga
187,2007-05-26,2006-2007,Getafe,https://fbref.com/en/matches/7b7b2e07/Barcelona-Getafe-May-26-2007-La-Liga
188,2007-06-09,2006-2007,Espanyol,https://fbref.com/en/matches/e02bec77/Barcelona-Espanyol-June-9-2007-La-Liga
189,2007-06-17,2006-2007,Gimnàstic,https://fbref.com/en/matches/8260eb59/Gimnastic-Barcelona-June-17-2007-La-Liga
190,2007-08-26,2007-2008,Racing Sant,https://fbref.com/en/matches/aac0e735/Racing-Santander-Barcelona-August-26-2007-La-Liga
191,2007-09-02,2007-2008,Athletic Club,https://fbref.com/en/matches/5013416b/Barcelona-Athletic-Club-September-2-2007-La-Liga
194,2007-09-22,2007-2008,Sevilla,https://fbref.com/en/matches/8a472826/Barcelona-Sevilla-September-22-2007-La-Liga
195,2007-09-26,2007-2008,Zaragoza,https://fbref.com/en/matches/9a52cbfa/Barcelona-Zaragoza-September-26-2007-La-Liga
196,2007-09-29,2007-2008,Levante,https://fbref.com/en/matches/e374fd28/Levante-Barcelona-September-29-2007-La-Liga
198,2007-10-07,2007-2008,Atlético Madrid,https://fbref.com/en/matches/65b0acde/Barcelona-Atletico-Madrid-October-7-2007-La-Liga
199,2007-10-20,2007-2008,Villarreal,https://fbref.com/en/matches/4bfebc75/Villarreal-Barcelona-October-20-2007-La-Liga
201,2007-10-28,2007-2008,Almería,https://fbref.com/en/matches/1c974be0/Barcelona-Almeria-October-28-2007-La-Liga
202,2007-11-01,2007-2008,Valladolid,https://fbref.com/en/matches/a8a850d9/Valladolid-Barcelona-November-1-2007-La-Liga
203,2007-11-04,2007-2008,Real Betis,https://fbref.com/en/matches/f27541cc/Barcelona-Real-Betis-November-4-2007-La-Liga
205,2007-11-10,2007-2008,Getafe,https://fbref.com/en/matches/b3da1eae/Getafe-Barcelona-November-10-2007-La-Liga
206,2007-11-24,2007-2008,Recreativo,https://fbref.com/en/matches/962fe4c1/Barcelona-Recreativo-November-24-2007-La-Liga
208,2007-12-01,2007-2008,Espanyol,https://fbref.com/en/matches/e3d267b8/Espanyol-Barcelona-December-1-2007-La-Liga
209,2007-12-09,2007-2008,Dep La Coruña,https://fbref.com/en/matches/f64d6576/Barcelona-Deportivo-La-Coruna-December-9-2007-La-Liga
