Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2020-2021,15,Jordi Alba,es ESP,"DF,MF",es Barcelona,31,1989,7,6,485,5.4,0,2,2,0,0,0,1,0,0.0,0.37,0.37,0.0,0.37,Matches
2020-2021,19,Carles Aleñá,es ESP,MF,es Barcelona,22,1998,3,1,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,37,Ronald Araújo,uy URU,DF,es Barcelona,21,1999,3,2,147,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,79,Martin Braithwaite,dk DEN,FW,es Barcelona,29,1991,6,2,233,2.6,3,1,4,2,1,1,0,0,1.16,0.39,1.55,0.77,1.16,Matches
2020-2021,87,Sergio Busquets,es ESP,MF,es Barcelona,32,1988,6,4,334,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,127,Philippe Coutinho,br BRA,MF,es Barcelona,28,1992,2,2,133,1.5,1,0,1,1,0,0,0,0,0.68,0.0,0.68,0.68,0.68,Matches
2020-2021,142,Konrad De La Fuente,us USA,FW,es Barcelona,19,2001,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,147,Ousmane Dembélé,fr FRA,"MF,FW",es Barcelona,23,1997,6,4,382,4.2,3,2,5,2,1,1,0,0,0.71,0.47,1.18,0.47,0.94,Matches
2020-2021,152,Sergiño Dest,us USA,"DF,MF",es Barcelona,19,2000,7,7,585,6.5,1,0,1,1,0,0,0,0,0.15,0.0,0.15,0.15,0.15,Matches
2020-2021,188,Ansu Fati,es ESP,MF,es Barcelona,17,2002,3,2,160,1.8,1,2,3,1,0,0,0,0,0.56,1.13,1.69,0.56,1.69,Matches
2020-2021,193,Matheus Fernandes,br BRA,MF,es Barcelona,22,1998,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,199,Junior Firpo,do DOM,DF,es Barcelona,23,1996,6,1,258,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,235,Antoine Griezmann,fr FRA,"FW,MF",es Barcelona,29,1991,7,6,501,5.6,2,0,2,2,0,0,1,0,0.36,0.0,0.36,0.36,0.36,Matches
2020-2021,295,Frenkie de Jong,nl NED,"MF,DF",es Barcelona,23,1997,7,6,585,6.5,0,1,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,Matches
2020-2021,367,Clément Lenglet,fr FRA,DF,es Barcelona,25,1995,8,7,559,6.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,432,Lionel Messi,ar ARG,"MF,FW",es Barcelona,33,1987,6,6,540,6.0,5,2,7,1,4,5,0,0,0.83,0.33,1.17,0.17,0.5,Matches
2020-2021,439,Óscar Mingueza,es ESP,DF,es Barcelona,21,1999,5,3,243,2.7,0,1,1,0,0,0,1,0,0.0,0.37,0.37,0.0,0.37,Matches
2020-2021,447,Ilaix Moriba,gn GUI,MF,es Barcelona,17,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,470,Neto,br BRA,GK,es Barcelona,31,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,514,Pedri,es ESP,MF,es Barcelona,17,2002,7,6,491,5.5,1,1,2,1,0,0,0,0,0.18,0.18,0.37,0.18,0.37,Matches
2020-2021,526,Gerard Piqué,es ESP,DF,es Barcelona,33,1987,3,3,235,2.6,1,0,1,1,0,0,0,1,0.38,0.0,0.38,0.38,0.38,Matches
2020-2021,528,Miralem Pjanić,ba BIH,MF,es Barcelona,30,1990,8,6,492,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,536,Riqui Puig,es ESP,MF,es Barcelona,20,1999,4,0,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,562,Sergi Roberto,es ESP,DF,es Barcelona,28,1992,3,2,182,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,657,Marc-André ter Stegen,de GER,GK,es Barcelona,28,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,672,Francisco Trincão,pt POR,MF,es Barcelona,20,1999,7,4,334,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,681,Samuel Umtiti,fr FRA,DF,es Barcelona,26,1993,1,0,36,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
