Temporada,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
2024-2025,Raphinha,br BRA,MF,27,14,14,1222,13.6,13,8,21,13,0,0,0,0,0.96,0.59,1.55,0.96,1.55,Matches,Barcelona
2024-2025,Pedri,es ESP,MF,21,14,13,1109,12.3,0,2,2,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,Matches,Barcelona
2024-2025,Jules Koundé,fr FRA,DF,25,13,13,1104,12.3,0,3,3,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,Matches,Barcelona
2024-2025,Lamine Yamal,es ESP,MF,17,13,13,1094,12.2,5,3,8,5,0,0,0,0,0.41,0.25,0.66,0.41,0.66,Matches,Barcelona
2024-2025,Pau Cubarsí,es ESP,DF,17,13,12,977,10.9,0,1,1,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,Matches,Barcelona
2024-2025,Robert Lewandowski,pl POL,FW,35,13,12,975,10.8,11,0,11,8,3,3,0,0,1.02,0.00,1.02,0.74,0.74,Matches,Barcelona
2024-2025,Iñigo Martínez,es ESP,DF,33,11,11,954,10.6,2,1,3,2,0,0,3,0,0.19,0.09,0.28,0.19,0.28,Matches,Barcelona
2024-2025,Alejandro Balde,es ESP,DF,20,10,9,803,8.9,0,2,2,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches,Barcelona
2024-2025,Frenkie de Jong,nl NED,MF,27,13,8,804,8.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Barcelona
2024-2025,Wojciech Szczęsny,pl POL,GK,34,8,8,750,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Barcelona
2024-2025,Marc Casado,es ESP,MF,20,10,7,633,7.0,0,2,2,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,Matches,Barcelona
2024-2025,Dani Olmo,es ESP,MF,26,9,6,435,4.8,2,1,3,2,0,0,0,0,0.41,0.21,0.62,0.41,0.62,Matches,Barcelona
2024-2025,Iñaki Peña,es ESP,GK,25,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Barcelona
2024-2025,Gerard Martín,es ESP,DF,22,8,5,446,5.0,0,3,3,0,0,0,0,0,0.00,0.61,0.61,0.00,0.61,Matches,Barcelona
2024-2025,Ronald Araújo,uy URU,DF,25,8,4,523,5.8,1,0,1,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches,Barcelona
2024-2025,Fermin López,es ESP,MF,21,11,4,453,5.0,1,3,4,1,0,0,1,0,0.20,0.60,0.79,0.20,0.79,Matches,Barcelona
2024-2025,Ferrán Torres,es ESP,FW,24,11,3,426,4.7,3,1,4,3,0,0,1,0,0.63,0.21,0.85,0.63,0.85,Matches,Barcelona
2024-2025,Gavi,es ESP,MF,19,10,3,301,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Barcelona
2024-2025,Eric García,es ESP,"DF,MF",23,9,3,276,3.1,2,0,2,2,0,0,0,1,0.65,0.00,0.65,0.65,0.65,Matches,Barcelona
2024-2025,Marc-André ter Stegen,de GER,GK,32,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Barcelona
2024-2025,Pau Victor,es ESP,FW,22,6,0,53,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Barcelona
2024-2025,Héctor Fort,es ESP,DF,17,2,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Barcelona
