Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2020-2021,9,Jordi Alba,es ESP,"DF,MF",Barcelona,31,1989,35,34,3025,33.6,3,5,8,3,0,0,9,0,0.09,0.15,0.24,0.09,0.24,Matches
2020-2021,15,Carles Aleñá,es ESP,MF,Barcelona,22,1998,2,0,48,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,30,Ronald Araújo,uy URU,DF,Barcelona,21,1999,24,16,1510,16.8,2,1,3,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18,Matches
2020-2021,68,Martin Braithwaite,dk DEN,"FW,MF",Barcelona,29,1991,29,11,1175,13.1,2,2,4,2,0,1,3,0,0.15,0.15,0.31,0.15,0.31,Matches
2020-2021,77,Sergio Busquets,es ESP,MF,Barcelona,32,1988,36,32,2517,28.0,0,5,5,0,0,0,9,0,0.0,0.18,0.18,0.0,0.18,Matches
2020-2021,118,Philippe Coutinho,br BRA,MF,Barcelona,28,1992,12,8,654,7.3,2,2,4,2,0,0,0,0,0.28,0.28,0.55,0.28,0.55,Matches
2020-2021,125,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,23,1997,30,19,1774,19.7,6,3,9,6,0,0,2,0,0.3,0.15,0.46,0.3,0.46,Matches
2020-2021,126,Sergiño Dest,us USA,"MF,DF",Barcelona,19,2000,30,23,1909,21.2,2,1,3,2,0,0,1,0,0.09,0.05,0.14,0.09,0.14,Matches
2020-2021,159,Ansu Fati,es ESP,"MF,FW",Barcelona,17,2002,7,6,431,4.8,4,0,4,4,0,0,1,0,0.84,0.0,0.84,0.84,0.84,Matches
2020-2021,175,Junior Firpo,do DOM,"MF,DF",Barcelona,23,1996,7,3,289,3.2,1,1,2,1,0,0,2,0,0.31,0.31,0.62,0.31,0.62,Matches
2020-2021,215,Antoine Griezmann,fr FRA,"FW,MF",Barcelona,29,1991,36,32,2604,28.9,13,7,20,12,1,2,4,0,0.45,0.24,0.69,0.41,0.66,Matches
2020-2021,252,Frenkie de Jong,nl NED,"MF,DF",Barcelona,23,1997,37,35,3154,35.0,3,4,7,3,0,0,5,0,0.09,0.11,0.2,0.09,0.2,Matches
2020-2021,293,Clément Lenglet,fr FRA,DF,Barcelona,25,1995,33,29,2475,27.5,1,0,1,1,0,0,11,2,0.04,0.0,0.04,0.04,0.04,Matches
2020-2021,344,Lionel Messi,ar ARG,"FW,MF",Barcelona,33,1987,35,33,3023,33.6,30,9,39,27,3,5,4,0,0.89,0.27,1.16,0.8,1.07,Matches
2020-2021,352,Óscar Mingueza,es ESP,DF,Barcelona,21,1999,27,23,1901,21.1,2,2,4,2,0,0,4,0,0.09,0.09,0.19,0.09,0.19,Matches
2020-2021,371,Ilaix Moriba,gn GUI,MF,Barcelona,17,2003,14,4,542,6.0,1,2,3,1,0,0,1,0,0.17,0.33,0.5,0.17,0.5,Matches
2020-2021,389,Neto,br BRA,GK,Barcelona,31,1989,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,421,Pedri,es ESP,MF,Barcelona,17,2002,37,28,2415,26.8,3,3,6,3,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
2020-2021,435,Gerard Piqué,es ESP,DF,Barcelona,33,1987,18,18,1481,16.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,436,Miralem Pjanić,ba BIH,MF,Barcelona,30,1990,19,6,627,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,447,Riqui Puig,es ESP,MF,Barcelona,20,1999,14,2,292,3.2,1,0,1,1,0,0,1,0,0.31,0.0,0.31,0.31,0.31,Matches
2020-2021,469,Sergi Roberto,es ESP,"DF,MF",Barcelona,28,1992,15,9,946,10.5,1,2,3,1,0,0,1,0,0.1,0.19,0.29,0.1,0.29,Matches
2020-2021,531,Marc-André ter Stegen,de GER,GK,Barcelona,28,1992,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2020-2021,540,Francisco Trincão,pt POR,FW,Barcelona,20,1999,28,3,706,7.8,3,2,5,3,0,0,1,0,0.38,0.25,0.64,0.38,0.64,Matches
2020-2021,542,Samuel Umtiti,fr FRA,DF,Barcelona,26,1993,13,6,645,7.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
