Temporada,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
2023-2024,Alejandro Balde,es ESP,DF,19.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2023-2024,Andreas Christensen,dk DEN,DF,27.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2023-2024,İlkay Gündoğan,de GER,MF,32.0,2,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,Matches,Barcelona
2023-2024,Frenkie de Jong,nl NED,MF,26.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2023-2024,Jules Koundé,fr FRA,DF,24.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2023-2024,Robert Lewandowski,pl POL,FW,34.0,2,2,180.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Matches,Barcelona
2023-2024,Iñaki Peña,es ESP,GK,24.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2023-2024,Ronald Araújo,uy URU,DF,24.0,2,2,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2023-2024,Sergi Roberto,es ESP,MF,31.0,2,2,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2023-2024,Ferrán Torres,es ESP,"MF,FW",23.0,2,2,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2023-2024,Pedri,es ESP,MF,20.0,2,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2023-2024,Raphinha,br BRA,FW,26.0,1,1,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2023-2024,Lamine Yamal,es ESP,"FW,MF",16.0,2,0,79.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.14,0.0,1.14,1.14,1.14,Matches,Barcelona
2023-2024,João Félix,pt POR,"FW,MF",23.0,2,0,60.0,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,1.5,Matches,Barcelona
2023-2024,Fermin López,es ESP,MF,20.0,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2023-2024,Ander Astralaga,es ESP,GK,19.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2023-2024,Marc Casado,es ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2023-2024,Pau Cubarsí,es ESP,DF,16.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2023-2024,Héctor Fort,es ESP,DF,16.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2023-2024,Marc Guiu,es ESP,FW,17.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2023-2024,Diego Kochen,us USA,GK,17.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2023-2024,Oriol Romeu,es ESP,MF,31.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2023-2024,Vitor Roque,br BRA,FW,18.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
