Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
19,Marcos Alonso,es ESP,DF,es Barcelona,32,1990,1.5,,,,,,,,,,,,,,,,,,,,,Matches
31,Ronald Araújo,uy URU,DF,es Barcelona,24,1999,7.3,,,,,,,,,,,,,,,,,,,,,Matches
52,Alejandro Balde,es ESP,DF,es Barcelona,19,2003,3.7,,,,,,,,,,,,,,,,,,,,,Matches
105,João Cancelo,pt POR,DF,es Barcelona,29,1994,9.0,,,,,,,,,,,,,,,,,,,,,Matches
113,Marc Casado,es ESP,MF,es Barcelona,19,2003,0.3,,,,,,,,,,,,,,,,,,,,,Matches
122,Andreas Christensen,dk DEN,"DF,MF",es Barcelona,27,1996,4.9,,,,,,,,,,,,,,,,,,,,,Matches
137,Pau Cubarsí,es ESP,DF,es Barcelona,16,2007,3.0,,,,,,,,,,,,,,,,,,,,,Matches
190,João Félix,pt POR,FW,es Barcelona,23,1999,4.1,,,,,,,,,,,,,,,,,,,,,Matches
203,Héctor Fort,es ESP,DF,es Barcelona,16,2006,0.7,,,,,,,,,,,,,,,,,,,,,Matches
220,Gavi,es ESP,MF,es Barcelona,18,2004,2.5,,,,,,,,,,,,,,,,,,,,,Matches
250,Marc Guiu,es ESP,FW,es Barcelona,17,2006,0.4,,,,,,,,,,,,,,,,,,,,,Matches
252,İlkay Gündoğan,de GER,MF,es Barcelona,32,1990,9.3,,,,,,,,,,,,,,,,,,,,,Matches
300,Frenkie de Jong,nl NED,MF,es Barcelona,26,1997,4.4,,,,,,,,,,,,,,,,,,,,,Matches
344,Jules Koundé,fr FRA,DF,es Barcelona,24,1998,8.0,,,,,,,,,,,,,,,,,,,,,Matches
370,Robert Lewandowski,pl POL,FW,es Barcelona,34,1988,8.2,,,,,,,,,,,,,,,,,,,,,Matches
384,Fermin López,es ESP,MF,es Barcelona,20,2003,3.1,,,,,,,,,,,,,,,,,,,,,Matches
413,Iñigo Martínez,es ESP,DF,es Barcelona,32,1991,3.5,,,,,,,,,,,,,,,,,,,,,Matches
521,Pedri,es ESP,"MF,FW",es Barcelona,20,2002,3.7,,,,,,,,,,,,,,,,,,,,,Matches
526,Iñaki Peña,es ESP,GK,es Barcelona,24,1999,2.0,,,,,,,,,,,,,,,,,,,,,Matches
549,Raphinha,br BRA,"FW,MF",es Barcelona,26,1996,5.2,,,,,,,,,,,,,,,,,,,,,Matches
563,Sergi Roberto,es ESP,MF,es Barcelona,31,1992,2.3,,,,,,,,,,,,,,,,,,,,,Matches
568,Oriol Romeu,es ESP,MF,es Barcelona,31,1991,3.8,,,,,,,,,,,,,,,,,,,,,Matches
646,Marc-André ter Stegen,de GER,GK,es Barcelona,31,1992,8.0,,,,,,,,,,,,,,,,,,,,,Matches
662,Ferrán Torres,es ESP,FW,es Barcelona,23,2000,4.2,,,,,,,,,,,,,,,,,,,,,Matches
710,Lamine Yamal,es ESP,"FW,MF",es Barcelona,16,2007,6.4,,,,,,,,,,,,,,,,,,,,,Matches
