Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
28,Ronald Araújo,uy URU,DF,es Barcelona,25,1999,8,4,523,5.8,1,0,1,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches
54,Alejandro Balde,es ESP,DF,es Barcelona,20,2003,10,9,803,8.9,0,2,2,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches
138,Marc Casado,es ESP,MF,es Barcelona,20,2003,10,7,633,7.0,0,2,2,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,Matches
151,Andreas Christensen,dk DEN,"DF,MF",es Barcelona,28,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
171,Pau Cubarsí,es ESP,DF,es Barcelona,17,2007,13,12,977,10.9,0,1,1,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,Matches
172,Andres Cuenca,es ESP,DF,es Barcelona,17,2007,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
214,Sergi Dominguez,es ESP,DF,es Barcelona,19,2005,2,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
245,Ansu Fati,es ESP,"FW,MF",es Barcelona,21,2002,4,0,41,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
254,Héctor Fort,es ESP,DF,es Barcelona,17,2006,2,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
271,Eric García,es ESP,"DF,MF",es Barcelona,23,2001,9,3,276,3.1,2,0,2,2,0,0,0,1,0.65,0.00,0.65,0.65,0.65,Matches
275,Gavi,es ESP,MF,es Barcelona,19,2004,10,3,301,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
370,Frenkie de Jong,nl NED,MF,es Barcelona,27,1997,13,8,804,8.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
421,Jules Koundé,fr FRA,DF,es Barcelona,25,1998,13,13,1104,12.3,0,3,3,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,Matches
450,Robert Lewandowski,pl POL,FW,es Barcelona,35,1988,13,12,975,10.8,11,0,11,8,3,3,0,0,1.02,0.00,1.02,0.74,0.74,Matches
460,Fermin López,es ESP,MF,es Barcelona,21,2003,11,4,453,5.0,1,3,4,1,0,0,1,0,0.20,0.60,0.79,0.20,0.79,Matches
491,Gerard Martín,es ESP,DF,es Barcelona,22,2002,8,5,446,5.0,0,3,3,0,0,0,0,0,0.00,0.61,0.61,0.00,0.61,Matches
497,Iñigo Martínez,es ESP,DF,es Barcelona,33,1991,11,11,954,10.6,2,1,3,2,0,0,3,0,0.19,0.09,0.28,0.19,0.28,Matches
590,Dani Olmo,es ESP,MF,es Barcelona,26,1998,9,6,435,4.8,2,1,3,2,0,0,0,0,0.41,0.21,0.62,0.41,0.62,Matches
622,Pedri,es ESP,MF,es Barcelona,21,2002,14,13,1109,12.3,0,2,2,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,Matches
624,Iñaki Peña,es ESP,GK,es Barcelona,25,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
654,Raphinha,br BRA,MF,es Barcelona,27,1996,14,14,1222,13.6,13,8,21,13,0,0,0,0,0.96,0.59,1.55,0.96,1.55,Matches
771,Wojciech Szczęsny,pl POL,GK,es Barcelona,34,1990,8,8,750,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
785,Marc-André ter Stegen,de GER,GK,es Barcelona,32,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
804,Pablo Torre,es ESP,MF,es Barcelona,21,2003,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
806,Ferrán Torres,es ESP,FW,es Barcelona,24,2000,11,3,426,4.7,3,1,4,3,0,0,1,0,0.63,0.21,0.85,0.63,0.85,Matches
839,Pau Victor,es ESP,FW,es Barcelona,22,2001,6,0,53,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
863,Lamine Yamal,es ESP,MF,es Barcelona,17,2007,13,13,1094,12.2,5,3,8,5,0,0,0,0,0.41,0.25,0.66,0.41,0.66,Matches
