Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
14,Demetrio Albertini,it ITA,"FW,MF",es Barcelona,32,1971,1,1,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Juliano Belletti,br BRA,"DF,MF",es Barcelona,28,1976,8,8,678,7.5,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches
91,Giovanni van Bronckhorst,nl NED,"DF,MF",es Barcelona,29,1975,8,7,631,7.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
170,Deco,pt POR,MF,es Barcelona,26,1977,7,7,630,7.0,2,1,3,2,0,0,0,0,0.29,0.14,0.43,0.29,0.43,Matches
200,Edmílson,br BRA,"DF,MF",es Barcelona,28,1976,1,1,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
208,Samuel Eto'o,cm CMR,FW,es Barcelona,23,1981,7,7,593,6.6,4,2,6,4,0,0,0,0,0.61,0.30,0.91,0.61,0.91,Matches
255,Ludovic Giuly,fr FRA,"FW,MF",es Barcelona,28,1976,6,5,364,4.0,1,0,1,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches
301,Andrés Iniesta,es ESP,MF,es Barcelona,20,1984,8,2,312,3.5,0,2,2,0,0,1,0,0,0.00,0.58,0.58,0.00,0.58,Matches
305,Javito,es ESP,"FW,MF",es Barcelona,20,1983,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
355,Henrik Larsson,se SWE,FW,es Barcelona,32,1971,4,1,144,1.6,1,0,1,1,0,0,0,0,0.62,0.00,0.62,0.62,0.62,Matches
371,Gerard López,es ESP,MF,es Barcelona,25,1979,3,2,186,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
372,Maxi López,ar ARG,FW,es Barcelona,20,1984,2,0,32,0.4,1,1,2,1,0,0,0,0,2.81,2.81,5.63,2.81,5.63,Matches
393,Rafael Márquez,mx MEX,"DF,MF",es Barcelona,25,1979,6,5,444,4.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
412,Lionel Messi,ar ARG,"FW,MF",es Barcelona,17,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
437,Fernando Navarro,es ESP,DF,es Barcelona,22,1982,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
507,Oleguer Presas,es ESP,DF,es Barcelona,24,1980,7,5,524,5.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
510,Carles Puyol,es ESP,DF,es Barcelona,26,1978,8,8,676,7.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
536,Sergio Rodríguez,es ESP,MF,es Barcelona,26,1978,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
540,Ronaldinho,br BRA,"FW,MF",es Barcelona,24,1980,7,7,603,6.7,4,1,5,2,2,3,1,0,0.60,0.15,0.75,0.30,0.45,Matches
614,Sylvinho,br BRA,DF,es Barcelona,30,1974,3,2,181,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
633,Víctor Valdés,es ESP,GK,es Barcelona,22,1982,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
643,Joan Verdú,es ESP,MF,es Barcelona,21,1983,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
661,Xavi,es ESP,MF,es Barcelona,24,1980,8,8,720,8.0,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches
