Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
Pedri,es ESP,MF,21,37,35,2879,32.0,4,5,9,4,0,0,3,0,0.13,0.16,0.28,0.13,0.28,Matches,es Barcelona
Raphinha,br BRA,"MF,FW",27,36,32,2839,31.5,18,9,27,16,2,2,4,0,0.57,0.29,0.86,0.51,0.79,Matches,es Barcelona
Robert Lewandowski,pl POL,FW,35,34,32,2667,29.6,27,2,29,24,3,4,1,0,0.91,0.07,0.98,0.81,0.88,Matches,es Barcelona
Lamine Yamal,es ESP,"MF,FW",17,35,31,2856,31.7,9,13,22,9,0,0,3,0,0.28,0.41,0.69,0.28,0.69,Matches,es Barcelona
Pau Cubarsí,es ESP,DF,17,35,29,2618,29.1,0,3,3,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches,es Barcelona
Jules Koundé,fr FRA,DF,25,32,29,2605,28.9,2,3,5,2,0,0,4,0,0.07,0.10,0.17,0.07,0.17,Matches,es Barcelona
Iñigo Martínez,es ESP,DF,33,28,28,2490,27.7,0,4,4,0,0,0,5,0,0.00,0.14,0.14,0.00,0.14,Matches,es Barcelona
Alejandro Balde,es ESP,DF,20,32,26,2284,25.4,0,4,4,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,es Barcelona
Marc Casado,es ESP,MF,20,23,20,1611,17.9,1,3,4,1,0,0,4,1,0.06,0.17,0.22,0.06,0.22,Matches,es Barcelona
Iñaki Peña,es ESP,GK,25,16,15,1396,15.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,es Barcelona
Wojciech Szczęsny,pl POL,GK,34,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,es Barcelona
Eric García,es ESP,"DF,MF",23,29,14,1566,17.4,2,3,5,2,0,0,4,0,0.11,0.17,0.29,0.11,0.29,Matches,es Barcelona
Gavi,es ESP,MF,19,26,14,1085,12.1,1,1,2,1,0,0,4,0,0.08,0.08,0.17,0.08,0.17,Matches,es Barcelona
Dani Olmo,es ESP,MF,26,25,13,1212,13.5,10,3,13,8,2,2,1,0,0.74,0.22,0.97,0.59,0.82,Matches,es Barcelona
Fermin López,es ESP,MF,21,28,12,1252,13.9,6,5,11,6,0,0,4,1,0.43,0.36,0.79,0.43,0.79,Matches,es Barcelona
Ferrán Torres,es ESP,"FW,MF",24,27,12,1106,12.3,10,6,16,10,0,0,1,1,0.81,0.49,1.30,0.81,1.30,Matches,es Barcelona
Gerard Martín,es ESP,DF,22,28,11,1038,11.5,1,3,4,1,0,0,2,0,0.09,0.26,0.35,0.09,0.35,Matches,es Barcelona
