ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2bb933a9-8a0b-4cbf-8c8c-fa40816ed359,1,,,15956,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 11302, 'name': 'Jordi Masip López'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11297, 'name': 'Javier Moyano Lujano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 11304, 'name': 'Francisco José Olivas Alba'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 11293, 'name': 'Fernando Calero Villa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 11294, 'name': 'Borja Fernández Fernández'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11303, 'name': 'Anuar Mohamed Tuhami'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 11300, 'name': 'Rubén Alcaraz Jiménez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 11291, 'name': 'Laureano Antonio Villa Suárez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 6760, 'name': 'Enes Ünal'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 11296, 'name': 'Óscar Plano Pedreño'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Real Valladolid,901,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e4327a98-e4c9-4134-9f0f-ea1ef5dd5c41,2,,,15956,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3b5a4f64-ec95-419b-b6b1-54c70f2605fa,3,,,15956,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,['28abce03-2a0c-4af0-b3a2-e948f34e04d6'],0,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,28abce03-2a0c-4af0-b3a2-e948f34e04d6,4,,,15956,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,['3b5a4f64-ec95-419b-b6b1-54c70f2605fa'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cb389518-8005-4d8e-be07-963a9c19a392,1685,,,15956,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,93,Real Valladolid,901,['523333e3-9dd8-4f9e-a999-caf0ff8562bf'],0,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,523333e3-9dd8-4f9e-a999-caf0ff8562bf,1686,,,15956,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,93,Real Valladolid,901,['cb389518-8005-4d8e-be07-963a9c19a392'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.914418,,,,,,,,,,,,e903210f-74f2-4b9c-8169-e717645be161,5,,"[61.0, 40.1]",15956,0,,,,,2.955647,,Left Foot,,,,"[50.9, 42.0]",,Ground Pass,,10.277159,,,,Sergio Busquets i Burgos,5203.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['7d2dbe79-f661-413f-a4b1-64ce30a85362'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.857,Pass,,2018/2019
,,,,,,,,,,,,,,,1.266712,,,,,,,,,,,,f006972a-6ac9-4246-9a2c-c12f0ec830b9,8,,"[52.5, 44.7]",15956,0,,,,,1.6207547,,Left Foot,,,,"[51.9, 56.7]",,Ground Pass,,12.014991,,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['658547c6-93ea-4edd-8ad6-cbdedd7be074'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.813,Pass,,2018/2019
,,,,,,,,,,,,,,,1.437839,,,,,,,,,,,,a3a6033b-e4c3-4c6d-9f64-258aac49dc4e,11,,"[49.6, 61.0]",15956,0,,,,,0.75251526,,Right Foot,,,,"[65.3, 75.7]",,Ground Pass,,21.507673,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['84149fc5-23d5-427c-9f5f-ad93847e42e9'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.120,Pass,,2018/2019
,,,,,,,,,,,,,,,1.09127,,,,,,,,,,,,29078382-6ebe-4a6b-b4e7-a9fcb828062b,14,,"[65.9, 75.4]",15956,0,,,,,-2.639769,,Right Foot,,,,"[54.6, 69.2]",,Ground Pass,,12.889143,,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['4960f6e6-50e7-4788-abb6-b96f3cafcb1d'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.865,Pass,,2018/2019
