bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c49b57c0-8b25-4183-acd7-b13a52464607,1,,,15978,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5573, 'name': 'Héctor Alfredo Moreno Herrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6704, 'name': 'Theo Bernard François Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6676, 'name': 'Igor Zubeldia Elorza'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 6695, 'name': 'Juan Miguel Jiménez López'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Real Sociedad,210,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,129dbbf1-1faf-48cd-a550-022a5154cb90,2,,,15978,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,19a741d4-8122-41b2-8ea6-02769da5ff5d,3,,,15978,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['957a518f-23a0-43c7-9b16-fce3911d3e3f'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,957a518f-23a0-43c7-9b16-fce3911d3e3f,4,,,15978,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['19a741d4-8122-41b2-8ea6-02769da5ff5d'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d3baf913-bfdc-47f4-b466-2deb40408d4f,1926,,,15978,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Barcelona,217,['c7c9d61b-433d-4136-ad3c-ea0f97f16284'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7c9d61b-433d-4136-ad3c-ea0f97f16284,1927,,,15978,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Barcelona,217,['d3baf913-bfdc-47f4-b466-2deb40408d4f'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,3.239211,,,,,,,,,,,,,d652dea1-a7c5-4140-9ae8-f893acd0b72d,5,,"[60.0, 40.0]",15978,0,True,,,-3.0648208,,Right Foot,,,"[50.9, 39.3]",,Ground Pass,,9.1268835,,,Héctor Alfredo Moreno Herrera,5573.0,,,,,,Kick Off,1,From Kick Off,Mikel Oyarzabal Ugarte,6685.0,Right Midfield,2,Real Sociedad,210,['1d614951-0549-465a-9a4c-106287f86e64'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.120,Pass,,2018/2019
,,,,,,,,,,,,,,,3.740729,,,,,,,,,,,,,13e796c1-812a-4c25-a910-05982c1652df,7,,"[49.9, 39.3]",15978,0,,,,-1.997986,,Left Foot,,,"[43.8, 25.9]",,High Pass,,14.723111,Incomplete,,,,,,,,,,1,From Kick Off,Héctor Alfredo Moreno Herrera,5573.0,Left Center Back,2,Real Sociedad,210,['46187568-527b-4502-be1d-8985a1d4c7c7'],5,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:05.397,Pass,,2018/2019
,,,,,,,,,,,,,,,1.529271,,,,,,,,,,,,,0fbebb10-09b0-454a-a1e3-79fdeb0a2038,10,,"[27.3, 23.9]",15978,0,,,,1.7025212,,Left Foot,,,"[23.1, 55.6]",,Low Pass,,31.977022,,,Nélson Cabral Semedo,6374.0,,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['bdca08b8-080b-4623-9b70-842566126ea3'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.315,Pass,,2018/2019
,,,,,,,,,,,,,,,1.871526,,,,,,,,,,,,,f99f883b-4973-47f0-a227-0774c4b79545,13,,"[26.1, 76.4]",15978,0,,,,-2.069485,,Right Foot,,,"[14.5, 55.1]",,Ground Pass,,24.253866,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,['6a0f55e5-f8bb-4e94-a549-a6f7052a5297'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.237,Pass,,2018/2019
