ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,30fc6c07-f0ea-48f6-b8c4-3b385b529073,1,,,15998,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leganés,205,,0,,,,,,,,,,,,,,,,"{'formation': 32221, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 17818, 'name': 'Rodrigo Tarín Higón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 6598, 'name': 'Unai Bustinza Martínez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 6601, 'name': 'Raúl García Carnero'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 11730, 'name': 'Jonathan Cristian Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 6667, 'name': 'Mikel Vesga Arruti'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6608, 'name': 'Nabil El Zhar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 16212, 'name': 'Óscar Rodríguez Arnaiz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 6301, 'name': 'Youssef En-Nesyri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 26}]}",Leganés,205,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,12be4231-3122-485c-81f6-f119c0973c7a,2,,,15998,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leganés,205,,0,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a5e725bf-81ea-416c-9850-aa174c767e0c,3,,,15998,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leganés,205,['ec3f3698-8aa3-4082-b239-b6e8278525b5'],0,,,,,,,,,,,,,,,,,Leganés,205,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ec3f3698-8aa3-4082-b239-b6e8278525b5,4,,,15998,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leganés,205,['a5e725bf-81ea-416c-9850-aa174c767e0c'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,26114f3c-9e02-4610-a2b9-7f761bd8c41b,2171,,,15998,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Barcelona,217,['97d80011-35c6-4fc4-8ff1-433c466f691a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,97d80011-35c6-4fc4-8ff1-433c466f691a,2172,,,15998,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Barcelona,217,['26114f3c-9e02-4610-a2b9-7f761bd8c41b'],0,,,,,,,,,,,,,,,,,Leganés,205,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,1.612992,,,,,,,,,,,286e4881-e6f3-4e0d-b870-186402bc22cb,5,,"[61.0, 41.0]",15998,0,,,,,3.1058936,,Right Foot,,"[33.0, 42.0]",,Ground Pass,,28.01785,,,,Unai Bustinza Martínez,6598.0,,,,,Kick Off,1,From Kick Off,Youssef En-Nesyri,6301.0,Center Forward,2,Leganés,205,['d4494141-e74a-4441-b567-45ba36697f7b'],2,,,,,,,,,,,,,,,,,Leganés,205,00:00:02.017,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.0891,,,,,,,,,,,9fd0a399-773d-4bef-883e-297dd26f40cf,8,,"[34.0, 42.0]",15998,0,,,,,1.5707964,,Right Foot,,"[34.0, 66.0]",,Ground Pass,,24.0,,,,Rodrigo Tarín Higón,17818.0,,,,,,1,From Kick Off,Unai Bustinza Martínez,6598.0,Center Back,2,Leganés,205,['3ffd9bdb-54bf-424d-9a13-638e843ee5ce'],4,,,,,,,,,,,,,,,,,Leganés,205,00:00:04.700,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.9809,,,,,,,,,,,daf33dec-e17d-4359-a256-7d1a500b609f,11,,"[35.0, 66.0]",15998,0,,,,,-2.077895,,Right Foot,,"[25.0, 48.0]",,Ground Pass,,20.59126,,,,Unai Bustinza Martínez,6598.0,,,,,,1,From Kick Off,Rodrigo Tarín Higón,17818.0,Right Center Back,2,Leganés,205,['28ec0e95-94f3-4099-afef-d1cf7319c8c1'],7,,,,,,,,,,,,,,,,,Leganés,205,00:00:07.289,Pass,,2018/2019
,,,,,,,,,,,,,,,,3.914459,,,,,,,,,,,3b9bc8ce-afd5-4a08-be9f-1d646bd51cec,15,,"[35.0, 68.0]",15998,0,,,,,0.17809294,,Right Foot,,"[85.0, 77.0]",,High Pass,,50.803543,,Incomplete,,Youssef En-Nesyri,6301.0,,,,,,1,From Kick Off,Unai Bustinza Martínez,6598.0,Center Back,2,Leganés,205,"['229b44ac-07c1-4def-85b6-72a394e23ae0', 'e46e2464-9076-43a4-9d53-46e9bb33a4fc']",11,,,,,,,,,,,,,,,,,Leganés,205,00:00:11.631,Pass,,2018/2019
