50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,94e5fbbd-fa9e-4486-80ad-e76190b8855c,1,,,,16023,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11634, 'name': 'Cristiano Piccini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 6891, 'name': 'Ezequiel Marcelo Garay'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6596, 'name': 'José Luis Gayà Peña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6583, 'name': 'Carlos Soler Barragán'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 4367, 'name': 'Gonçalo Manuel Ganchinho Guedes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c0c42505-3aea-4de5-b24d-073d382cf91b,2,,,,16023,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,58e3f581-f91c-4e50-8802-cfe68d20177f,3,,,,16023,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['bf49de76-6864-4fb5-9ee0-7dc5c81567f5'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bf49de76-6864-4fb5-9ee0-7dc5c81567f5,4,,,,16023,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['58e3f581-f91c-4e50-8802-cfe68d20177f'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b52d0e89-2950-4062-bd62-ba3a59b64903,2154,,,,16023,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,123,Valencia,207,['035f41e5-8277-4fc1-a2ab-954fd4f5115e'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,035f41e5-8277-4fc1-a2ab-954fd4f5115e,2155,,,,16023,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,123,Valencia,207,['b52d0e89-2950-4062-bd62-ba3a59b64903'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,1.002539,,,,,,,,,,,,74084acd-232b-433e-a51e-5c8cdc5704e8,5,,,"[60.0, 40.0]",16023,0,,,,-2.8926299,,Right Foot,,,,"[48.2, 37.0]",,Ground Pass,,12.175385,,,,Geoffrey Kondogbia,6589.0,,,,,Kick Off,1,From Kick Off,Kevin Gameiro,6401.0,Left Center Forward,2,Valencia,207,['52ebcfb2-f279-4e25-9f2a-e6bc7dbb540c'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.637,Pass,,2018/2019
,,,,,,,,,,,,,,,1.144451,,,,,,,,,,,,6eb4cfc0-f7b6-428c-999d-8e57bdba84fe,8,,,"[48.2, 31.1]",16023,0,,,,-1.5383753,,Left Foot,,,,"[48.8, 12.6]",,Ground Pass,,18.509727,,,,José Luis Gayà Peña,6596.0,,,,,,1,From Kick Off,Geoffrey Kondogbia,6589.0,Left Defensive Midfield,2,Valencia,207,['134ef67d-f36c-4a23-a9ad-cc3fe11ac72b'],2,,,,,,,,,,,,,,,,Valencia,207,00:00:02.588,Pass,,2018/2019
,,,,,,,,,,,,,,,1.603609,,,,,,,,,,,,d7c57409-0cbe-407b-91ee-454f39cabdca,11,,,"[48.4, 13.0]",16023,0,,,,2.5757384,,Left Foot,,,,"[33.6, 22.4]",,Ground Pass,,17.532825,,,,Gabriel Armando de Abreu,6746.0,,,,,,1,From Kick Off,José Luis Gayà Peña,6596.0,Left Back,2,Valencia,207,['c2680c4f-c1ba-45bb-aba1-d8946d03424f'],4,,,,,,,,,,,,,,,,Valencia,207,00:00:04.533,Pass,,2018/2019
,,,,,,,,,,,,,,,1.123852,,,,,,,,,,,,3fadf65c-1403-4749-a2d0-734c450f3551,14,,,"[34.6, 24.9]",16023,0,,,,1.1602901,,Right Foot,,,,"[43.0, 44.2]",,Ground Pass,,21.048754,,,,Daniel Parejo Muñoz,6595.0,,,,,,1,From Kick Off,Gabriel Armando de Abreu,6746.0,Left Center Back,2,Valencia,207,['ffa572db-facc-4b9c-b45f-0cad3ea1db7a'],7,,,,,,,,,,,,,,,,Valencia,207,00:00:07.475,Pass,,2018/2019
