ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,94823405-febc-413b-aaa2-e39a53d357d3,1,,,,16029,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,192afb5f-5a54-4b76-aace-6dca599a594f,2,,,,16029,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 11541, 'name': 'Tomáš Vaclík'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6825, 'name': 'Daniel Filipe Martins Carriço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5534, 'name': 'Simon Thorup Kjær'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 6919, 'name': 'Guilherme Antonio Arana Lopes'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5218, 'name': 'André Miguel Valente Silva'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,68384b6c-57ea-480d-860c-d5af6a79a076,3,,,,16029,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['0f8b5e07-167a-4203-b53b-313890cfe150'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0f8b5e07-167a-4203-b53b-313890cfe150,4,,,,16029,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['68384b6c-57ea-480d-860c-d5af6a79a076'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,60341057-b94c-473b-afed-f76754592563,1756,,,,16029,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,120,Sevilla,213,['8caf26ff-31c3-41a7-950a-fee31fa4f8ac'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8caf26ff-31c3-41a7-950a-fee31fa4f8ac,1757,,,,16029,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,120,Sevilla,213,['60341057-b94c-473b-afed-f76754592563'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,1.118874,,,,,,,,,,,,,,e1b8eaad-ee79-449a-a361-d652d875f0f3,5,,,"[60.0, 40.0]",16029,0,,,,3.1415927,,Right Foot,,,,"[48.0, 40.0]",,Ground Pass,,12.0,,,Sergio Busquets i Burgos,5203.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['0ec782ea-294c-4040-b0fb-c174566e79b8'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.013,Pass,,2018/2019
,,,,,,,,,,,,,,,0.718399,,,,,,,,,,,,,,5b94dc4f-690c-4799-9bc3-750b204dffd7,8,,,"[48.0, 40.0]",16029,0,,,,1.4994888,,Right Foot,,,,"[49.0, 54.0]",,Ground Pass,,14.035668,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['83ab1e0f-ee92-4afa-8c92-62656bf50553'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.927,Pass,,2018/2019
,,,,,,,,,,,,,,,0.956509,,,,,,,,,,,,,,aa7f4151-f0ce-4cbf-9c5a-3a181aefaa5e,11,,,"[49.0, 54.0]",16029,0,,,,-2.6779451,,Right Foot,,,,"[37.0, 48.0]",,Ground Pass,,13.416408,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['4dff9b90-a3c6-48a7-9ab6-cb7c5252cce3'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.701,Pass,,2018/2019
,,,,,,,,,,,,,,,2.003648,,,,,,,,,,,,,,6cca9f62-bd86-49ee-9707-dc7e44494cb5,14,,,"[37.0, 48.0]",16029,0,,,,-1.3617734,,Right Foot,,,,"[44.0, 15.0]",,Ground Pass,,33.734257,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['4923ba64-7da9-4d07-b45e-168629005cbb'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.587,Pass,,2018/2019
