50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,adbf520d-fe67-4b5b-b17b-f9434f7312c9,1,,,16079,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f4c08899-ea60-4e22-b723-0a914ec63e4e,2,,,16079,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 6755, 'name': 'Sergio Asenjo Andrés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6737, 'name': 'Alfonso Pedraza Sag'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 11385, 'name': 'Santiago Cáseres'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 16335, 'name': 'Samuel Chimerenka Chukwueze'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 6764, 'name': 'Pablo Fornals Malla'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Villarreal,222,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,361dd2f2-5f3e-4758-9171-964d909cb5f1,3,,,16079,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d2cae56a-64cc-417f-8f4e-700409ad0b75'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d2cae56a-64cc-417f-8f4e-700409ad0b75,4,,,16079,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['361dd2f2-5f3e-4758-9171-964d909cb5f1'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1548f8bf-113a-48ec-b54c-1febdf516324,2125,,,16079,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,122,Barcelona,217,['399924dc-b676-42cd-b245-91217bc6ed96'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,399924dc-b676-42cd-b245-91217bc6ed96,2126,,,16079,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,122,Barcelona,217,['1548f8bf-113a-48ec-b54c-1febdf516324'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.94351,,,,,,,,,,,,2cf339a3-965c-47bc-b62e-73d9926e792f,5,,"[60.0, 40.0]",16079,0,,,,,-2.8854413,,Left Foot,,,"[51.6, 37.8]",,Ground Pass,,8.683317,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['3720b86f-9b9d-462c-b003-c9b703290ecc'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.488,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.463188,,,,,,,,,,,,d19f51d5-9019-498b-8b24-afa74c226517,8,,"[51.6, 38.1]",16079,0,,,,,1.2386545,,Right Foot,,,"[64.5, 75.5]",,Ground Pass,,39.56223,,,,Ousmane Dembélé,5477.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['0ea57601-2e23-4abd-b70c-1fa2d5a2180d'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.395,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.404156,,,,,,,,,,,,d389e63d-88f3-4551-adc4-090516a3bc55,11,,"[65.6, 75.8]",16079,0,,,,,-2.1366506,,Left Foot,,,"[56.2, 61.0]",,Ground Pass,,17.532825,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Right Midfield,2,Barcelona,217,['0fd1f4db-1d96-47bc-8190-48071586fee7'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.716,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.827403,,,,,,,,,,,,33345569-b9da-41ed-b6a0-4aa7db311de0,14,,"[55.0, 64.1]",16079,0,,,,,-1.7920384,,Right Foot,,,"[47.6, 31.2]",,Ground Pass,,33.72195,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['03080ce6-1839-4fb3-8ae4-9de529daaffe'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.246,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.044225,,,,,,,,,,,,7151cea3-9f0d-4f09-a268-63c9c12a5fd1,17,,"[47.6, 31.2]",16079,0,,,,,-0.88448775,,Left Foot,,,"[55.3, 21.8]",,Ground Pass,,12.151132,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['c05e9ebe-2165-4c53-b32c-4553deb3e8b0'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.730,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.915341,,,,,,,,,,,,e4faf587-32e8-40a5-8d85-fc9648814ce0,20,,"[55.6, 24.4]",16079,0,,,,,1.8649296,,Right Foot,,,"[47.3, 51.8]",,Ground Pass,,28.62953,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Arturo Erasmo Vidal Pardo,8206.0,Left Center Midfield,2,Barcelona,217,['4a294ae7-d8cb-44a8-a6b4-197006e171ef'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.794,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.269874,,,,,,,,,,,,ae17622a-62c8-4bbd-aa9f-c2bdff6707d9,23,,"[48.1, 52.4]",16079,0,,,,,0.9637163,,Right Foot,,,"[62.2, 72.7]",,Ground Pass,,24.71639,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['4eb8bb6c-d4e6-448e-b50a-a7172867537e'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.646,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.053386,,,,,,,,,,,,34743f0e-efa4-462d-a41c-55a74b99f11a,26,,"[62.2, 72.7]",16079,0,,,,,0.2799498,,Right Foot,,,"[70.2, 75.0]",,Ground Pass,,8.324061,,,,Ousmane Dembélé,5477.0,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,['94d3ba8a-d2e6-4bf3-9580-1eb2e5b8f300'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.530,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.29471,,,,,,,,,,,,a7e9a5d9-a5ef-4c41-909c-6457368bd363,29,,"[70.2, 75.0]",16079,0,,,,,3.0565271,,Right Foot,,,"[57.3, 76.1]",,Ground Pass,,12.946815,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Right Midfield,2,Barcelona,217,['8251d651-0568-4749-a069-cd7a9750dc3c'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.105,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.239242,,,,,,,,,,,,6ade748c-4b92-461c-be7a-3dcddd338b5a,33,,"[57.9, 75.5]",16079,0,,,,,-2.4996467,,Right Foot,,,"[37.3, 60.1]",,Ground Pass,,25.720032,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,"['05e60bad-888a-47f6-a424-42069e95c768', '35bcd830-cda0-4150-8aee-6e1fb1b6a2ec']",20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.475,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,,2.223942,,,,,,,,,,,,9904f3a6-b608-4968-ae20-15d2fd69110e,36,,"[37.3, 60.1]",16079,0,,,,,-2.3036115,,Right Foot,,,"[19.3, 40.1]",,Ground Pass,,26.907248,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['337c6f2b-3639-4115-b8f3-268a1a3393a4'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.735,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.555044,,,,,,,,,,,,d4f25322-f8ae-43a5-b0bd-56a556ad2051,39,,"[19.3, 40.1]",16079,0,,,,,-1.0337257,,Right Foot,,,"[32.4, 18.1]",,Ground Pass,,25.604883,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['91c444a4-2b3a-464e-bbfa-48936bc67d8a'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.042,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.761099,,,,,,,,,,,,c251174c-5031-4c4c-af18-1e3285714934,42,,"[41.0, 16.9]",16079,0,,,,,1.5707964,,Left Foot,,,"[41.0, 55.2]",,Ground Pass,,38.3,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['d43242b8-2d02-4a6b-980f-5c6966f4ddf4'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.546,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.252058,,,,,,,,,,,,3054e285-dd07-43b9-8960-2ac02890cdb6,45,,"[47.0, 58.7]",16079,0,,,,,0.6987807,,Right Foot,,,"[66.4, 75.0]",,Ground Pass,,25.338705,,,,Ousmane Dembélé,5477.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['70b7cbd3-29af-4f35-a071-538f5ea9b2c7'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.190,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.800384,,,,,,,,,,,,fbfbc85c-1b98-4cea-a8a2-93755525368d,48,,"[71.3, 64.7]",16079,0,,,,,0.9244941,,Right Foot,,,"[79.9, 76.1]",,Ground Pass,,14.280056,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Right Midfield,2,Barcelona,217,['76d85561-3300-44aa-af10-97fc1c00c44e'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.249,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.330282,,,,,,,,,,,,569044e6-a96f-4bf1-8ea5-da4b735f417e,51,,"[78.8, 76.1]",16079,0,,,,,-2.5772417,,Right Foot,,,"[67.9, 69.2]",,Ground Pass,,12.900388,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,['adfa9c7a-4bca-41e7-a20f-06d0d71fd1e3'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.549,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.465216,,,,,,,,,,,,cf27833f-78be-4a4b-bd33-40e241b7a849,54,,"[67.3, 69.2]",16079,0,,,,,-1.8865176,,Right Foot,,,"[55.9, 34.3]",,Ground Pass,,36.71471,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['dfc89820-8eb2-42db-b276-c653b1e8f82b'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.188,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.844388,,,,,,,,,,,,2c478363-6601-462b-8eb4-64c6a99b5ccc,57,,"[55.9, 33.8]",16079,0,,,,,-1.0483929,,Left Foot,,,"[73.0, 4.1]",,Ground Pass,,34.27098,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['c2feaa48-c10e-4b78-960b-a0fefe2b468d'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.728,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.903858,,,,,,,,,,,,f05583bf-4f82-4e31-976a-d109f80f9a26,60,,"[73.0, 4.1]",16079,0,,,,,1.5707964,,Left Foot,,,"[73.0, 14.6]",,Ground Pass,,10.5,,,,Philippe Coutinho Correia,3501.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['b69bd9be-3a25-4846-b0db-678bd0dcd66c'],49,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.282,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.546568,,,,,,,,,,,,cc23161f-31cd-407f-b151-fa2e4501abd8,63,,"[73.0, 14.6]",16079,0,,,,,-1.6530843,,Right Foot,,,"[72.2, 4.9]",,Ground Pass,,9.732934,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Midfield,2,Barcelona,217,['444b6a05-ed2d-4e56-91e8-0e36aa481c9e'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.189,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.176797,,,,,,,,,,,,f6cb4c2d-95c6-46b2-8cf5-0a3f9269421e,65,,"[72.2, 4.9]",16079,0,,,,,0.7366563,,Left Foot,,,"[85.1, 16.6]",,Ground Pass,,17.41551,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['28037634-9c47-419a-a58e-1885ee84605d'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.736,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.299249,,,,,,,,,,,,b7da32ef-47ec-4d6b-a900-fbd8b3665219,68,,"[84.8, 16.9]",16079,0,,,,,-1.1630116,,Right Foot,,,"[90.2, 4.4]",,Ground Pass,,13.616534,,,,Philippe Coutinho Correia,3501.0,,,,,,1,From Kick Off,Arturo Erasmo Vidal Pardo,8206.0,Left Center Midfield,2,Barcelona,217,['af68accd-6cfb-4386-9e7e-91f1b4c77601'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.487,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.858833,,,,,,,,,,,,99bd2603-ea36-4f7c-bcd7-be3bb8c64c31,71,,"[88.2, 4.1]",16079,0,,,,,2.642246,,Right Foot,,,"[80.5, 8.3]",,Ground Pass,,8.770975,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Midfield,2,Barcelona,217,['e68b6f0f-04dc-4d82-8679-1fda65132ffb'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.720,Pass,,2018/2019
