50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ccbb71bd-c04a-4ae1-9808-91279bc65c57,1,,,16086,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6886, 'name': 'Dídac Vilá Rosselló'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6866, 'name': 'Marc Roca Junqué'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 6902, 'name': 'Óscar Melendo Jiménez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 4}, {'player': {'id': 11391, 'name': 'Borja Iglesias Quintas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,235aa8bd-06db-417e-8e4a-14a5300131f4,2,,,16086,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,55c76f17-be06-4439-bb5d-67f9c7c31bdf,3,,,16086,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['840b5770-ba7e-4d7e-b419-0af3e99892ee'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,840b5770-ba7e-4d7e-b419-0af3e99892ee,4,,,16086,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['55c76f17-be06-4439-bb5d-67f9c7c31bdf'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0d234eb4-d03f-401b-8f86-fa46847a1a6f,2035,,,16086,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Espanyol,214,['f17a7350-ca91-4f46-a6cc-012a12dd8fab'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f17a7350-ca91-4f46-a6cc-012a12dd8fab,2036,,,16086,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Espanyol,214,['0d234eb4-d03f-401b-8f86-fa46847a1a6f'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,0.657763,,,,,,,,,,,,329a7323-ec88-42bc-8a7f-fee831248dc4,5,,"[61.0, 41.0]",16086,0,,,,3.0584514,,Right Foot,,,,"[49.0, 42.0]",,Ground Pass,,12.0415945,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['1f3a17bb-0a34-4831-b109-f184b171500b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.773,Pass,,2018/2019
,,,,,,,,,,,,,,,,,0.815397,,,,,,,,,,,,625b90ed-7ff5-4efc-97a0-6b0e224139bb,8,,"[49.0, 41.0]",16086,0,,,,-1.6262949,,Right Foot,,,,"[48.0, 23.0]",,Ground Pass,,18.027756,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['a646c891-64e9-4c0f-9fe7-dc941c2843bb'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.820,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.08026,,,,,,,,,,,,a1a86498-0bcf-4c6a-a897-17e1c3573a9c,11,,"[49.0, 23.0]",16086,0,,,,-1.418147,,Right Foot,,,,"[51.0, 10.0]",,Ground Pass,,13.152946,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Left Center Midfield,2,Barcelona,217,['80ca22bf-43a7-45c0-82cd-8a3ffbdd085d'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.857,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.256308,,,,,,,,,,,,2bfeb8d3-23d7-4a59-b7ce-74425377d645,14,,"[50.0, 11.0]",16086,0,,,,2.4186132,,Left Foot,,,,"[33.0, 26.0]",,Ground Pass,,22.671568,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['e03411ab-6117-4603-b5ab-d8ff35a570dc'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.130,Pass,,2018/2019
