50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,779da12c-1e5a-43dd-8b92-eba8ade8e2e6,1,,,16120,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6722, 'name': 'David Soria Solís'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 6634, 'name': 'Djené Dakonam Ortega'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6635, 'name': 'Leandro Daniel Cabrera Sasía'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6619, 'name': 'Vitorino Gabriel Pacheco Antunes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6901, 'name': 'Nemanja Maksimović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 6863, 'name': 'Mauro Wilney Arambarri Rosa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 6873, 'name': 'Francisco Portillo Soler'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 6611, 'name': 'Ángel Luis Rodríguez Díaz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 11550, 'name': 'Jaime Mata Arnaiz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Getafe,216,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,02f517b5-d6cb-45b6-bb7a-08dd0ed36079,2,,,16120,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,752f402a-6db4-46cc-b9dd-a39ee40b5502,3,,,16120,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['5e202b21-350d-4a67-8dd7-cedf97fbcff6'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5e202b21-350d-4a67-8dd7-cedf97fbcff6,4,,,16120,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['752f402a-6db4-46cc-b9dd-a39ee40b5502'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,507ac2c9-0829-472e-ad85-248007acf8cb,1927,,,16120,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,59,Barcelona,217,['b9f01717-d784-4bdb-bae7-119517553c3f'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b9f01717-d784-4bdb-bae7-119517553c3f,1928,,,16120,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,59,Barcelona,217,['507ac2c9-0829-472e-ad85-248007acf8cb'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,1.064173,,,,,,,,,,,d75ff896-74ec-4600-b747-2be42133ed57,5,,"[60.0, 40.0]",16120,0,,,,2.9889433,,Right Foot,,,,"[47.0, 42.0]",,Ground Pass,,13.152946,,,Ivan Rakitić,5470.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['6c444e0a-8375-4060-a0ce-d475d17b4361'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.701,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.6584,,,,,,,,,,,66975633-e3fc-4e56-b93f-e207e6a984ef,9,,"[47.0, 43.0]",16120,0,,,,-1.6313283,,Right Foot,,,,"[45.0, 10.0]",,Ground Pass,,33.06055,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Center Defensive Midfield,2,Barcelona,217,['81e6ee6b-fc17-48df-ab27-f99fca2c2b8b'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.628,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.020767,,,,,,,,,,,ab8cf00f-f005-43cb-9d0e-26ea74244590,12,,"[45.0, 10.0]",16120,0,,,,-0.4266275,,Left Foot,,,,"[56.0, 5.0]",,Ground Pass,,12.083046,,,Ousmane Dembélé,5477.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['7c8aec20-0695-4049-be29-7248b9cbb1e4'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.205,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.892511,,,,,,,,,,,963e4d27-df1f-4491-9262-c0ab017480a1,16,,"[52.0, 5.0]",16120,0,,,,2.7610862,,Left Foot,,,,"[42.0, 9.0]",,Ground Pass,,10.770329,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Left Wing,2,Barcelona,217,['955693c6-4524-4597-9956-4e2c82924dcc'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.765,Pass,,2018/2019
