50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b634e2ba-8644-4ab4-abef-749ccc2ee47e,1,,,16131,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,97fe20ec-4332-435f-b8b3-62d853d76910,2,,,16131,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6710, 'name': 'Rubén Peña Jiménez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6709, 'name': 'Anaitz Arbilla Zabala'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6705, 'name': 'José Ángel Valdés Díaz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6701, 'name': 'Joan Jordán Moreno'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 17620, 'name': 'Marc Cucurella Saseta'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Eibar,322,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ab5735bd-d0a3-4ba3-9303-be7b08d17ef0,3,,,16131,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['6cd9a629-5f6a-4fd7-b4f8-cf3fcfb8a757'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6cd9a629-5f6a-4fd7-b4f8-cf3fcfb8a757,4,,,16131,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ab5735bd-d0a3-4ba3-9303-be7b08d17ef0'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,aac9c53f-6ca1-43b1-b4b7-eb1acbda836a,1903,,,16131,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,82,Eibar,322,['6d15be32-706d-4ae0-99f1-bcda286bc2b3'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6d15be32-706d-4ae0-99f1-bcda286bc2b3,1904,,,16131,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,82,Eibar,322,['aac9c53f-6ca1-43b1-b4b7-eb1acbda836a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,1.0726,,,,,,,,,,,a02e5462-6009-49c7-8a16-a29ab262169c,5,,"[61.0, 40.1]",16131,0,,,,-2.3837104,,Right Foot,,,,"[49.8, 29.5]",,Ground Pass,15.420765,,,Papa Kouly Diop,6867.0,,,,,Kick Off,1,From Kick Off,Sergio Enrich Ametller,6700.0,Center Forward,2,Eibar,322,['8e0c581e-96d6-4f84-898b-6a954787cffd'],1,,,,,,,,,,,,,,,,,Eibar,322,00:00:01.888,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.607781,,,,,,,,,,,61aa4586-039f-48ab-8901-d12196fba435,8,,"[49.0, 28.8]",16131,0,,,,-1.8383365,,Right Foot,,,,"[43.6, 9.1]",,Ground Pass,20.426699,,,José Ángel Valdés Díaz,6705.0,,,,,,1,From Kick Off,Papa Kouly Diop,6867.0,Left Defensive Midfield,2,Eibar,322,['bbece275-7ee2-4dec-bc87-946ed602a91d'],3,,,,,,,,,,,,,,,,,Eibar,322,00:00:03.515,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.103947,,,,,,,,,,,19e74ce8-48a3-430e-8a2d-c6f6fa49e9cd,11,,"[42.9, 8.9]",16131,0,,,,2.5899377,,Left Foot,,,,"[29.9, 16.9]",,Ground Pass,15.264338,,,Pedro Bigas Rigo,7907.0,,,,,,1,From Kick Off,José Ángel Valdés Díaz,6705.0,Left Back,2,Eibar,322,['86642cb2-d03c-485c-a26d-4fa2aafc950a'],5,,,,,,,,,,,,,,,,,Eibar,322,00:00:05.861,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.381495,,,,,,,,,,,eabf0a19-b332-4f35-b869-42db57678cb0,14,,"[28.0, 21.7]",16131,0,,,,1.5478777,,Right Foot,,,,"[28.8, 56.6]",,Ground Pass,34.90917,,,Anaitz Arbilla Zabala,6709.0,,,,,,1,From Kick Off,Pedro Bigas Rigo,7907.0,Left Center Back,2,Eibar,322,['a3273584-18b7-45c6-bbdb-af2280fbcb6c'],8,,,,,,,,,,,,,,,,,Eibar,322,00:00:08.615,Pass,,2018/2019
