50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a621d181-794b-47db-9a06-7e1726292d1b,1,,,,16173,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6662, 'name': 'Iago Herrerín Buisán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6877, 'name': 'Yeray Álvarez López'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Athletic Club,215,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,cc90bb2f-122e-4943-80f1-14a81178ad91,2,,,,16173,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0f70ed18-6659-4899-be37-cb2039e36b60,3,,,,16173,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['54f4fd54-f878-42a9-84f5-0d66526a1490'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,54f4fd54-f878-42a9-84f5-0d66526a1490,4,,,,16173,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['0f70ed18-6659-4899-be37-cb2039e36b60'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,73639034-154e-4381-9c51-972389aca863,1852,,,,16173,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,82,Barcelona,217,['7947d647-0f53-4dd9-a13b-6f839886d10e'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7947d647-0f53-4dd9-a13b-6f839886d10e,1853,,,,16173,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,82,Barcelona,217,['73639034-154e-4381-9c51-972389aca863'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,1.583315,,,,,,,,,,,134eb7b5-fc18-47a8-a0b6-d0c0d8a188db,5,,,"[60.0, 40.0]",16173,0,,,,,2.5352097,,Right Foot,,,"[47.6, 48.6]",Ground Pass,,15.090394,,,,Beñat Etxebarria Urkiaga,6396.0,,,,,Kick Off,1,From Kick Off,Iñaki Williams Arthuer,6393.0,Center Forward,2,Athletic Club,215,['905b4009-5f1c-4bea-8fc3-04029290c50b'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.224,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.933212,,,,,,,,,,,9ab9df4d-e5a2-4fb8-986c-834396b2d699,7,,,"[44.5, 47.6]",16173,0,,True,,,-2.0741956,,Right Foot,,,"[36.9, 33.8]",Ground Pass,,15.754364,,,,Íñigo Martínez Berridi,6665.0,,,,,,1,From Kick Off,Beñat Etxebarria Urkiaga,6396.0,Right Defensive Midfield,2,Athletic Club,215,['a4efbf67-9fed-4bf6-aa3a-20efc9fffb4c'],1,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.882,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,3.338555,,,,,,,,,,,00a9c6be-43a8-4039-8035-e694bddde83c,9,,,"[45.6, 33.1]",16173,0,,,,,0.7703993,,Left Foot,,,"[86.2, 72.5]",High Pass,,56.574905,,,,Markel Susaeta Laskurain,6390.0,,,,,,1,From Kick Off,Íñigo Martínez Berridi,6665.0,Left Center Back,2,Athletic Club,215,['81db1a13-f96b-41d7-b18c-f8da922e791f'],2,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:02.904,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.598351,,,,,,,,,,,96ed5ca6-2d76-438a-a197-ff19a4e537b3,11,,,"[82.5, 72.0]",16173,0,,,,,0.4837791,,Head,,,"[88.4, 75.1]",High Pass,,6.664833,,,,Óscar de Marcos Arana,6649.0,,,,,,1,From Kick Off,Markel Susaeta Laskurain,6390.0,Right Wing,2,Athletic Club,215,['edb8f047-fd1b-4b2a-a1b4-310f441e73a2'],8,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:08.186,Pass,,2018/2019
