bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c4cf61b3-8ed8-4c8d-9fcb-85a23f171b44,1,,,,16215,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3313, 'name': 'Giovani Lo Celso'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 3990, 'name': 'Jesé Rodríguez Ruiz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Real Betis,218,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,17813ca1-b402-46b2-8d98-9d5c5f1df26f,2,,,,16215,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 4}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4f707fec-1638-406b-a0ed-4aab21ccebec,3,,,,16215,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['a52a249e-65ac-41c0-99fb-30ea5273f07b'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a52a249e-65ac-41c0-99fb-30ea5273f07b,4,,,,16215,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['4f707fec-1638-406b-a0ed-4aab21ccebec'],0,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3620cb66-5339-4d7c-b3ab-d2403b8ee38b,2028,,,,16215,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,96,Real Betis,218,['aa6ed078-e691-4c40-ba68-227f15963bd6'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,aa6ed078-e691-4c40-ba68-227f15963bd6,2029,,,,16215,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,96,Real Betis,218,['3620cb66-5339-4d7c-b3ab-d2403b8ee38b'],0,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,,,0.508755,,,,,,,,,,,,a2aa78a1-b9dd-44a1-9276-eed8cbee46ef,5,,,"[60.0, 40.0]",16215,0,,,,-2.819842,,Right Foot,,,,"[54.0, 38.0]",,Ground Pass,,6.3245554,,,,,José Andrés Guardado Hernández,5563.0,,,,,Kick Off,1,From Kick Off,Jesé Rodríguez Ruiz,3990.0,Left Center Forward,2,Real Betis,218,['5f4d15ad-da66-4625-b5a8-29803fab6f45'],0,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.697,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.557132,,,,,,,,,,,,c96e3bae-8c5b-4ae6-b132-7177fe5cb6e9,8,,,"[56.0, 33.0]",16215,0,,,,-2.6135182,,Right Foot,,,,"[44.0, 26.0]",,Ground Pass,,13.892444,,,,,Sidnei Rechel da Silva Júnior,6777.0,,,,,,1,From Kick Off,José Andrés Guardado Hernández,5563.0,Left Center Midfield,2,Real Betis,218,['9b43342f-ea6f-4149-9ae9-ffb49b278202'],3,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:03.170,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.964985,,,,,,,,,,,,89921bc2-8045-45fd-b820-e73613620a50,11,,,"[44.0, 26.0]",16215,0,,,,2.1995926,,Left Foot,,,,"[36.0, 37.0]",,Ground Pass,,13.601471,,,,,Marc Bartra Aregall,7068.0,,,,,,1,From Kick Off,Sidnei Rechel da Silva Júnior,6777.0,Left Center Back,2,Real Betis,218,['7a320b9b-b0ab-4c50-8a52-b7a4f9202872'],5,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:05.758,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.2387,,,,,,,,,,,,68baadb1-2040-4ac3-a6ff-194035363728,14,,,"[41.0, 38.0]",16215,0,,,,1.5707964,,Left Foot,,,,"[41.0, 55.0]",,Ground Pass,,17.0,,,,,Aïssa Mandi,6648.0,,,,,,1,From Kick Off,Marc Bartra Aregall,7068.0,Center Back,2,Real Betis,218,['c4d7f44e-5703-4625-a67b-dc77215f90a9'],9,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:09.949,Pass,,2018/2019
