bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cd0c4ea5-526a-4e9a-a83a-b3a3936763b3,1,,,16248,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e797f68c-7ce4-4112-86b5-c0ca231a4cf7,2,,,16248,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5696, 'name': 'Santiago Arias Naranjo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6383, 'name': 'Thomas Teye Partey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6765, 'name': 'Rodrigo Hernández Cascante'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,30d3106b-7139-4f89-848a-1cfbb7bbc78b,3,,,16248,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['02d0d7f5-984c-4cec-939e-a3efdb9a2518'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,02d0d7f5-984c-4cec-939e-a3efdb9a2518,4,,,16248,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['30d3106b-7139-4f89-848a-1cfbb7bbc78b'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0d1265c3-0591-4170-97e7-efc8477f48fd,2429,,,16248,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,113,Atlético Madrid,212,['483b3bb1-30a6-45d5-89c3-18ba881d58d1'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,483b3bb1-30a6-45d5-89c3-18ba881d58d1,2430,,,16248,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,113,Atlético Madrid,212,['0d1265c3-0591-4170-97e7-efc8477f48fd'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,1.256371,,,,,,,,,,,,,f7f5f149-a216-42b3-9f13-63dc7b4fb11c,5,,"[61.0, 41.0]",16248,0,,,,,2.9889433,,Right Foot,,,"[48.0, 43.0]",,Ground Pass,13.152946,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['6df62101-6fa8-4e1b-b28c-01cd7afd5619'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.512,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.8642,,,,,,,,,,,,,f25d57dd-83a4-4359-bbc9-848577f74788,9,,"[62.0, 39.0]",16248,0,,,,,1.076855,,Left Foot,,,"[69.0, 52.0]",,Ground Pass,14.764823,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,"['38204ef6-0504-49ff-8b50-8049ff359a53', '921079b6-36dc-4d33-b906-1fb514e92d84']",3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.558,Pass,True,2018/2019
,,,,,,,,,,,,,,,,0.436057,,,,,,,,,,,,,2088d914-41c3-4c46-85ab-78152ca44ce1,16,,"[56.0, 42.0]",16248,0,,,,,-0.87605804,,Left Foot,,,"[61.0, 36.0]",,Ground Pass,7.81025,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['54bd614d-656c-4718-a963-c6adef7350bb'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.055,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.911424,,,,,,,,,,,,,a16157c7-861f-4d87-8a5d-af565a56497e,20,,"[60.0, 40.0]",16248,0,,,,,2.0899425,,Right Foot,,,"[56.0, 47.0]",,Ground Pass,8.062258,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,2,Barcelona,217,['0c6e717e-e7a1-4609-a7d8-b44a00673229'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.571,Pass,,2018/2019
