bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c36b2163-9e36-426f-8397-675b557c0474,1,,,,16275,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6739, 'name': 'Diego Alejandro Rolan Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Deportivo Alavés,206,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a4568b82-f784-41d1-b416-eb824a426a15,2,,,,16275,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 13599, 'name': 'Carles Aleña Castillo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ff3b26c0-2ee2-414e-9f6a-916415a4972d,3,,,,16275,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,['dbeced75-a1f5-4c42-913b-b3615a4b7f44'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dbeced75-a1f5-4c42-913b-b3615a4b7f44,4,,,,16275,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,['ff3b26c0-2ee2-414e-9f6a-916415a4972d'],0,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,140741cc-1b64-4d85-878b-5a204e924193,1979,,,,16275,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,84,Barcelona,217,['1c776a72-cac3-4934-be25-a7c5c43ef0a8'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1c776a72-cac3-4934-be25-a7c5c43ef0a8,1980,,,,16275,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,84,Barcelona,217,['140741cc-1b64-4d85-878b-5a204e924193'],0,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,1.2929,,,,,,,,,,,,,,2ca091de-4147-4f82-a445-b225ed199d9f,5,,,"[60.0, 40.0]",16275,0,,,,,-2.9694018,,Left Foot,,,"[37.0, 36.0]",,Ground Pass,23.345236,,,,,Rodrigo Ely,6636.0,,,,,Kick Off,1,From Kick Off,Jonathan Rodríguez Menéndez,6581.0,Left Wing,2,Deportivo Alavés,206,['7d13ed9e-e3b7-4979-980c-80b224314e19'],0,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.744,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.4034,,,,,,,,,,,,,,f3a12b83-d8e3-494b-8224-209ca4ab3a35,8,,,"[38.0, 34.0]",16275,0,,,,,0.5977584,,Right Foot,,,"[85.0, 66.0]",,High Pass,56.859474,,,,,Borja González Tomás,6566.0,,,,,,1,From Kick Off,Rodrigo Ely,6636.0,Center Back,2,Deportivo Alavés,206,['65ba434d-0e27-4c2e-a412-03116a7be689'],3,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:03.487,Pass,,2018/2019
,,,,,,,,,,,,,,,,3.3648,,,,,,,,,,,,,,531cef32-941a-43d0-bb1b-372e2df7b1a8,11,,,"[84.0, 66.0]",16275,0,,,,True,-0.27094686,,,,,"[120.0, 56.0]",,High Pass,37.363083,,,Out,,,,,,,,,1,From Kick Off,Borja González Tomás,6566.0,Center Forward,2,Deportivo Alavés,206,['4ed02c33-24db-43ef-bb87-469e279c9f35'],5,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:05.895,Pass,True,2018/2019
,,,,,,,,,,,,,,,,2.9125,,,,,,,,,,,,,,ae91a5d2-810f-474d-aa32-bbce55a777b4,12,,,"[7.0, 37.0]",16275,0,,,,,-0.35877067,,Right Foot,,,"[63.0, 16.0]",,High Pass,59.808025,,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,Goal Kick,1,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,"['1ce8a906-8541-4fda-85c6-d6e3cef8252c', '96d67a51-2c3b-4cc8-a29e-fa2c310e8aec']",25,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.280,Pass,,2018/2019
