ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ed34b3ee-c0d2-4ff9-a710-14ad3b2218ca,1,,,,16289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ce900143-6f72-462f-b5f7-cf8dd6b987bb,2,,,,16289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 23344, 'name': 'Aitor Fernández Abarisketa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 6592, 'name': 'Rúben Miguel Nunes Vezo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6807, 'name': 'Roberto Suárez Pier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 17303, 'name': 'Nikola Vukčević'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 6691, 'name': 'David Remeseiro Salgueiro'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 6688, 'name': 'José Ángel Gómez Campaña'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 18163, 'name': 'Moses Daddy-Ajala Simon'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 21147, 'name': 'Borja Mayoral Moya'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 2}]}",Levante UD,221,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fe6e30a2-552b-4747-a23f-b43909492461,3,,,,16289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['fd7142ff-593a-4069-80cc-68c89d9ad89c'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fd7142ff-593a-4069-80cc-68c89d9ad89c,4,,,,16289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['fe6e30a2-552b-4747-a23f-b43909492461'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,81d57a47-44bb-43b8-be35-b11847b361cf,2003,,,,16289,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Barcelona,217,['69eef225-f51b-43b8-a1c6-9684b94650a9'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,69eef225-f51b-43b8-a1c6-9684b94650a9,2004,,,,16289,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Barcelona,217,['81d57a47-44bb-43b8-be35-b11847b361cf'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,1.196,,,,,,,,,,,,,9e4a30ac-92d5-495b-9583-093caf48d1de,5,,,"[60.0, 40.0]",16289,0,,,,-3.009041,,Right Foot,,,,"[45.0, 38.0]",,Ground Pass,,15.132746,,,,,Ivan Rakitić,5470.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['05d9fbf2-27f5-4654-988b-d5376a567e0e'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.424,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.3597,,,,,,,,,,,,,7f9e6b54-1d5e-4099-9884-e82908194dad,8,,,"[45.0, 40.0]",16289,0,,,,1.6475682,,Left Foot,,,,"[43.0, 66.0]",,Ground Pass,,26.076809,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Center Defensive Midfield,2,Barcelona,217,['55e6c0fd-e721-472b-a2b6-438a6d95a8bb'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.504,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.8965,,,,,,,,,,,,,3ada60f4-449f-42c8-87b3-ea2d0c98a8d8,11,,,"[43.0, 66.0]",16289,0,,,,0.38050637,,Right Foot,,,,"[53.0, 70.0]",,Ground Pass,,10.770329,,,,,Ousmane Dembélé,5477.0,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,['545aaf97-5e15-4cb6-964f-a194e0de9c5b'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.957,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.251,,,,,,,,,,,,,64a3492f-cc19-4f2d-8042-fafd86f09296,15,,,"[52.0, 72.0]",16289,0,,,,-2.7928216,,Right Foot,,,,"[41.0, 68.0]",,Ground Pass,,11.7046995,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Right Wing,2,Barcelona,217,"['1cc00978-3a0a-44d1-8ed5-b5fc80d4295d', 'ef5e52b2-cdcc-48a1-bfe3-5e417219397b']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.280,Pass,True,2018/2019
