50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,72430016-0e5f-4b77-abbd-11352f6ef332,1,,,16306,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8652, 'name': 'Jasper Cillessen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 3109, 'name': 'Malcom Filipe Silva de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1ff99fb5-9bae-4107-9d93-0b8a4bb3bd8f,2,,,16306,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6722, 'name': 'David Soria Solís'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 6634, 'name': 'Djené Dakonam Ortega'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6635, 'name': 'Leandro Daniel Cabrera Sasía'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 7104, 'name': 'Mathías Olivera Miramontes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6901, 'name': 'Nemanja Maksimović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 6863, 'name': 'Mauro Wilney Arambarri Rosa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 5693, 'name': 'Gaku Shibasaki'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 6630, 'name': 'Jorge Molina Vidal'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 6611, 'name': 'Ángel Luis Rodríguez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Getafe,216,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8ed0a985-8c70-44af-8c18-f8b815de83f7,3,,,16306,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['1cea1aff-888f-44bd-b87a-3e0ace700574'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1cea1aff-888f-44bd-b87a-3e0ace700574,4,,,16306,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['8ed0a985-8c70-44af-8c18-f8b815de83f7'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f994463a-1727-49f6-a832-9c89400e3858,2211,,,16306,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,66,Barcelona,217,['153a6568-3075-4f80-ad8e-cdad81f1cafe'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,153a6568-3075-4f80-ad8e-cdad81f1cafe,2212,,,16306,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,66,Barcelona,217,['f994463a-1727-49f6-a832-9c89400e3858'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.4129,,,,,,,,,,,,4f67947b-4a46-40b8-97b3-3c99c2b6a93a,5,,"[61.0, 41.0]",16306,0,,,,,-0.5880026,,Right Foot,,,,"[64.0, 39.0]",Ground Pass,,3.6055512,,,,Jorge Molina Vidal,6630.0,,,,,Kick Off,1,From Kick Off,Nemanja Maksimović,6901.0,Right Defensive Midfield,2,Getafe,216,['b9b84520-19c8-4aaf-b706-80d42397bcc9'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.646,Pass,,2018/2019
,,,,,,,,,,,,,,,1.8016,,,,,,,,,,,,22c59d38-f363-4935-9c09-059e74c5cab2,9,,"[63.0, 49.0]",16306,0,,,,,1.4601392,,Right Foot,,,,"[66.0, 76.0]",Ground Pass,,27.166155,,,,Damián Nicolás Suárez Suárez,6627.0,,,,,,1,From Kick Off,Jorge Molina Vidal,6630.0,Right Center Forward,2,Getafe,216,"['0a4ddecd-3cf2-4a27-83e8-7f9e51af540f', 'cb4470f2-fc9b-424f-86a2-8f93c34793a2']",2,,,,,,,,,,,,,,,,,Getafe,216,00:00:02.434,Pass,True,2018/2019
,,,,,,,,,,,,,,,1.7402,,,,,,,,,,,,eab9b8bb-477b-4cef-a8f1-fb4afe99505b,13,,"[67.0, 75.0]",16306,0,,,,,-0.59619915,,Right Foot,,,,"[95.0, 56.0]",High Pass,,33.83785,,,,Jorge Molina Vidal,6630.0,,,,,,1,From Kick Off,Damián Nicolás Suárez Suárez,6627.0,Right Back,2,Getafe,216,['b762d8b7-9a93-4cfc-bde6-cc09031e68e0'],6,,,,,,,,,,,,,,,,,Getafe,216,00:00:06.399,Pass,,2018/2019
,,,,,,,,,,,,,,,1.386,,,,,,,,,,,,ccea642d-dcc5-4a9f-a8e4-25fe4439033a,17,,"[95.0, 56.0]",16306,0,,,,,-1.152572,,No Touch,,,,"[99.0, 47.0]",Low Pass,,9.848858,True,Incomplete,,Ángel Luis Rodríguez Díaz,6611.0,,,,,,1,From Kick Off,Jorge Molina Vidal,6630.0,Right Center Forward,2,Getafe,216,"['651a5231-3d93-4160-a0b3-e5cce23745bf', '9f56452e-892b-4bfd-8318-535b85572d1d', 'd20dcd97-f4f3-4116-861b-0600a721c989']",8,,,,,,,,,,,,,,,,,Getafe,216,00:00:08.271,Pass,True,2018/2019
