50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5333347d-4400-41af-b203-67ec24190e39,1,,,265857,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,28a8e4ac-3240-48a3-81cf-29882aa3aba3,2,,,265857,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,921b4585-639c-4691-8ee7-455e28ffd147,3,,,265857,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['d93f7e5a-5c76-41c4-b71f-774a4821ca84'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d93f7e5a-5c76-41c4-b71f-774a4821ca84,4,,,265857,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['921b4585-639c-4691-8ee7-455e28ffd147'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e504e794-5c05-4528-a233-65b7fbb219f2,2026,,,265857,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,106,Barcelona,217,['c559190b-4d78-4c46-8fe4-40ec0ff172e3'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c559190b-4d78-4c46-8fe4-40ec0ff172e3,2027,,,265857,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,106,Barcelona,217,['e504e794-5c05-4528-a233-65b7fbb219f2'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,0.9642,,,,,,,,,,,,,,e60d2424-1353-49e8-83ae-5930f8c34d61,5,,"[60.0, 40.0]",265857,0,,,,1.7321714,,Right Foot,,,,"[59.3, 44.3]",,Ground Pass,,4.356604,,,,Luka Modrić,5463.0,,,,,,Kick Off,1,From Kick Off,Karim Benzema,19677.0,Center Forward,2,Real Madrid,220,['33b0f1ff-c030-44f1-a8dd-5a4b933eee6c'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.830,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,0.870553,,,,,,,,,,,,,,cc0f7282-bf13-49a3-9ba9-121fc0f98f7c,8,,"[57.5, 44.6]",265857,0,,,,-2.9549034,,Right Foot,,,,"[48.5, 42.9]",,Ground Pass,,9.159148,,,,Xabier Alonso Olano,20133.0,,,,,,,1,From Kick Off,Luka Modrić,5463.0,Right Center Midfield,2,Real Madrid,220,['b35126c9-39e8-4f7b-9e3a-5029b3b354e8'],2,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:02.496,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,1.6991,,,,,,,,,,,,,,7d2f0e08-f800-4282-bf2d-547d3b19d266,11,,"[47.9, 44.1]",265857,0,,,,1.6426151,,Right Foot,,,,"[45.9, 71.9]",,Ground Pass,,27.87185,,,,Daniel Carvajal Ramos,5721.0,,,,,,,1,From Kick Off,Xabier Alonso Olano,20133.0,Center Defensive Midfield,2,Real Madrid,220,['0a8744d5-b13a-47f6-92a8-0e336304ceb9'],4,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:04.069,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,1.2669,,,,,,,,,,,,,,9a57a8ac-af53-424b-a570-4ba49b037a01,14,,"[46.2, 71.3]",265857,0,,,,-2.3480647,,Right Foot,,,,"[34.0, 58.9]",,Ground Pass,,17.395401,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,,1,From Kick Off,Daniel Carvajal Ramos,5721.0,Right Back,2,Real Madrid,220,['dddd9a64-9108-4c7c-b0dc-e4c0d613fb9d'],5,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:05.808,Pass,,2013/2014
