50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,809ebea3-f057-437b-9f0d-c9b7539c75b4,1,,,,265866,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Córdoba CF,373,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24255, 'name': 'Juan Carlos Martín Corral'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18404, 'name': 'José Ángel Crespo Rincón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 26573, 'name': 'Íñigo López Montaña'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 27239, 'name': 'Aleksandar Pantić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 27238, 'name': 'Edimar Curitiba Fraga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3160, 'name': 'Rene Krhin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 24811, 'name': 'David Omar Rodríguez Barrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 24139, 'name': 'Luis Eduardo Delgado Pacheco'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 23825, 'name': 'Fidel Chaves de la Torre'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 6731, 'name': 'Florin Andone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 28}]}",Córdoba CF,373,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d2f80d3e-79fb-4e2c-822e-081113fcb766,2,,,,265866,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Córdoba CF,373,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,57feb8d1-9a34-4381-9a6b-d3b0f0b5f313,3,,,,265866,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Córdoba CF,373,['33422d9e-1241-4ca9-abe3-1262a9e747ef'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,33422d9e-1241-4ca9-abe3-1262a9e747ef,4,,,,265866,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Córdoba CF,373,['57feb8d1-9a34-4381-9a6b-d3b0f0b5f313'],0,,,,,,,,,,,,,,,,,,Córdoba CF,373,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c8ccfd00-0ac0-4a6d-859f-706d1f8502af,1955,,,,265866,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Barcelona,217,['e30d871b-f83a-487b-98e5-81f2ca9b5d7d'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e30d871b-f83a-487b-98e5-81f2ca9b5d7d,1956,,,,265866,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Barcelona,217,['c8ccfd00-0ac0-4a6d-859f-706d1f8502af'],0,,,,,,,,,,,,,,,,,,Córdoba CF,373,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,1.145872,,,,,,,,,,,,,d9f6644d-bafe-48df-8efc-99be17656bcb,5,,,"[61.0, 40.1]",265866,0,,,,,-2.4558632,,Right Foot,,,"[58.8, 38.3]",,Ground Pass,,2.842534,,,,Fidel Chaves de la Torre,23825.0,,,,,,Kick Off,1,From Kick Off,Florin Andone,6731.0,Center Forward,2,Córdoba CF,373,['b607bbbc-718c-41b1-a4e5-4f77ddfe0bc5'],0,,,,,,,,,,,,,,,,,,Córdoba CF,373,00:00:00.935,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.306834,,,,,,,,,,,,,9d22c36e-92bd-435e-840e-f408f5a6756b,8,,,"[65.6, 26.6]",265866,0,,,,,-2.6794672,,Left Foot,,,"[39.3, 13.5]",,Ground Pass,,29.381968,,,,Aleksandar Pantić,27239.0,,,,,,,1,From Kick Off,Fidel Chaves de la Torre,23825.0,Left Wing,2,Córdoba CF,373,['f90beeb8-2878-4083-a64b-88a026d52600'],5,,,,,,,,,,,,,,,,,,Córdoba CF,373,00:00:05.654,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.423439,,,,,,,,,,,,,8700406b-9eb7-4ad2-888e-bcc34fd3a524,11,,,"[42.0, 6.4]",265866,0,,,,,0.34638235,,Left Foot,,,"[89.1, 23.4]",,High Pass,,50.074043,,,,Florin Andone,6731.0,,,,,,,1,From Kick Off,Aleksandar Pantić,27239.0,Left Center Back,2,Córdoba CF,373,['26c86ad7-d14d-4e5b-bac2-2a76037739c1'],9,,,,,,,,,,,,,,,,,,Córdoba CF,373,00:00:09.749,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.028049,,,,,,,,,,,,,647b8f05-f861-49da-a7ef-eb43c4f87d11,15,,,"[33.1, 60.7]",265866,0,,,,,-1.0376406,,Head,,,"[36.7, 54.6]",,High Pass,,7.0830784,,Incomplete,,Sergio Busquets i Burgos,5203.0,,,,,,Recovery,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Córdoba CF,373,"['529bf420-b7bd-4c77-b3e8-5c6ee0162c09', 'ec113cd4-f630-49ab-a87a-b51b3077e304']",14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.161,Pass,,2014/2015
