bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,89a1ac56-f3df-4bd5-a346-65cc52b42519,1,,,265952,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 12}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 6}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a228ba52-0c5d-4016-afd7-caf02979a821,2,,,265952,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24508, 'name': 'Manuel Castellano Castro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 25591, 'name': 'Juan Rodríguez Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 29}, {'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 24162, 'name': 'Xavier Torres Buigues'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 27318, 'name': 'Douglas Pereira dos Santos'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 2}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6624, 'name': 'Jorge Franco Alviz'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 24173, 'name': 'Carlos Castro García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2ff85345-b4b5-4cb9-b16f-c68f79e46123,3,,,265952,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['979635b3-e36f-477a-ba19-a2b8910cf481'],0,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,979635b3-e36f-477a-ba19-a2b8910cf481,4,,,265952,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['2ff85345-b4b5-4cb9-b16f-c68f79e46123'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bfa931f7-dde0-4ccf-8ff1-597defc3a257,1761,,,265952,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,91,Sporting Gijón,1041,['1f9a560f-89e2-4d37-ad4e-ed34e5fe769b'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1f9a560f-89e2-4d37-ad4e-ed34e5fe769b,1762,,,265952,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,91,Sporting Gijón,1041,['bfa931f7-dde0-4ccf-8ff1-597defc3a257'],0,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,1.0512,,,,,,,,,,,,25f490a4-da16-43f6-87db-ebad185230d0,5,,"[61.0, 40.1]",265952,0,,,,2.6979997,,Left Foot,,,,"[46.9, 46.8]",,Ground Pass,15.610893,,,,,Xavier Torres Buigues,24162.0,,,,,,Kick Off,1,From Kick Off,Carlos Castro García,24173.0,Center Forward,2,Sporting Gijón,1041,['03df4973-02e3-4f95-82ab-f29d391c36d8'],0,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.625,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.080021,,,,,,,,,,,,57184579-e3f4-4ce8-9fc5-d13e5a6c8bb2,8,,"[46.0, 50.3]",265952,0,,,,2.1001387,,Right Foot,,,,"[37.4, 65.0]",,Ground Pass,17.030855,,,,,Manuel Castellano Castro,24508.0,,,,,,,1,From Kick Off,Xavier Torres Buigues,24162.0,Center Defensive Midfield,2,Sporting Gijón,1041,['4c0152be-ec55-49a2-a158-76143d476da7'],2,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:02.823,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.856539,,,,,,,,,,,,4fa2b21a-a19f-4e22-89cc-d42d0b34469a,11,,"[41.0, 61.0]",265952,0,,,,-1.9536623,,Right Foot,,,,"[26.3, 24.5]",,Low Pass,39.348953,,,,,Juan Rodríguez Martínez,25591.0,,,,,,,1,From Kick Off,Manuel Castellano Castro,24508.0,Right Back,2,Sporting Gijón,1041,['37d907f1-1ddf-461a-a55e-2b37ae1bf613'],5,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:05.528,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.312827,,,,,,,,,,,,f2077e3d-5187-4bd2-b48f-25ce23b68fef,14,,"[25.6, 23.0]",265952,0,,,,-1.1110022,,Right Foot,,,,"[35.9, 2.2]",,Low Pass,23.210558,,,,,Elderson Uwa Echiejile,27558.0,,,,,,,1,From Kick Off,Juan Rodríguez Martínez,25591.0,Left Center Back,2,Sporting Gijón,1041,['2b29ddda-6511-402d-82e0-effd1dcf19c6'],9,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:09.133,Pass,,2016/2017
