ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2cdf892c-feee-42d2-9689-659751924997,1,,,266015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24264, 'name': 'Daniel Hernández Santos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5588, 'name': 'Antonio Rukavina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26692, 'name': 'Henrique Sereno Fonseca'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26695, 'name': 'Marc Valiente Hernández'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 19396, 'name': 'Lluis Sastre Reus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 27201, 'name': 'Víctor Pérez Alonso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 6607, 'name': 'Julián Omar Ramos Suárez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 25911, 'name': 'Óscar Javier González Marcos'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6879, 'name': 'Alberto Bueno Calvo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 26690, 'name': 'Alberto Mateus Contreiras Gonçalves'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Real Valladolid,901,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1457f05d-4dbd-4df2-a089-0eaf86b4351d,2,,,266015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cfd4c828-55eb-4202-9d37-42f1e3e630d0,3,,,266015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,['3f901aad-681c-4541-9c4f-2e37983c31b0'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3f901aad-681c-4541-9c4f-2e37983c31b0,4,,,266015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,['cfd4c828-55eb-4202-9d37-42f1e3e630d0'],0,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7b277014-6dff-4708-8f9c-6b4cd2b41a19,2056,,,266015,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Barcelona,217,['5f49c1ed-227e-4665-afc2-6c4487bc7374'],0,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5f49c1ed-227e-4665-afc2-6c4487bc7374,2057,,,266015,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Barcelona,217,['7b277014-6dff-4708-8f9c-6b4cd2b41a19'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,0.478611,,,,,,,,,,,,,ef280e63-7a63-4639-9164-340718176f17,5,,"[60.0, 40.0]",266015,0,,True,,,-1.467004,,Right Foot,,,,"[60.5, 35.2]",,Ground Pass,,4.8259716,,,,,Alberto Mateus Contreiras Gonçalves,26690.0,,,,,Kick Off,1,From Kick Off,Óscar Javier González Marcos,25911.0,Center Attacking Midfield,2,Real Valladolid,901,['bc0095d3-de76-43a9-a41f-d5cdd0c1167d'],0,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.688,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.994736,,,,,,,,,,,,,b3394505-316a-4e6a-b7df-9fdf640bd1b2,7,,"[59.8, 34.6]",266015,0,,,,,2.6314669,,Left Foot,,,,"[51.4, 39.3]",,Ground Pass,,9.625487,,,,,Lluis Sastre Reus,19396.0,,,,,,1,From Kick Off,Alberto Mateus Contreiras Gonçalves,26690.0,Center Forward,2,Real Valladolid,901,['0b41b28e-4bad-4b3e-81c6-f98d6ab1848e'],1,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:01.207,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.349597,,,,,,,,,,,,,0baf90e5-e4fb-49ce-900d-3c549bf16329,10,,"[49.4, 45.5]",266015,0,,,,,1.4003065,,Right Foot,,,,"[54.1, 72.8]",,Ground Pass,,27.701624,,,,,Antonio Rukavina,5588.0,,,,,,1,From Kick Off,Lluis Sastre Reus,19396.0,Right Center Midfield,2,Real Valladolid,901,['1bc9a165-04c2-4e93-8968-6fe48ee24f0a'],3,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:03.362,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.376998,,,,,,,,,,,,,825b8e4c-2804-4ed0-9d00-0c3057851094,14,,"[46.5, 67.4]",266015,0,,,,,-2.4668517,,Right Foot,,,,"[32.5, 56.2]",,Ground Pass,,17.928747,,,,,Henrique Sereno Fonseca,26692.0,,,,,,1,From Kick Off,Antonio Rukavina,5588.0,Right Back,2,Real Valladolid,901,['f0b93912-7faa-44ea-a859-431f79bda470'],6,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:06.675,Pass,,2012/2013
