bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,eccecc46-a84a-4cf1-9c94-ebef43330db6,1,,,266033,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 6891, 'name': 'Ezequiel Marcelo Garay'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6596, 'name': 'José Luis Gayà Peña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 2}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 8281, 'name': 'Luís Carlos Almeida da Cunha'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Valencia,207,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,de32c910-4179-47e7-9db0-dbb434a1753e,2,,,266033,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,00ee9836-3234-485f-9e7c-8fc8236a5ac4,3,,,266033,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['6c71a13b-bb9b-4499-b0a4-8acbbf027951'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6c71a13b-bb9b-4499-b0a4-8acbbf027951,4,,,266033,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['00ee9836-3234-485f-9e7c-8fc8236a5ac4'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5db27144-9943-485c-963e-52016d65109b,1873,,,266033,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,70,Barcelona,217,['b9434355-c251-4be9-b5b7-a30e7685ac12'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b9434355-c251-4be9-b5b7-a30e7685ac12,1874,,,266033,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,70,Barcelona,217,['5db27144-9943-485c-963e-52016d65109b'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.704767,,,,,,,,,,,,,,7d6b636d-a2e6-40cf-86fa-69bcb8da7e18,5,,"[61.0, 40.1]",266033,0,,,,-3.1188693,,Right Foot,,,"[47.8, 39.8]",,Ground Pass,,13.203408,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['ae31071a-51ce-4c45-8dbb-2fb5c50e39a6'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.559,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.829595,,,,,,,,,,,,,,915c5e68-b044-4f7b-8e85-19534ea6432c,8,,"[49.5, 44.4]",266033,0,,,,1.5093354,,Left Foot,,,"[50.3, 57.4]",,Ground Pass,,13.024592,,,,André Filipe Tavares Gomes,10802.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['e8f242f7-a2e6-44cc-b997-ff286d82273c'],4,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.740,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.641157,,,,,,,,,,,,,,c5ab994f-c9c0-49d7-9e5f-3e2579b1d997,11,,"[50.3, 57.4]",266033,0,,,,1.7995951,,Left Foot,,,"[46.9, 72.0]",,Ground Pass,,14.990664,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,André Filipe Tavares Gomes,10802.0,Right Center Midfield,2,Barcelona,217,['ebf8a408-6a21-4e33-9ecc-78f53cd2ce82'],6,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.272,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.605934,,,,,,,,,,,,,,57e59455-81bc-43ca-a7a8-81253802f5fd,14,,"[50.0, 71.9]",266033,0,,,,-2.568465,,Right Foot,,,"[35.9, 62.8]",,Ground Pass,,16.781538,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['7fa29dbb-1818-4428-b891-a595dc6b19f3'],9,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.784,Pass,,2016/2017
