bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,aa6c9096-7222-4186-afdf-7603ba655744,1,,,266106,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6755, 'name': 'Sergio Asenjo Andrés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5588, 'name': 'Antonio Rukavina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Villarreal,222,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,64ac6b64-0075-4838-9e93-c2dac089ac04,2,,,266106,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,250465b5-719a-457b-b30b-655d152ee0d8,3,,,266106,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['c593994c-49f7-46dd-835c-4d0b6be536a2'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c593994c-49f7-46dd-835c-4d0b6be536a2,4,,,266106,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['250465b5-719a-457b-b30b-655d152ee0d8'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f429678e-c0e3-43a4-ac87-c00d0fac5738,1885,,,266106,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Villarreal,222,['ad749251-95c0-4297-ae62-98a9c7dbd1e4'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ad749251-95c0-4297-ae62-98a9c7dbd1e4,1886,,,266106,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Villarreal,222,['f429678e-c0e3-43a4-ac87-c00d0fac5738'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,c0713458-00d4-4ff3-abd7-56d9a35e4997,5,,"[60.0, 40.0]",266106,0,,,,,1.2341216,,Right Foot,,,,"[60.7, 42.0]",Ground Pass,2.118962,,,,Roberto Soldado Rillo,26009.0,,,,,Kick Off,1,From Kick Off,Cédric Bakambu,6862.0,Left Center Forward,2,Villarreal,222,['594139ee-0fe9-42cd-8156-f9a06e657516'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.957,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.3417,,,,,,,,,,,,,,,deb88384-de35-4619-abdf-4af2535336c7,7,,"[61.5, 42.4]",266106,0,,,,,-2.6983504,,Right Foot,,,,"[51.6, 37.7]",Ground Pass,10.959015,,,,Bruno Soriano Llido,22819.0,,,,,,1,From Kick Off,Roberto Soldado Rillo,26009.0,Right Center Forward,2,Villarreal,222,['1b1295a5-8870-49c6-9eb8-ff7b65b01f29'],1,,,,,,,,,,,,,,,,,Villarreal,222,00:00:01.477,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.336338,,,,,,,,,,,,,,,1818442b-af2f-42cd-a915-34555907632b,10,,"[49.1, 37.8]",266106,0,,,,,1.9177517,,Left Foot,,,,"[42.7, 55.5]",Ground Pass,18.82153,,,,Manuel Trigueros Muñoz,6771.0,,,,,,1,From Kick Off,Bruno Soriano Llido,22819.0,Left Defensive Midfield,2,Villarreal,222,['448ce693-7cc2-4d3e-9003-0bd1b1b6f7a1'],3,,,,,,,,,,,,,,,,,Villarreal,222,00:00:03.156,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,0.2768,,,,,,,,,,,,,,,9894b39f-bbed-4474-af4c-f0c1c5aafa4c,13,,"[48.8, 60.2]",266106,0,,,,,-0.24175286,,Right Foot,,,,"[56.1, 58.4]",Ground Pass,7.5186434,,Incomplete,,Denis Suárez Fernández,6609.0,,,,,,1,From Kick Off,Manuel Trigueros Muñoz,6771.0,Right Defensive Midfield,2,Villarreal,222,"['2af23d58-0511-44e0-920a-55de601f6a99', 'e3a434ea-3914-4fc8-b77c-584d3ef9ec56']",6,,,,,,,,,,,,,,,,,Villarreal,222,00:00:06.459,Pass,,2015/2016
