50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,15d3dc6d-67f5-4e3d-9399-c65b1c161565,1,,,266142,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 7909, 'name': 'Nicolás Martín Pareja'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 6825, 'name': 'Daniel Filipe Martins Carriço'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a039a430-0f17-433f-b60d-d42656009ed7,2,,,266142,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3a85c494-8168-4e7f-8849-e5697d4ef385,3,,,266142,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['3aa6ed19-382c-4066-9aa3-8753dd2e547f'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3aa6ed19-382c-4066-9aa3-8753dd2e547f,4,,,266142,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['3a85c494-8168-4e7f-8849-e5697d4ef385'],0,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,14c12a4b-d4af-4f40-9d70-e195ba460af4,2040,,,266142,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Barcelona,217,['b1f0c33d-4436-49ba-8d93-9e8a5611abed'],0,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b1f0c33d-4436-49ba-8d93-9e8a5611abed,2041,,,266142,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Barcelona,217,['14c12a4b-d4af-4f40-9d70-e195ba460af4'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.592,,,,,,,,,,,,,eb39b30b-5ba6-47aa-a6ae-5570faec7a5f,5,,"[61.0, 40.1]",266142,0,,,,-1.8925469,,Right Foot,,,,"[59.7, 36.2]",,Ground Pass,,4.110961,,,,,Éver Maximiliano David Banega,5504.0,,,,,Kick Off,1,From Kick Off,Carlos Arturo Bacca Ahumada,5688.0,Center Forward,2,Sevilla,213,['00074454-0b4c-472a-a72a-9422e607823e'],0,,,,,,,,,,,,,,,Sevilla,213,00:00:00.513,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.099127,,,,,,,,,,,,,13432ae6-f045-4f50-81d9-1031d021fe05,8,,"[66.8, 36.2]",266142,0,,,,-1.406488,,Right Foot,,,,"[70.0, 16.9]",,Ground Pass,,19.563486,,,,,Benoît Trémoulinas,27483.0,,,,,,1,From Kick Off,Éver Maximiliano David Banega,5504.0,Center Attacking Midfield,2,Sevilla,213,['b65936c7-aaae-475c-8c09-6efd04f372a5'],2,,,,,,,,,,,,,,,Sevilla,213,00:00:02.305,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.232841,,,,,,,,,,,,,5082bdb5-ab23-4e46-83f5-d0da8ab84f03,11,,"[106.3, 5.7]",266142,0,,,,1.3593013,,Left Foot,True,,,"[113.6, 39.7]",,High Pass,,34.77485,,,Incomplete,,,,,,,,,1,From Kick Off,Benoît Trémoulinas,27483.0,Left Back,2,Sevilla,213,['b5a3dcc2-33c7-44fd-8807-8e35537ee713'],8,,,,,,,,,,,,,,,Sevilla,213,00:00:08.693,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.379448,,,,,,,,,,,,,82e34299-0b10-4e29-a56e-d71866dd6c3d,16,,"[6.0, 36.0]",266142,0,,,,-0.717854,,Right Foot,,,,"[42.3, 4.3]",,High Pass,,48.193153,,,,,Jordi Alba Ramos,5211.0,,,,,Goal Kick,1,From Goal Kick,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,3,Barcelona,217,['225826d6-1b53-4ab6-8996-f2709f5614c5'],29,,,,,,,,,,,,,,,Barcelona,217,00:00:29.067,Pass,,2014/2015
