ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6b78daec-bb36-4dcc-815f-38242934c298,1,,,266160,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8801, 'name': 'Iván López Mendoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Levante UD,221,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1d111de-4183-4877-8092-c56aae8cf0d2,2,,,266160,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ab151511-4cd2-4099-8015-54b6f68de95b,3,,,266160,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['8fef3381-f833-43a6-8b75-26d9f06d2e2e'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8fef3381-f833-43a6-8b75-26d9f06d2e2e,4,,,266160,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['ab151511-4cd2-4099-8015-54b6f68de95b'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c477f4d8-d20f-464c-a5ed-439103053ea4,1700,,,266160,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Barcelona,217,['3a2d416c-f64b-4e02-ac33-0aa415c2ebb2'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3a2d416c-f64b-4e02-ac33-0aa415c2ebb2,1701,,,266160,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Barcelona,217,['c477f4d8-d20f-464c-a5ed-439103053ea4'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,0.5646,,,,,,,,,,,,,7936eacc-e92c-4241-af24-8662da79e7d7,5,,"[61.0, 40.1]",266160,0,,True,,,-2.6476512,,Right Foot,,,,"[59.7, 39.4]",,Ground Pass,1.4764823,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['e0cc3c02-3216-4628-8daf-788156da0360'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.398,Pass,,2015/2016
,,,,,,,,,,,,,,1.4382,,,,,,,,,,,,,3b5a947f-dbb0-441d-9c3d-cd932855a4d9,7,,"[59.7, 40.1]",266160,0,,True,,,-3.0157552,,Left Foot,,,,"[43.1, 38.0]",,Ground Pass,16.732304,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['7928db8b-6a8a-4800-8a2e-99edb7f68ebd'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.015,Pass,,2015/2016
,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,8d17704d-49a6-485f-baec-f5fb25db0758,10,,"[42.6, 40.3]",266160,0,,,,,-1.7816377,,Right Foot,,,,"[36.8, 13.2]",,Ground Pass,27.713715,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Center Defensive Midfield,2,Barcelona,217,"['0f2f6580-077f-4f3e-a5a1-12869a756ce8', '5b604bb9-fd17-45c0-889e-902141c9a8d9']",3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.169,Pass,True,2015/2016
,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,3d03eeac-cd1d-4d9c-9c7b-30c3b8ee6380,13,,"[38.9, 10.8]",266160,0,,,,,-0.41299972,,Left Foot,,,,"[56.7, 3.0]",,Ground Pass,19.43399,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['0c989e97-643d-4e09-96ca-ca8bb7008339'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.569,Pass,,2015/2016
