ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1c8afe10-663d-42c1-bbe4-b4c7cf93ba13,1,,,266230,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10277, 'name': 'Fabricio Martín Agosto Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 26107, 'name': 'Alberto Lopo García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6734, 'name': 'Luis Carlos Correia Pinto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 23806, 'name': 'Alejandro Bergantiños García'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 12358, 'name': 'Haris Medunjanin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 24234, 'name': 'Juan Domínguez Lamas'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 18243, 'name': 'Ivan Ricardo Neves Abreu Cavaleiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 27243, 'name': 'Oriol Riera Magem'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d5b6be02-66fb-4d88-a687-514b9bb1cd82,2,,,266230,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fa125e1e-cbc0-4d73-8fd4-a7c4a672b153,3,,,266230,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['fea05de3-8eb6-4327-8812-14f2829bc343'],0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fea05de3-8eb6-4327-8812-14f2829bc343,4,,,266230,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['fa125e1e-cbc0-4d73-8fd4-a7c4a672b153'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,19a43905-e5c6-4253-9b94-15ea1278aead,2107,,,266230,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,75,Barcelona,217,['990d2f65-de8a-4d98-b0a0-3937a0cc76f5'],0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,990d2f65-de8a-4d98-b0a0-3937a0cc76f5,2108,,,266230,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,75,Barcelona,217,['19a43905-e5c6-4253-9b94-15ea1278aead'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,f8f39676-2222-458a-8b3f-6620accd2b4e,5,,"[61.0, 40.1]",266230,0,,,,,-1.929567,,Right Foot,,,,"[60.1, 37.7]",,Ground Pass,2.5632012,,,,Juan Domínguez Lamas,24234.0,,,,,,Kick Off,1,From Kick Off,Oriol Riera Magem,27243.0,Center Forward,2,RC Deportivo La Coruña,219,['c79ac88b-ddfa-426c-98a4-8cd5fd78a541'],0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.431,Pass,,2014/2015
,,,,,,,,,,,,,,,2.1401,,,,,,,,,,,,,3c6d7ac7-5dcc-462b-b3c7-1cbf19e5d845,8,,"[61.0, 37.7]",266230,0,,,,,-2.911851,,Left Foot,,,,"[48.6, 34.8]",,Ground Pass,12.734598,,,,Haris Medunjanin,12358.0,,,,,,,1,From Kick Off,Juan Domínguez Lamas,24234.0,Center Attacking Midfield,2,RC Deportivo La Coruña,219,['16512290-9845-4777-b298-ad3310e60024'],0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.591,Pass,,2014/2015
,,,,,,,,,,,,,,,4.160792,,,,,,,,,,,,,e4fbbe7a-0e1d-4966-af57-96326c6fe985,11,,"[51.4, 35.1]",266230,0,,,,,0.6776012,,Left Foot,,,,"[106.7, 79.6]",,High Pass,70.98126,,Out,,Juan Isaac Cuenca López,26776.0,,,True,,,,1,From Kick Off,Haris Medunjanin,12358.0,Left Defensive Midfield,2,RC Deportivo La Coruña,219,['bdf8582c-f0a1-47c6-b080-dfe9b4d606b9'],3,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:03.710,Pass,,2014/2015
,,,,,,,,,,,,,,,0.6251,,,,,,,,,,,,,f1454600-7eed-4ac9-86f1-18d86404eb68,13,,"[12.1, 0.1]",266230,0,,,,,0.9324765,,,,,,"[19.0, 9.4]",,Low Pass,11.580155,,,,Sergio Busquets i Burgos,5203.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['60c54c71-bdc7-437e-b64b-42e69210a436'],17,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.758,Pass,,2014/2015
