50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ecb5275b-a8a3-4fb6-b0e6-502ac6859eef,1,,,266236,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 12191, 'name': 'Gorka Elustondo Urkola'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6656, 'name': 'Mikel Rico Moreno'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,645fa3e0-256b-4feb-9e7a-ab32b03b96e8,2,,,266236,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,772f9af1-3b25-4425-881f-a5a1551b180c,3,,,266236,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['9bd4f06f-edc2-4d15-bd42-2ec4f2dcaaed'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9bd4f06f-edc2-4d15-bd42-2ec4f2dcaaed,4,,,266236,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['772f9af1-3b25-4425-881f-a5a1551b180c'],0,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,89876ea9-304d-491e-93b0-3a69645be02d,1841,,,266236,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Barcelona,217,['ecce56f1-ef53-47c1-a870-f6877ec0c22e'],0,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ecce56f1-ef53-47c1-a870-f6877ec0c22e,1842,,,266236,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Barcelona,217,['89876ea9-304d-491e-93b0-3a69645be02d'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,0.3519,,,,,,,,,,,,,,6450cfa2-b523-41ff-8083-21948f45f80d,5,,"[61.0, 40.1]",266236,0,,,,,1.7251151,,Right Foot,,,,"[60.3, 44.6]",,Ground Pass,,4.554119,,,,,Javier Eraso Goñi,6606.0,,,,,Kick Off,1,From Kick Off,Mikel Rico Moreno,6656.0,Right Center Midfield,2,Athletic Club,215,['499d9948-a35e-4210-b3f4-1a61ca50508d'],0,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.255,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.461184,,,,,,,,,,,,,,a84cb47b-ddb4-4f93-9118-f95082a371ed,8,,"[58.8, 45.5]",266236,0,,,,,-2.6620734,,Right Foot,,,,"[28.8, 29.9]",,Ground Pass,,33.813606,,,,,Aymeric Laporte,4353.0,,,,,,1,From Kick Off,Javier Eraso Goñi,6606.0,Center Attacking Midfield,2,Athletic Club,215,['bd92e1aa-ef8e-49a9-804e-5582382261dd'],1,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.415,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,5.583953,,,,,,,,,,,,,,8265f15b-025e-4c79-9e5c-e99c2e0b5e2f,11,,"[35.3, 30.4]",266236,0,,,,,0.2069922,,Left Foot,,,,"[105.3, 45.1]",,High Pass,,71.52685,,,Incomplete,,,,,,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Athletic Club,215,['4d6e0649-ba71-4721-b042-1c106600350c'],5,,,,,,,,,,,,,,,,Athletic Club,215,00:00:05.766,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.7139,,,,,,,,,,,,,,6ada4540-409c-465f-b805-e592345eb06c,14,,"[14.8, 35.5]",266236,0,,,,,1.5263052,,Left Foot,,,,"[16.1, 64.7]",,Ground Pass,,29.228924,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,Regular Play,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,3,Barcelona,217,['b2c96c8e-c5f7-4224-85b5-a2841e1d1fa3'],16,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.691,Pass,,2015/2016
