bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5f5bc98c-8b4b-40ac-85aa-e37b078efea2,1,,,266240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8724, 'name': 'Carlos Martínez Díez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26764, 'name': 'Jon Ansotegi Gorostola'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6674, 'name': 'Alberto De La Bella Madureño'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6770, 'name': 'Esteban Félix Granero Molina'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Real Sociedad,210,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9f8a721b-8825-4eb6-a423-2604b5fb448f,2,,,266240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 31}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,True,879beff9-acb3-48f9-8de8-ec4201b44e66,3,,,266240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['f9c4fd51-22de-4f23-bd67-50eae46c22e9'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,True,f9c4fd51-22de-4f23-bd67-50eae46c22e9,4,,,266240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['879beff9-acb3-48f9-8de8-ec4201b44e66'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fa07e432-eb9f-43ea-8d2a-58f237721af4,1757,,,266240,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,Barcelona,217,['145d9710-acef-4759-94ff-6354c6c51d1f'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,145d9710-acef-4759-94ff-6354c6c51d1f,1758,,,266240,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,Barcelona,217,['fa07e432-eb9f-43ea-8d2a-58f237721af4'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,1.0611,,,,,,,,,,,,,,,fff3baec-3ff9-4086-9426-f6182e669458,5,,"[61.0, 40.1]",266240,0,,,,,-2.9028704,,Right Foot,,,,"[38.4, 34.6]",Ground Pass,,23.259623,,,,,Íñigo Martínez Berridi,6665.0,,,,,,Kick Off,1,From Kick Off,Carlos Alberto Vela Garrido,5560.0,Center Forward,2,Real Sociedad,210,['25e58b2f-e208-4a95-b03c-5d1830b695f6'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.064,Pass,,2014/2015
,,,,,,,,,,,,,,3.0711,,,,,,,,,,,,,,,28a32e95-2e69-4a46-9d35-04f53236f113,8,,"[39.0, 34.6]",266240,0,,,,,0.6388316,,Left Foot,,,,"[83.7, 67.8]",High Pass,,55.680607,,,,,Xabier Prieto Argarate,6690.0,,,,,,,1,From Kick Off,Íñigo Martínez Berridi,6665.0,Left Center Back,2,Real Sociedad,210,['803c3a5c-3bde-4ccc-8ff4-58cb96dc925a'],1,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:01.245,Pass,,2014/2015
,,,,,,,,,,,,,,2.121,,,,,,,,,,,,,,,9592d229-f7a5-416c-9196-4f4a9b7c8c71,12,,"[27.9, 6.6]",266240,0,,,,,0.303404,,Left Foot,,,,"[60.8, 16.9]",High Pass,,34.47463,,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,Recovery,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Real Sociedad,210,"['1289f0d7-3609-41c5-9933-72e1d0099199', 'fa1b9941-e3ee-48d1-80f9-9ca48fa5994d']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.306,Pass,,2014/2015
,,,,,,,,,,,,,,1.3941,,,,,,,,,,,,,,,1289f0d7-3609-41c5-9933-72e1d0099199,14,,"[59.3, 63.2]",266240,0,,,,,-0.045653533,,Right Foot,,,,"[79.0, 62.3]",Low Pass,,19.720547,,,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Jon Ansotegi Gorostola,26764.0,Right Center Back,2,Real Sociedad,210,"['888f941d-b372-4806-b4a2-fc295c3847c5', '9592d229-f7a5-416c-9196-4f4a9b7c8c71']",8,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:08.427,Pass,,2014/2015
