50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,824e522e-06a0-4330-88cc-816c622aaebb,1,,,266420,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25971, 'name': 'Esteban Andrés Suárez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26589, 'name': 'Nélson Augusto Tomar Marcos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 26494, 'name': 'Hernán Darío Pellerano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25824, 'name': 'Ángel Trujillo Canorea'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 24075, 'name': 'Christian Fernández Salas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 27247, 'name': 'Marcos Tébar Ramiro'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7022, 'name': 'Jesús Joaquín Fernández Sáez de la Torre'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 26435, 'name': 'Fernando Soriano Marco'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 24145, 'name': 'Rodrigo Ríos Lozano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Almería,403,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,856abd5c-8e39-40b9-ae4b-7ea1d69be5ce,2,,,266420,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dd333eec-c0d5-413c-b5a8-55594a780a0d,3,,,266420,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,['246396ee-eb64-4037-b874-41fadcb498f0'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,246396ee-eb64-4037-b874-41fadcb498f0,4,,,266420,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,['dd333eec-c0d5-413c-b5a8-55594a780a0d'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1a68e748-5061-44fc-a990-023880e35c76,1979,,,266420,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Barcelona,217,['0b49d3a7-c779-44bb-95bc-17e4c836a96d'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b49d3a7-c779-44bb-95bc-17e4c836a96d,1980,,,266420,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Barcelona,217,['1a68e748-5061-44fc-a990-023880e35c76'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.715255,,,,,,,,,,,,,084e9f08-11f9-46e5-88d9-3768de5cdb32,5,,"[60.0, 40.0]",266420,0,,,,,1.4056476,,Right Foot,,,"[60.3, 41.8]",,Ground Pass,,1.8248287,,,,Fernando Soriano Marco,26435.0,,,,,Kick Off,1,From Kick Off,Rodrigo Ríos Lozano,24145.0,Center Forward,2,Almería,403,['f8b75d68-114c-4f29-8c9f-a1be0942e79b'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.711,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.226688,,,,,,,,,,,,,cdddc962-f56c-4210-a173-edd91130f779,8,,"[60.0, 41.0]",266420,0,,,,,2.8651674,,Right Foot,,,"[45.9, 45.0]",,Ground Pass,,14.656398,,,,José Antonio García Rabasco,24149.0,,,,,,1,From Kick Off,Fernando Soriano Marco,26435.0,Center Attacking Midfield,2,Almería,403,['892f045c-462f-4dcb-93eb-9b00f52e66ba'],1,,,,,,,,,,,,,,,,,Almería,403,00:00:01.507,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.319376,,,,,,,,,,,,,fca46c9e-de4b-4b4d-88b2-1ae78566460d,11,,"[45.4, 44.9]",266420,0,,,,,1.7970154,,Left Foot,,,"[39.6, 70.1]",,Ground Pass,,25.858847,,,,Nélson Augusto Tomar Marcos,26589.0,,,,,,1,From Kick Off,José Antonio García Rabasco,24149.0,Right Center Midfield,2,Almería,403,['d26c6a1c-8d33-4ebf-96f9-17d24ae59e97'],3,,,,,,,,,,,,,,,,,Almería,403,00:00:03.735,Pass,,2013/2014
,,,,,,,,,,,,,,,,2.415832,,,,,,,,,,,,,4f846d0f-d4a8-4bfa-a191-82fcd32750c0,14,,"[39.6, 70.1]",266420,0,,,,,-2.296616,,Right Foot,,,"[26.2, 55.0]",,Ground Pass,,20.188362,,,,Ángel Trujillo Canorea,25824.0,,,,,,1,From Kick Off,Nélson Augusto Tomar Marcos,26589.0,Right Back,2,Almería,403,['6560c8f4-e54d-43b0-991a-36bcc0dd3a30'],6,,,,,,,,,,,,,,,,,Almería,403,00:00:06.106,Pass,,2013/2014
