ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5affd831-590f-4e98-a908-d08bd4e5b869,1,,,266424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ec49ca6b-4eb5-4d10-8e2c-981a33b5e970,2,,,266424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6d900b31-be0e-4a53-b058-38c98d4dc9da,3,,,266424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['2d93744e-e07b-4d65-8353-a7321e2124bb'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2d93744e-e07b-4d65-8353-a7321e2124bb,4,,,266424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['6d900b31-be0e-4a53-b058-38c98d4dc9da'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,89d6d190-6103-42ee-b7ca-43cb43be61f8,2116,,,266424,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Barcelona,217,['3d645125-bffc-4ef2-a180-b17cab065845'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3d645125-bffc-4ef2-a180-b17cab065845,2117,,,266424,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Barcelona,217,['89d6d190-6103-42ee-b7ca-43cb43be61f8'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.207347,,,,,,,,,,,,,81777385-a4cd-47df-ac69-950ea2965b74,5,,"[61.0, 40.1]",266424,0,,,,,1.7577755,,Left Foot,,,,"[60.3, 43.8]",,Ground Pass,,3.765634,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,Kick Off,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['e4791547-44e3-4b8c-bb22-479e619a29bf'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.602,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.635443,,,,,,,,,,,,,a2b031ba-f988-468d-922e-d469a09847b3,8,,"[60.7, 43.6]",266424,0,,,,,-2.7699919,,Right Foot,,,,"[47.1, 38.3]",,Ground Pass,,14.596232,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['5ae4d03f-aaea-4633-9cce-0ce0bbe8b2e2'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.003,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.153906,,,,,,,,,,,,,7700a6ac-26e2-433b-bd01-c0b2044287d8,15,,"[49.8, 33.1]",266424,0,,,,,-1.601438,,Right Foot,,,,"[49.0, 7.0]",,Ground Pass,,26.112257,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['315c9420-1d47-45ea-a7a7-39b6f52b9d12'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.755,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.653983,,,,,,,,,,,,,edc982f9-dcf7-4313-b6f5-8496adca3e97,18,,"[43.9, 8.5]",266424,0,,,,,2.6083524,,Left Foot,,,,"[15.1, 25.5]",,Ground Pass,,33.443085,,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['37d5a1e5-8de4-49ac-8df2-fb220e33f434'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.961,Pass,,2015/2016
