ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,24330609-5b8b-4cb6-8426-daee11e07b82,1,,,266433,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1520b30d-1af5-451d-983d-e4ba9e8d22ee,2,,,266433,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6706, 'name': 'Francisco Casilla Cortés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 26623, 'name': 'Diego Daniel Colotto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 5573, 'name': 'Héctor Alfredo Moreno Herrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 20134, 'name': 'Joan Capdevila Méndez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 24744, 'name': 'Juan Daniel Forlín'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 19765, 'name': 'Simão Pedro Fonseca Sabrosa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 6767, 'name': 'Sergio García De La Fuente'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Espanyol,214,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b7b33fd3-2a99-4d65-b85c-16d9e2a5e0ab,3,,,266433,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5ca49a72-9a53-4c98-982f-bcf9fc7e73ed'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5ca49a72-9a53-4c98-982f-bcf9fc7e73ed,4,,,266433,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b7b33fd3-2a99-4d65-b85c-16d9e2a5e0ab'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2f04571a-2823-4ae9-af4c-42f2f4950ba7,2057,,,266433,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Barcelona,217,['ff2e6ca2-9873-4a0e-9f91-79dc28aaf7c0'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ff2e6ca2-9873-4a0e-9f91-79dc28aaf7c0,2058,,,266433,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Barcelona,217,['2f04571a-2823-4ae9-af4c-42f2f4950ba7'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,978e399b-db78-4105-a663-ebcdaabc6f82,5,,"[60.0, 40.0]",266433,0,,,,,1.8244704,,Right Foot,,,,"[59.3, 42.7]",,Ground Pass,,2.7892652,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,['4e9b4d74-cb42-4c79-b4e8-473c10a01f6d'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.410,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.0844,,,,,,,,,,,,,,0cfb2ee2-e5c5-4102-9ddc-0a1f6706c1e4,7,,"[59.3, 42.0]",266433,0,,,,,-2.6701326,,Right Foot,,,,"[49.1, 36.8]",,Ground Pass,,11.449018,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['1c223960-1c7c-44cb-851c-185ec181828d'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.130,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.1992,,,,,,,,,,,,,,cfc845ae-6b16-45cb-b6de-a6eb227b74f1,9,,"[48.8, 36.8]",266433,0,,,,,1.5707964,,Left Foot,,,,"[48.8, 47.8]",,Ground Pass,,11.0,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['b3102a0b-d5cc-41a4-97f8-ea37c540f8b2'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.214,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.4603,,,,,,,,,,,,,,3e9ec686-d0a2-49a3-95d2-5f5969a51166,12,,"[50.4, 52.6]",266433,0,,,,,1.0741029,,Right Foot,,,,"[63.3, 76.4]",,Ground Pass,,27.071203,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['c4fa6ef2-6282-4f52-8342-32d959854134'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.041,Pass,,2012/2013
