bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a919186e-4cab-4a1d-ba26-05aa68d6bd4e,1,,,266467,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Celta Vigo,209,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f0c7d83a-c556-46d3-89c4-56065b129108,2,,,266467,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ba5c52f4-09c9-4c66-8673-e8850e7fb8f7,3,,,266467,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['f4afff53-957a-4ccc-bd43-c7be1b705e40'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f4afff53-957a-4ccc-bd43-c7be1b705e40,4,,,266467,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['ba5c52f4-09c9-4c66-8673-e8850e7fb8f7'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8b9b05e5-469c-4b39-aa2f-1d3217a8cde7,1888,,,266467,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,92,Barcelona,217,['fa1470cb-276e-44fc-8ce9-20ab00779163'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fa1470cb-276e-44fc-8ce9-20ab00779163,1889,,,266467,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,92,Barcelona,217,['8b9b05e5-469c-4b39-aa2f-1d3217a8cde7'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,1.0623,,,,,,,,,,,,e419eb07-4966-4544-b27a-db3b7dbf855f,5,,"[61.0, 41.0]",266467,0,,,,,2.5583632,,Left Foot,,,,"[51.3, 47.4]",,Ground Pass,,11.621101,,,Augusto Matías Fernández,19668.0,,,,,,Kick Off,1,From Kick Off,Iago Aspas Juncal,5217.0,Left Center Forward,2,Celta Vigo,209,['611ed7b0-8ab9-4869-afa9-6c3f1e119abc'],1,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:01.157,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.283353,,,,,,,,,,,,4d304017-2e34-413e-a513-32f394a89cca,9,,"[50.9, 47.7]",266467,0,,,,,-2.6165566,,Right Foot,,,,"[34.5, 38.2]",,Ground Pass,,18.952837,,,Sergi Gómez Solà,6804.0,,,,,,,1,From Kick Off,Augusto Matías Fernández,19668.0,Right Defensive Midfield,2,Celta Vigo,209,"['51c357a1-a677-4909-a987-b8556aa446d2', 'f3a0afb3-6e15-44cb-8a10-48e3544ff621']",2,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:02.625,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,3.7017,,,,,,,,,,,,56cbc960-3775-4655-9189-ffee72a71a2f,12,,"[28.5, 35.0]",266467,0,,,,,0.12821268,,Right Foot,,,,"[85.9, 42.4]",,High Pass,,57.87504,Incomplete,,Iago Aspas Juncal,5217.0,,,,,,,1,From Kick Off,Sergi Gómez Solà,6804.0,Left Center Back,2,Celta Vigo,209,"['1dff09d4-09b5-4c57-a59c-0eb5dc5a0fd5', '2b41bc12-56db-4115-ba89-ca44c5c861e0']",6,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:06.532,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.6863,,,,,,,,,,,,1dff09d4-09b5-4c57-a59c-0eb5dc5a0fd5,14,,"[35.1, 38.6]",266467,0,,,,,0.23035066,,Head,,,,"[57.7, 43.9]",,High Pass,,23.213142,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Celta Vigo,209,"['56cbc960-3775-4655-9189-ffee72a71a2f', '790d59e8-1d53-4860-ad99-1b0a02003899']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.233,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.1919,,,,,,,,,,,,8431e26a-a60a-4af5-8989-2247f25bad2b,17,,"[64.5, 36.1]",266467,0,,,,,1.0483929,,Right Foot,,,,"[66.4, 39.4]",,Ground Pass,,3.8078866,Incomplete,,Nemanja Radoja,6796.0,,,,,,,1,From Kick Off,Augusto Matías Fernández,19668.0,Right Defensive Midfield,2,Celta Vigo,209,"['6152ec93-5a91-495a-b032-2851275add04', '89325138-0b8c-44be-8188-e83bbc0ba3a1']",12,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:12.787,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.560317,,,,,,,,,,,,99eaf4da-e4f3-410a-83fb-86764165cabc,22,,"[48.2, 56.9]",266467,0,,,,,1.0706353,,Right Foot,,,,"[52.9, 65.5]",,Ground Pass,,9.80051,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Center Midfield,3,Barcelona,217,['dc4a7a7d-b16f-4972-96ff-534200a3df4d'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.523,Pass,,2015/2016
,,,,,,,,,,,,,,,,,3.1492,,,,,,,,,,,,a816c531-fcb2-4222-9526-ddf9ea6bf7b1,29,,"[54.4, 64.2]",266467,0,,,,,0.30865088,,Left Foot,,,,"[88.9, 75.2]",,Ground Pass,,36.211185,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,"['e35e7be2-c3e4-4bbe-a1f2-d671f18a363f', 'ff4491af-97a4-4755-8630-d42b0a7c6576']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.946,Pass,,2015/2016
,,,,,,,,,,,,,,,,,2.701299,,,,,,,,,,,,c7d111e5-677f-475f-8318-829007fb73ec,33,,"[19.4, 7.0]",266467,0,,,,,1.8604879,,Right Foot,,,,"[10.1, 38.2]",,Ground Pass,,32.556564,,,Sergio Álvarez Conde,6884.0,,,,,,,1,Regular Play,Sergi Gómez Solà,6804.0,Left Center Back,4,Celta Vigo,209,['631c7afe-3330-4804-b4ab-6e20fcc36c74'],24,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:24.673,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.066787,,,,,,,,,,,,d406d706-d405-411b-a926-3287ad2cf3d0,37,,"[11.8, 46.5]",266467,0,,,,,-0.10330982,,Right Foot,,,,"[41.7, 43.4]",,Ground Pass,,30.060272,,,Augusto Matías Fernández,19668.0,,,,,,,1,Regular Play,Sergio Álvarez Conde,6884.0,Goalkeeper,4,Celta Vigo,209,['2efe3393-a464-4297-9b16-2441744ae3b1'],29,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:29.347,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.710747,,,,,,,,,,,,4d29c459-7279-423b-b1d9-fdfbc9db5e4b,40,,"[39.0, 31.1]",266467,0,,,,,-1.1564285,,Right Foot,,,,"[49.6, 7.0]",,Ground Pass,,26.328121,,,Jonathan Castro Otto,6802.0,,,,,,,1,Regular Play,Augusto Matías Fernández,19668.0,Right Defensive Midfield,4,Celta Vigo,209,['2f838ffd-a6b1-48c4-b21a-7959e78ac5a0'],33,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:33.042,Pass,,2015/2016
