50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b9631c43-745d-4177-846d-fcacd2a8ac70,1,,,266477,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6755, 'name': 'Sergio Asenjo Andrés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7034, 'name': 'Mateo Pablo Musacchio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6828, 'name': 'Jaume Vicent Costa Jordá'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 6357, 'name': 'Jonathan dos Santos Ramírez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 25351, 'name': 'Alexandre Rodrigues da Silva'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Villarreal,222,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b37f885-064a-4e6b-b95a-ea531eb5fc37,2,,,266477,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1980ce12-01a4-458e-83db-8b0f35aeb737,3,,,266477,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['90dc7a13-f5c5-4684-ba68-4528fe75af91'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,90dc7a13-f5c5-4684-ba68-4528fe75af91,4,,,266477,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['1980ce12-01a4-458e-83db-8b0f35aeb737'],0,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4612b01e-0f8b-46b5-b0b6-1a53795b26e9,1971,,,266477,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,92,Villarreal,222,['150ce838-9e11-4098-8ead-5a1e32bcfc03'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,150ce838-9e11-4098-8ead-5a1e32bcfc03,1972,,,266477,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,92,Villarreal,222,['4612b01e-0f8b-46b5-b0b6-1a53795b26e9'],0,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,1.0528,,,,,,,,,,,,,e78b9050-723f-4212-95e4-585d487e2666,5,,"[61.0, 40.1]",266477,0,,,,,-3.0621145,,Right Foot,,,,"[49.7, 39.2]",,Ground Pass,,11.335784,,,,,Bruno Soriano Llido,22819.0,,,,,,Kick Off,1,From Kick Off,Nicola Sansone,6859.0,Right Center Forward,2,Villarreal,222,['594319a3-5f41-494c-8319-ab1417323aac'],1,,,,,,,,,,,,,,,,Villarreal,222,00:00:01.007,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.489515,,,,,,,,,,,,,4d06a17a-e87e-47ce-8558-04b1910a2349,8,,"[46.0, 36.9]",266477,0,,,,,-1.2638869,,Left Foot,,,,"[56.3, 4.4]",,Ground Pass,,34.09311,,,,,Roberto Soriano,6759.0,,,,,,,1,From Kick Off,Bruno Soriano Llido,22819.0,Left Center Midfield,2,Villarreal,222,['53736c3f-9a3e-4e3f-8621-fcd12cf01ecb'],3,,,,,,,,,,,,,,,,Villarreal,222,00:00:03.135,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.178244,,,,,,,,,,,,,5b4508c3-2446-434d-97b9-6a7a8c291bb8,11,,"[56.3, 4.4]",266477,0,,,,,2.9546134,,Right Foot,,,,"[45.2, 6.5]",,Ground Pass,,11.296903,,,,,Jaume Vicent Costa Jordá,6828.0,,,,,,,1,From Kick Off,Roberto Soriano,6759.0,Left Midfield,2,Villarreal,222,['6ee2a518-1d17-46db-8e6e-3433858aef8f'],6,,,,,,,,,,,,,,,,Villarreal,222,00:00:06.612,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.032347,,,,,,,,,,,,,eeda867b-f281-4037-b84f-f25ab1b10196,14,,"[45.8, 9.0]",266477,0,,,,,1.55228,,Left Foot,,,,"[46.0, 19.8]",,Ground Pass,,10.801851,,,,,Bruno Soriano Llido,22819.0,,,,,,,1,From Kick Off,Jaume Vicent Costa Jordá,6828.0,Left Back,2,Villarreal,222,['78e62a0e-ea78-406a-af33-7935110ac442'],8,,,,,,,,,,,,,,,,Villarreal,222,00:00:08.339,Pass,,2016/2017
