ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4936d731-b4ce-4b86-9629-87930b0cdf43,1,,,266490,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3508, 'name': 'Sandro Ramírez Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,83bbddf6-c166-489b-8cc1-3bcde44fc263,2,,,266490,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6730, 'name': 'Rubén Iván Martínez Andrade'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 25824, 'name': 'Ángel Trujillo Canorea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 24}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 8801, 'name': 'Iván López Mendoza'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 27250, 'name': 'Nabil Ghilas'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 6684, 'name': 'Roger Martí Salvador'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Levante UD,221,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fcab8224-014f-4f82-9033-975e0a9edc62,3,,,266490,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['13bccd74-0b9f-48db-90ac-eb7db2fbd6cc'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,13bccd74-0b9f-48db-90ac-eb7db2fbd6cc,4,,,266490,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['fcab8224-014f-4f82-9033-975e0a9edc62'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9a12bb0d-cc50-4f2e-b0fc-dea649db38df,1957,,,266490,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Barcelona,217,['b85b0e3f-91c2-42ba-8fd9-dc2b5f70a60e'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b85b0e3f-91c2-42ba-8fd9-dc2b5f70a60e,1958,,,266490,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Barcelona,217,['9a12bb0d-cc50-4f2e-b0fc-dea649db38df'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.065961,,,,,,,,,,,,,,f90a6b8e-af63-43fa-b813-c629a62ca361,5,,"[61.0, 40.1]",266490,0,,True,,,2.095592,,Right Foot,,,"[59.9, 42.0]",,Ground Pass,,2.1954498,,,,Roger Martí Salvador,6684.0,,,,,Kick Off,1,From Kick Off,Nabil Ghilas,27250.0,Right Center Forward,2,Levante UD,221,['2fd5dcbc-d694-4a91-8d30-0c755dc3d01b'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.235,Pass,,2015/2016
,,,,,,,,,,,,,,,2.116858,,,,,,,,,,,,,,de0b3b6c-479e-42fa-b3e2-babe3c4416e1,7,,"[60.4, 41.8]",266490,0,,True,,,-2.799088,,Left Foot,,,"[36.0, 33.1]",,Ground Pass,,25.904633,,,,Juan Francisco García García,26023.0,,,,,,1,From Kick Off,Roger Martí Salvador,6684.0,Left Center Forward,2,Levante UD,221,['ea56a35c-3efc-4119-9f9d-fc9c2f378f99'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.647,Pass,,2015/2016
,,,,,,,,,,,,,,,2.3867,,,,,,,,,,,,,,fdd8e1a0-52d0-4734-a8a4-56c493623972,10,,"[42.2, 21.3]",266490,0,,,,,-0.1465509,,Left Foot,,,"[90.3, 14.2]",,High Pass,,48.62119,,,,Nabil Ghilas,27250.0,,,,,,1,From Kick Off,Juan Francisco García García,26023.0,Left Center Back,2,Levante UD,221,"['494bc531-edc1-4cc5-b72e-bdead4d9906f', 'fcddfcd6-80eb-4291-8f05-faa81527afc2']",6,,,,,,,,,,,,,,,,,Levante UD,221,00:00:06.136,Pass,True,2015/2016
,,,,,,,,,,,,,,,0.938,,,,,,,,,,,,,,9eaa6206-9afc-4ddf-825b-fc30832f70bf,13,,"[90.3, 14.2]",266490,0,,,,True,-2.1193457,,,,,"[83.7, 3.4]",,Low Pass,,12.657014,,,,Antonio García Aranda,6784.0,,,,,,1,From Kick Off,Nabil Ghilas,27250.0,Right Center Forward,2,Levante UD,221,"['393beb8d-6143-4fbf-afd5-077ba02dedd5', 'efbd9ba6-2cb7-441d-b11d-bec62a05423b']",8,,,,,,,,,,,,,,,,,Levante UD,221,00:00:08.564,Pass,True,2015/2016
,,,,,,,,,,,,,,,1.026575,,,,,,,,,,,,,,b4b59e95-e2b5-4c5e-a325-9dd5f10f9759,17,,"[87.4, 3.9]",266490,0,,,,,1.6097376,,Left Foot,,,"[87.1, 11.6]",,Ground Pass,,7.705842,,Incomplete,,Jefferson Andrés Lerma Solís,5678.0,,,,,,1,From Kick Off,Antonio García Aranda,6784.0,Left Wing Back,2,Levante UD,221,"['620a1b4b-9202-47f2-a2a3-3706edf79b94', '9e7efc94-263c-48a7-aa9c-f66d6ccf5978', '9eefa5e8-55ff-41a6-98ed-3e7597bca656']",10,,,,,,,,,,,,,,,,,Levante UD,221,00:00:10.476,Pass,True,2015/2016
,,,,,,,,,,,,,,,1.067359,,,,,,,,,,,,,,ae1b2f74-3151-4071-915a-02816d543d4a,20,,"[86.2, 6.5]",266490,0,,,,,0.6828183,,Left Foot,,,"[93.7, 12.6]",,Low Pass,,9.667471,,,,Nabil Ghilas,27250.0,,,,,Recovery,1,From Kick Off,Antonio García Aranda,6784.0,Left Wing Back,2,Levante UD,221,['2d50f66b-988a-4867-a042-4236e06e8abe'],12,,,,,,,,,,,,,,,,,Levante UD,221,00:00:12.173,Pass,,2015/2016
,,,,,,,,,,,,,,,0.7961,,,,,,,,,,,,,,65233cf9-74ad-42b7-a394-7092821fa173,23,,"[93.9, 12.1]",266490,0,,,,,2.459987,,Right Foot,,,"[88.6, 16.4]",,Ground Pass,,6.824954,,Incomplete,,Jefferson Andrés Lerma Solís,5678.0,,,,,,1,From Kick Off,Nabil Ghilas,27250.0,Right Center Forward,2,Levante UD,221,"['2c994876-bf64-4034-9b36-6eed66db8eac', 'b57c7e34-2130-4e8c-abb5-3ec9bf103204']",13,,,,,,,,,,,,,,,,,Levante UD,221,00:00:13.357,Pass,,2015/2016
,,,,,,,,,True,,,,,,1.266941,,,,,,,,,,,,,,2c994876-bf64-4034-9b36-6eed66db8eac,25,,"[31.5, 63.7]",266490,0,,,,,2.1133757,,Left Foot,,,"[27.4, 70.5]",,Ground Pass,,7.940403,,,,Munir El Haddadi Mohamed,6616.0,,,,,Interception,1,Regular Play,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,3,Barcelona,217,"['65233cf9-74ad-42b7-a394-7092821fa173', 'ca61f9ff-e3a7-44f5-a994-b3683a8131f8']",14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.153,Pass,,2015/2016
,,,,,,,,,,,,,,,0.77371,,,,,,,,,,,,,,cca703b1-8385-4048-81f0-6387506344f5,28,,"[28.4, 71.1]",266490,0,,,,,3.0623937,,Left Foot,,,"[22.1, 71.6]",,Ground Pass,,6.31981,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Munir El Haddadi Mohamed,6616.0,Right Wing,3,Barcelona,217,['4f7b7fc9-f9af-44f3-a2ab-2bf9d59c1e91'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.500,Pass,,2015/2016
,,,,,,,,,,,,,,,1.763,,,,,,,,,,,,,,7d16c6f6-970a-4bfc-9e25-40c7ab790b78,34,,"[22.3, 69.3]",266490,0,,True,,,-1.3588387,,Right Foot,,,"[32.5, 21.9]",,High Pass,,48.48505,,,,Adriano Correia Claro,22102.0,,True,,,Free Kick,1,From Free Kick,Ivan Rakitić,5470.0,Right Defensive Midfield,4,Barcelona,217,['25d28398-fafb-43f9-af4a-321874680a75'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.711,Pass,,2015/2016
,,,,,,,,,,,,,,,1.34185,,,,,,,,,,,,,,bc86b00f-5fe9-422d-b1bc-0874673da299,36,,"[39.7, 20.7]",266490,0,,,,,-0.96087945,,Right Foot,,,"[51.3, 4.1]",,Ground Pass,,20.25142,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Free Kick,Adriano Correia Claro,22102.0,Left Back,4,Barcelona,217,['270218b1-3239-4ad4-80d4-356651b136ba'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.923,Pass,,2015/2016
,,,,,,,,,,,,,,,2.144365,,,,,,,,,,,,,,8363a356-2dc7-46b7-a07d-6d3eec3abcc9,40,,"[48.7, 6.0]",266490,0,,,,,1.9056275,,Right Foot,,,"[34.4, 47.1]",,Ground Pass,,43.516663,,,,Marc Bartra Aregall,7068.0,,True,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,4,Barcelona,217,['dc252ecf-def0-4ba2-9a50-faa831229468'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.559,Pass,,2015/2016
,,,,,,,,,,,,,,,2.126835,,,,,,,,,,,,,,5be00e35-cf19-47a4-8982-fc66d9169965,43,,"[36.8, 49.4]",266490,0,,,,,0.8031178,,Right Foot,,,"[56.2, 69.5]",,Ground Pass,,27.935102,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Free Kick,Marc Bartra Aregall,7068.0,Right Center Back,4,Barcelona,217,['9fa8a0c0-e3ae-481a-b533-cfc81a436634'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.973,Pass,,2015/2016
,,,,,,,,,,,,,,,0.926678,,,,,,,,,,,,,,f09c0214-09e9-49f3-9734-662515afe37a,46,,"[64.1, 68.8]",266490,0,,,,,-2.318712,,Left Foot,,,"[56.4, 60.5]",,Ground Pass,,11.321661,,,,Ivan Rakitić,5470.0,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['514e6084-84df-4e02-9178-1d10cb6def6e'],39,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.423,Pass,,2015/2016
,,,,,,,,,,,,,,,1.956342,,,,,,,,,,,,,,994f849d-ad0a-4dce-9b29-037f64c0f046,49,,"[55.9, 57.2]",266490,0,,,,,-1.9410766,,Right Foot,,,"[46.7, 33.5]",,Ground Pass,,25.423021,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Right Defensive Midfield,4,Barcelona,217,['937cd791-66c2-4268-aadd-d97f35c9a5d4'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.091,Pass,,2015/2016
,,,,,,,,,,,,,,,2.161273,,,,,,,,,,,,,,b0615cd5-45c5-4d50-ba94-82d1ff843586,52,,"[47.2, 33.0]",266490,0,,,,,-1.12481,,Right Foot,,,"[61.4, 3.3]",,Ground Pass,,32.920055,,,,Adriano Correia Claro,22102.0,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,['52ac69fb-12aa-498d-be18-22dcdc8f4500'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.733,Pass,,2015/2016
,,,,,,,,,,,,,,,1.975628,,,,,,,,,,,,,,5c9d8a96-2350-4cf4-8eb4-c513fa51f61c,55,,"[54.5, 4.8]",266490,0,,,,,2.199997,,Left Foot,,,"[43.8, 19.5]",,Ground Pass,,18.18186,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Free Kick,Adriano Correia Claro,22102.0,Left Back,4,Barcelona,217,['cf9ca5de-9359-4020-8a0b-aca989e1dd8c'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.112,Pass,,2015/2016
,,,,,,,,,,,,,,,1.679392,,,,,,,,,,,,,,c4403d0a-937e-44e8-9c23-898ee6d82344,58,,"[45.3, 28.9]",266490,0,,,,,1.4703602,,Right Foot,,,"[47.9, 54.7]",,Ground Pass,,25.930677,,,,Marc Bartra Aregall,7068.0,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,['78353a76-2d38-4627-8ede-7a8e2a11cf32'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.026,Pass,,2015/2016
,,,,,,,,,,,,,,,0.983955,,,,,,,,,,,,,,f05fe82c-f50f-4337-86d9-341aa13ca42e,61,,"[60.5, 63.2]",266490,0,,,,,1.0405805,,Right Foot,,,"[65.6, 71.9]",,Ground Pass,,10.084641,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Free Kick,Marc Bartra Aregall,7068.0,Right Center Back,4,Barcelona,217,['fa82f874-90d8-42f4-b0c1-0ae3943daded'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.704,Pass,,2015/2016
