50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,af680f16-211c-477b-babe-5be413cf3bf7,1,,,266498,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,e26adb9a-3bef-447a-bce7-781abb9e8ed6,2,,,266498,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11813, 'name': 'Emiliano Buendía'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 32}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 17054, 'name': 'Emiliano Daniel Velázquez Maldonado'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 27402, 'name': 'Álvaro Daniel Pereira Barragán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 6736, 'name': 'Álvaro Medrán Just'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 16426, 'name': 'Wanderson Maciel Sousa Campos'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 30}, {'player': {'id': 23416, 'name': 'Stefan Šćepović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Getafe,216,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,110a4618-5f44-410b-b1dd-ff4ac4f27ed6,3,,,266498,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['bb1abbf9-68ee-4017-8d71-88dbbc145382'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,bb1abbf9-68ee-4017-8d71-88dbbc145382,4,,,266498,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['110a4618-5f44-410b-b1dd-ff4ac4f27ed6'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,76fa359d-9f6b-467b-b956-5a262fc83e8d,1749,,,266498,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,82,Barcelona,217,['9d4aecf1-a3c2-4a7c-af23-26b2bff4207a'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9d4aecf1-a3c2-4a7c-af23-26b2bff4207a,1750,,,266498,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,82,Barcelona,217,['76fa359d-9f6b-467b-b956-5a262fc83e8d'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.412865,,,,,,,,,,,,,,,,cf8f4c83-f690-40f0-9eae-f4f510c5137d,5,,"[61.0, 40.1]",266498,0,,,,,1.929567,,Right Foot,,,,"[60.1, 42.5]",,Ground Pass,,2.5632012,,,,Stefan Šćepović,23416.0,,,,,Kick Off,1,From Kick Off,Wanderson Maciel Sousa Campos,16426.0,Right Center Forward,2,Getafe,216,['70cfebe9-3469-4f10-86f9-7bc48489c596'],1,,,,,,,,,,,,,,,,,Getafe,216,00:00:01.155,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.167913,,,,,,,,,,,,,,,,4dcea7d4-da90-4ba0-baa0-def63e41f098,8,,"[64.3, 48.9]",266498,0,,,,,1.2490457,,Right Foot,,,,"[70.8, 68.4]",,Ground Pass,,20.554804,,,,Abdoul Karim Yoda,27092.0,,,,,,1,From Kick Off,Stefan Šćepović,23416.0,Left Center Forward,2,Getafe,216,['197b2e6b-9848-4443-876f-570eae138340'],4,,,,,,,,,,,,,,,,,Getafe,216,00:00:04.233,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.740889,,,,,,,,,,,,,,,,a45539d7-2a0a-48ae-8712-ef53b284e66b,22,,"[8.9, 20.3]",266498,0,,,,,-0.6578886,,Left Foot,,,,"[28.7, 5.0]",,Ground Pass,,25.02259,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['6d2bc6fc-fa0c-47c5-a21a-ce50202d2b0e'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.061,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.480851,,,,,,,,,,,,,,,,5c8357e8-8d83-45d0-85ce-6cc4781728b7,28,,"[27.4, 7.1]",266498,0,,True,,,1.4263548,,Left Foot,,,,"[31.4, 34.6]",,Ground Pass,,27.789387,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,Free Kick,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['5aec43d6-6915-41a9-9637-4f6894b2c7cb'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.405,Pass,,2015/2016
