50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d887082c-18f3-4449-b9a1-59ddf0b318bc,1,,,266528,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0f54f3ef-e833-42ea-8156-fecc031205eb,2,,,266528,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6757, 'name': 'Aarón Martín Caricol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5727ab9b-0c6c-40fb-9988-542847fe45c5,3,,,266528,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['07446133-b352-456e-9750-a68c15fdbd59'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,07446133-b352-456e-9750-a68c15fdbd59,4,,,266528,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5727ab9b-0c6c-40fb-9988-542847fe45c5'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dee48797-2dd3-4f6a-9b2d-fb4eeb6c86d2,1856,,,266528,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,82,Espanyol,214,['e6b6dff1-94a0-4ef9-a996-df34221404b7'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e6b6dff1-94a0-4ef9-a996-df34221404b7,1857,,,266528,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,82,Espanyol,214,['dee48797-2dd3-4f6a-9b2d-fb4eeb6c86d2'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,1.301689,,,,,,,,,,,,e4538da7-8ff3-4490-bdc0-0f1dad3bd079,5,,"[60.0, 40.0]",266528,0,,,,3.1415927,,Right Foot,,,"[48.0, 40.0]",,Ground Pass,,12.0,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['9f090a3e-f1bc-4d56-9438-34a1e4d2dfb3'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.332,Pass,,2016/2017
,,,,,,,,,,,,,,1.069197,,,,,,,,,,,,0d5a7554-e5ae-4f4d-9b6b-66dbdb93c646,9,,"[49.2, 36.3]",266528,0,,,,-1.7557099,,Right Foot,,,"[44.0, 8.5]",,Ground Pass,,28.28215,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['2e770db4-a81f-4549-9f10-4f468902ea7d'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.413,Pass,,2016/2017
,,,,,,,,,,,,,,1.550253,,,,,,,,,,,,f608064c-01f2-4161-9f92-2b7fa7f7e591,12,,"[42.6, 9.4]",266528,0,,,,2.2367656,,Left Foot,,,"[31.6, 23.4]",,Ground Pass,,17.804493,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['8e584323-bdf6-4d15-a6bc-7df2ed005816'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.508,Pass,,2016/2017
,,,,,,,,,,,,,,1.962706,,,,,,,,,,,,58d123c2-3190-447b-a0b1-0a0ab7322352,16,,"[30.5, 25.6]",266528,0,,,,1.3527976,,Right Foot,,,"[37.5, 57.2]",,Ground Pass,,32.36603,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['518fa928-b3bb-4568-8790-46fe9489bfbd'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.597,Pass,,2016/2017
