ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9e2bacf0-469c-468e-8f85-0a1ffa396f31,1,,,266724,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26146, 'name': 'Dudú Aouate'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 25261, 'name': 'Pedro Tonon Geromel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 27456, 'name': 'Anderson Conceição Benedito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 25948, 'name': 'Jose Luis Martí Soler'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 13581, 'name': 'Emilio Nsue López'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 26671, 'name': 'Michaël Pereira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 23791, 'name': 'Víctor Casadesús Castaño'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 3040, 'name': 'Tomer Hemed'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Mallorca,1043,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,70ee12c6-c5bf-4986-8553-b89492d77e01,2,,,266724,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 37}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c23c38ab-ba35-4674-9e57-53c816f2c124,3,,,266724,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,['250da3f2-4940-4989-9ebf-cd90a1cab23b'],0,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,250da3f2-4940-4989-9ebf-cd90a1cab23b,4,,,266724,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,['c23c38ab-ba35-4674-9e57-53c816f2c124'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b7a50d6b-8fe4-4e42-947a-2bf43d45dc99,2088,,,266724,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Barcelona,217,['c2e8cb8b-6546-4f5a-9cf7-0dc22503e684'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c2e8cb8b-6546-4f5a-9cf7-0dc22503e684,2089,,,266724,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Barcelona,217,['b7a50d6b-8fe4-4e42-947a-2bf43d45dc99'],0,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,0.5988,,,,,,,,,,,,,,,,36b0b243-d30e-4d07-9003-fa4d462a2995,5,,"[60.0, 40.0]",266724,0,,,,1.7607846,,Left Foot,,,,"[59.5, 42.6]",,Ground Pass,,2.6476405,,,,Víctor Casadesús Castaño,23791.0,,,,,,Kick Off,1,From Kick Off,Tomer Hemed,3040.0,Left Center Forward,2,Mallorca,1043,['ed50b320-6de5-47af-b3dc-061c32f85aa9'],0,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.893,Pass,,2012/2013
,,,,,,,,,,,,,,,1.6972,,,,,,,,,,,,,,,,01ca9eff-f692-49c9-b4a8-07613eabcbd3,8,,"[58.8, 43.0]",266724,0,,,,-2.445809,,Right Foot,,,,"[40.0, 27.3]",,Ground Pass,,24.49347,,,,Anderson Conceição Benedito,27456.0,,,,,,,1,From Kick Off,Víctor Casadesús Castaño,23791.0,Right Center Forward,2,Mallorca,1043,['a4ba8d5b-914b-41f3-9332-07aa0909a546'],1,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:01.555,Pass,,2012/2013
,,,,,,,,,,,,,,,3.3548,,,,,,,,,,,,,,,,15b7e8ad-9766-4df8-893a-a464b302ea2a,11,,"[42.6, 26.8]",266724,0,,,,0.47269714,,Left Foot,,,,"[95.4, 53.8]",,High Pass,,59.30295,,Incomplete,,Emilio Nsue López,13581.0,,,,,,,1,From Kick Off,Anderson Conceição Benedito,27456.0,Left Center Back,2,Mallorca,1043,"['3a882e17-37f6-4e74-9039-79413e9b15f0', '57b99f67-07b2-434a-aed0-ca6f6b9d0d28']",4,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:04.108,Pass,,2012/2013
,,,,,,,,,,,,,,,3.6195,,,,,,,,,,,,,,,,d4b9edf9-d1b5-4f85-86ab-c49aba1dc93e,15,,"[84.9, 48.5]",266724,0,,,,1.3013237,,Left Foot,,,,"[93.6, 80.0]",,Low Pass,,32.67935,,Out,,Víctor Casadesús Castaño,23791.0,,,,,,Recovery,1,From Kick Off,Jose Luis Martí Soler,25948.0,Left Defensive Midfield,2,Mallorca,1043,['3722fb22-d87f-44fa-91e1-f1ce45782069'],8,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:08.897,Pass,,2012/2013
