bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,45a887a5-0b38-4dbd-9e1e-1d2ed6914f78,1,,,266731,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10612, 'name': 'Yoel Rodríguez Oterino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6837, 'name': 'Mauro Javier Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3093, 'name': 'Florian Grégoire Claude Lejeune'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Eibar,322,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,30048bc7-69c1-4800-b0ee-248952d42aff,2,,,266731,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d7dd4ec8-e28a-47d2-ad0d-7129c7f67ee0,3,,,266731,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['08502c55-2cd4-4099-a6c2-38b185672c8b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,08502c55-2cd4-4099-a6c2-38b185672c8b,4,,,266731,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['d7dd4ec8-e28a-47d2-ad0d-7129c7f67ee0'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,03afea88-ecdf-4013-bb78-66bb02a9e70c,1728,,,266731,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Barcelona,217,['a62ca324-4ecf-456e-a2bd-aafbb8c442cf'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a62ca324-4ecf-456e-a2bd-aafbb8c442cf,1729,,,266731,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Barcelona,217,['03afea88-ecdf-4013-bb78-66bb02a9e70c'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,1.0597,,,,,,,,,,,,,,3096bac3-3607-4d35-8da2-8b3685ddac5d,5,,"[60.0, 40.0]",266731,0,,,,3.0916343,,Right Foot,,,,"[46.0, 40.7]",,Ground Pass,,14.017489,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['49ee942e-b572-4d22-a029-ada0c4515458'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.412,Pass,,2016/2017
,,,,,,,,,,,,,,,1.0219,,,,,,,,,,,,,,4c8b28f2-3ea1-4264-8f20-f508ca63f47d,8,,"[46.4, 40.0]",266731,0,,,,-1.4204249,,Right Foot,,,,"[48.4, 26.8]",,Ground Pass,,13.350656,,,,Arda Turan,11094.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['eb5be937-650e-4f59-a268-a9d157e84bea'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.156,Pass,,2016/2017
,,,,,,,,,,,,,,,1.316,,,,,,,,,,,,,,05b4373b-54c0-4136-af8e-2203d4e50309,12,,"[50.0, 20.0]",266731,0,,,,-1.896157,,Right Foot,,,,"[44.4, 3.4]",,Ground Pass,,17.519133,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Arda Turan,11094.0,Left Center Midfield,2,Barcelona,217,"['75a0b061-c0c0-435b-87ee-40d2fdeb0014', 'eee63905-e72f-463c-a7a4-0e3d7ca2e36b']",3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.710,Pass,True,2016/2017
,,,,,,,,,,,,,,,0.7537,,,,,,,,,,,,,,57fc18d9-3da7-4e89-b5eb-cbbd29cc4058,16,,"[45.2, 3.3]",266731,0,,,,0.92955256,,Left Foot,,,,"[50.5, 10.4]",,Ground Pass,,8.860023,,,,Arda Turan,11094.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,"['2ef58600-1b02-491b-a0fe-fbf26c8bfce2', '3184b8b7-3e4e-43d7-9076-f4407cc8b583']",5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.545,Pass,True,2016/2017
