50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,833a0767-db8d-4992-9404-65b469131469,1,,,266741,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7869d118-5b51-427c-a453-7ccc6693647c,2,,,266741,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 8801, 'name': 'Iván López Mendoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 27123, 'name': 'Jordi Xumetra Feliu'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 26248, 'name': 'David Barral Torres'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 26495, 'name': 'Kalu Uche'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 5}]}",Levante UD,221,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,caf1f30e-325d-4e07-8ba3-92f34d86680c,3,,,266741,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['f6c761c3-6eee-4683-b648-b4ee37441c77'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f6c761c3-6eee-4683-b648-b4ee37441c77,4,,,266741,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['caf1f30e-325d-4e07-8ba3-92f34d86680c'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5dd36b3b-ed5e-4ed6-b96b-1c724c5889b3,1682,,,266741,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Barcelona,217,['47f5430b-018c-4be7-9595-205ed11da180'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,47f5430b-018c-4be7-9595-205ed11da180,1683,,,266741,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Barcelona,217,['5dd36b3b-ed5e-4ed6-b96b-1c724c5889b3'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.907564,,,,,,,,,,,,,,,667a2daf-9733-45b9-8c49-f4e377ee777d,5,,"[61.0, 40.1]",266741,0,,True,,,-2.2455373,,Right Foot,,,,"[59.4, 38.1]",,Ground Pass,,2.5612497,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['adc3b729-33b6-4e9b-89c2-8bf59cc8fe17'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.138,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.1636,,,,,,,,,,,,,,,ac77d29b-b86d-4868-8236-ac555284e516,7,,"[60.4, 38.5]",266741,0,,,,,3.1345005,,Right Foot,,,,"[46.3, 38.6]",,Ground Pass,,14.100354,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['6007417d-66d8-4a6e-ba62-f064f0597b19'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.078,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.976817,,,,,,,,,,,,,,,a5c054d5-a33c-448e-966e-6d5b2d98163e,10,,"[46.8, 41.5]",266741,0,,,,,1.4801364,,Right Foot,,,,"[48.0, 54.7]",,Ground Pass,,13.254434,,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['c6192d46-71ac-46e4-968c-e2b00a2938a8'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.995,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.07783,,,,,,,,,,,,,,,2d220a62-dd2b-4103-8d31-b479bd6607cb,13,,"[48.0, 54.7]",266741,0,,,,,-2.845841,,Right Foot,,,,"[35.2, 50.8]",,Ground Pass,,13.380957,,,,,Marc Bartra Aregall,7068.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,"['64e82ca7-ab3c-4a84-bb3e-13ae2a80f7cf', '726dd688-61e2-4747-ae67-4500eb8534dc']",4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.972,Pass,True,2014/2015
