bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,be5c2557-44f5-4d08-b07a-b715be1476bb,1,,,,266815,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26633, 'name': 'Alberto Lora Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 26256, 'name': 'Igor Lichnovsky Osorio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 24686, 'name': 'Roberto Canella Suárez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 18398, 'name': 'Omar Mascarell González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 23838, 'name': 'Pablo Pérez Rodríguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 23994, 'name': 'Alejandro Menéndez Díez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 3}, {'player': {'id': 24173, 'name': 'Carlos Castro García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,15ae1ab7-26bc-4218-92e1-96ed557bafaf,2,,,,266815,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b92a763b-3804-461e-a992-55070c1cc179,3,,,,266815,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['cf1dacaf-3236-4ed0-ae76-c579d4e7523d'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cf1dacaf-3236-4ed0-ae76-c579d4e7523d,4,,,,266815,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['b92a763b-3804-461e-a992-55070c1cc179'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b7c17401-7a0d-4b91-8de5-080a24d04e82,1839,,,,266815,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,73,Barcelona,217,['54fdd6b1-763f-491c-9f62-9a90222ff0a8'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,54fdd6b1-763f-491c-9f62-9a90222ff0a8,1840,,,,266815,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,73,Barcelona,217,['b7c17401-7a0d-4b91-8de5-080a24d04e82'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.771411,,,,,,,,,,,,,,,998f1076-2661-4b63-ad5a-2ac6d418c631,5,,,"[60.0, 40.0]",266815,0,,,,0.9272952,,Left Foot,,,,"[60.3, 40.4]",,Ground Pass,0.5,,,,Alen Halilović,6926.0,,,,,Kick Off,1,From Kick Off,Carlos Castro García,24173.0,Center Forward,2,Sporting Gijón,1041,['429d0c79-4fe9-43d2-89f9-dbd2cfa9f069'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.608,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.245566,,,,,,,,,,,,,,,cbd0703c-4a6b-4cf5-ae6a-c6f74228e23b,8,,,"[60.3, 40.9]",266815,0,,,,-3.0782971,,Right Foot,,,,"[46.1, 40.0]",,Ground Pass,14.228493,,,,Ignacio Cases Mora,18925.0,,,,,,1,From Kick Off,Alen Halilović,6926.0,Center Attacking Midfield,2,Sporting Gijón,1041,['c1640251-29e8-4cf0-8ba9-bfd5eb8bf7fa'],1,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:01.499,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.989069,,,,,,,,,,,,,,,e150a33c-bb48-478f-887a-cb0c8aeacb5c,11,,,"[53.9, 45.5]",266815,0,,,,0.77801824,,Left Foot,,,,"[81.2, 72.4]",,High Pass,38.326233,,,,Pablo Pérez Rodríguez,23838.0,,,,,,1,From Kick Off,Ignacio Cases Mora,18925.0,Left Center Midfield,2,Sporting Gijón,1041,['ed38353e-ea42-4389-b311-3f5fdaeda454'],4,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:04.204,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.7068,,,,,,,,,,,,,,,1e339c44-7328-4714-a6e4-74cc78cb0ad2,14,,,"[81.2, 72.4]",266815,0,,,True,-0.7472002,,,,,,"[97.5, 57.3]",,High Pass,22.21936,,Incomplete,,Carlos Castro García,24173.0,,,,,,1,From Kick Off,Pablo Pérez Rodríguez,23838.0,Right Wing,2,Sporting Gijón,1041,"['08c2729e-c14f-4c68-b1cc-91f70ae50fbb', 'a7887ac0-7124-47f3-b692-4c7cecb8b0be', 'fde47db8-f283-430d-b38d-e052b2215ce6']",6,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:06.273,Pass,True,2015/2016
