50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,470303c6-ca36-4db4-8c09-c558a556c4dd,1,,,266838,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6904, 'name': 'Sergio Sánchez Ortega'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 30}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 29}, {'player': {'id': 25859, 'name': 'Sérgio Paulo Barbosa Valente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 28}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 2}]}",Málaga,223,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cb639f5e-be24-4d96-9f2e-4278c95f4b0f,2,,,266838,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 27318, 'name': 'Douglas Pereira dos Santos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,57544a8f-37df-4db0-ad5c-3a76b6484b2b,3,,,266838,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['4e091dfa-6909-4caa-8055-04a68213d65e'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4e091dfa-6909-4caa-8055-04a68213d65e,4,,,266838,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['57544a8f-37df-4db0-ad5c-3a76b6484b2b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5396736f-dc7d-4f09-9137-32915cf5bc24,1838,,,266838,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,95,Málaga,223,['641a1253-59f1-47dc-908c-c70f1ee02b98'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,641a1253-59f1-47dc-908c-c70f1ee02b98,1839,,,266838,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,95,Málaga,223,['5396736f-dc7d-4f09-9137-32915cf5bc24'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,1.4569,,,,,,,,,,,,,,02b584ab-9eaa-4ce6-801f-ae408dd8b98f,5,,"[60.0, 40.0]",266838,0,,,,,1.8622531,,Right Foot,,"[59.4, 42.0]",Ground Pass,,2.0880613,,,,Sérgio Paulo Barbosa Valente,25859.0,,,,,,Kick Off,1,From Kick Off,Nordin Amrabat,3302.0,Center Forward,2,Málaga,223,['607c6cf3-b282-485f-8946-0a435b13dfdb'],2,,,,,,,,,,,,,,,,,Málaga,223,00:00:02.050,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.910762,,,,,,,,,,,,,,74afd9fa-0031-4239-b18e-862153238f83,7,,"[55.6, 43.4]",266838,0,,,,,2.4563606,,Right Foot,,"[33.7, 61.3]",Ground Pass,,28.284624,,,,Sergio Sánchez Ortega,6904.0,,,,,,,1,From Kick Off,Sérgio Paulo Barbosa Valente,25859.0,Center Attacking Midfield,2,Málaga,223,['aefd9eff-1779-4329-9f01-8a8436311d03'],3,,,,,,,,,,,,,,,,,Málaga,223,00:00:03.507,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.187997,,,,,,,,,,,,,,2e366b99-3155-44be-a8b7-33804ed75bb2,10,,"[34.6, 63.2]",266838,0,,,,,0.8913825,,Left Foot,,"[45.1, 76.2]",Ground Pass,,16.710775,,,,Roberto José Rosales Altuve,6569.0,,,,,,,1,From Kick Off,Sergio Sánchez Ortega,6904.0,Right Center Back,2,Málaga,223,['44a738e5-67bb-4f5a-a6e1-687f560a0a82'],6,,,,,,,,,,,,,,,,,Málaga,223,00:00:06.740,Pass,,2014/2015
,,,,,,,,,,,,,,,,,0.8586,,,,,,,,,,,,,,0c918e48-5d9f-444d-965b-737d65f42dad,14,,"[46.3, 76.6]",266838,0,,,,,-0.13217288,,Right Foot,,"[63.6, 74.3]",Ground Pass,,17.45222,,,,Samuel Castillejo Azuaga,6829.0,,,,,,,1,From Kick Off,Roberto José Rosales Altuve,6569.0,Right Back,2,Málaga,223,['a6a44634-025d-4afa-a83c-1d07a654399b'],9,,,,,,,,,,,,,,,,,Málaga,223,00:00:09.018,Pass,,2014/2015
