bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ab7bb3f5-8403-48c3-a27f-43ac1c7ac049,1,,,266871,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6656, 'name': 'Mikel Rico Moreno'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 11746, 'name': 'Unai López Cabrera'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 29}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bdad14e8-f286-43e5-add5-4b85d1960679,2,,,266871,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9ebed386-877a-46c2-902f-c93de8fc3cb7,3,,,266871,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['4b077a44-14e7-483c-88c2-9251894f5a13'],0,,,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4b077a44-14e7-483c-88c2-9251894f5a13,4,,,266871,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['9ebed386-877a-46c2-902f-c93de8fc3cb7'],0,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,94d91d86-f64a-4f31-bb3a-4c9120297e6b,1771,,,266871,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Athletic Club,215,['1ffc119b-62e8-484e-8a51-6da83f450c68'],0,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1ffc119b-62e8-484e-8a51-6da83f450c68,1772,,,266871,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Athletic Club,215,['94d91d86-f64a-4f31-bb3a-4c9120297e6b'],0,,,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,,0.3106,,,,,,,,,,,,,,748c0184-e49a-4959-9a9b-7b1f51a065a3,5,,"[60.0, 40.0]",266871,0,,True,,,1.6295521,,Right Foot,,,,"[59.8, 43.4]",,Ground Pass,3.4058774,,,,Unai López Cabrera,11746.0,,,,,Kick Off,1,From Kick Off,Mikel Rico Moreno,6656.0,Right Center Midfield,2,Athletic Club,215,['a248e40f-edb0-41d3-b2f6-9b363f8787c2'],0,,,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.070,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,2.2015,,,,,,,,,,,,,,9e282871-b652-40b6-9211-08bbdb698505,7,,"[59.8, 43.4]",266871,0,,,,,-3.073295,,Right Foot,,,,"[29.1, 41.3]",,Ground Pass,30.77174,,,,Aymeric Laporte,4353.0,,,,,,1,From Kick Off,Unai López Cabrera,11746.0,Center Attacking Midfield,2,Athletic Club,215,['afc2d049-d525-4764-b946-f5ed5a0dec4e'],0,,,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.381,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,2.606,,,,,,,,,,,,,,fb3dac55-06c3-4793-8b81-72a341a4a569,10,,"[31.6, 40.7]",266871,0,,,,,0.62005484,,Left Foot,,,,"[80.2, 75.4]",,High Pass,59.71641,,,,Markel Susaeta Laskurain,6390.0,,,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Athletic Club,215,['5ff92b12-c0ee-4800-839b-5caa28e90f4d'],3,,,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:03.558,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.8812,,,,,,,,,,,,,,594a18f0-461b-4687-921a-e8fd7553ad32,12,,"[79.5, 75.2]",266871,0,,,,,-0.732194,,Head,,,,"[88.4, 67.2]",,High Pass,11.967038,,Incomplete,,Aritz Aduriz Zubeldia,6394.0,,,,,,1,From Kick Off,Markel Susaeta Laskurain,6390.0,Right Wing,2,Athletic Club,215,"['6c979d23-1a73-4f38-a5e2-12b2dc721e64', 'd1b38b61-3c17-4fa3-b5bf-a98a8f1cc90f']",6,,,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:06.244,Pass,,2014/2015
