50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,964396b3-9486-4193-80d0-7ec6c4718111,1,,,266885,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3a6f9c32-c9a8-4e3a-9d32-d10204b707fa,2,,,266885,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 6770, 'name': 'Esteban Félix Granero Molina'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 6677, 'name': 'Imanol Agirretxe Arruti'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Real Sociedad,210,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bd3ed414-4393-4f63-97ce-21b20e440f47,3,,,266885,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d25c3051-6802-4ca0-9d16-f997fbb22b45'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d25c3051-6802-4ca0-9d16-f997fbb22b45,4,,,266885,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['bd3ed414-4393-4f63-97ce-21b20e440f47'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,85dbf321-ca35-49ab-9c0d-867c06384f18,1794,,,266885,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Real Sociedad,210,['3449f12a-0ef7-471c-96c5-550c4331851a'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3449f12a-0ef7-471c-96c5-550c4331851a,1795,,,266885,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Real Sociedad,210,['85dbf321-ca35-49ab-9c0d-867c06384f18'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.5837,,,,,,,,,,,,6323bed6-bdeb-47a3-8a6b-ae00f10d2dfd,5,,"[60.0, 40.0]",266885,0,,,,1.4056476,,Left Foot,,,,"[60.2, 41.2]",,Ground Pass,,1.2165525,,,,Luis Alberto Suárez Díaz,5246.0,,,,,Kick Off,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['a777adf6-c616-44fb-9e16-6f9b10eac70a'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.116,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.991,,,,,,,,,,,,cd2ae528-2e09-4497-8ca0-76213d0e4b4a,8,,"[59.0, 40.7]",266885,0,,,,-2.909489,,Right Foot,,,,"[48.0, 38.1]",,Ground Pass,,11.303097,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['d8b7b22c-05c6-4031-9cbf-ddc8dbb0c442'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.732,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.4108,,,,,,,,,,,,a0698c46-4be5-4b61-be03-51519421537e,11,,"[41.2, 39.3]",266885,0,,,,2.9996955,,Right Foot,,,,"[27.9, 41.2]",,Ground Pass,,13.435029,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['a3ca94f1-b52b-4e5d-9e4f-3eba44944c88'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.471,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.387563,,,,,,,,,,,,75e72a7c-2a35-4f78-ad23-d94351bba02c,15,,"[29.4, 42.7]",266885,0,,,,-1.6456562,,Right Foot,,,,"[27.9, 22.7]",,Ground Pass,,20.056171,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['9a491013-1d16-4494-b942-aab9ddbedc4b', 'bde08840-0ac1-490d-bddb-ac328ee0a03f']",6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.756,Pass,True,2015/2016
