ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,15695363-19c6-4220-89f2-dc118981df13,1,,,266952,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b9d670ff-a7f1-4433-aec5-c22d241a6cc2,2,,,266952,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7034, 'name': 'Mateo Pablo Musacchio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6828, 'name': 'Jaume Vicent Costa Jordá'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6765, 'name': 'Rodrigo Hernández Cascante'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6357, 'name': 'Jonathan dos Santos Ramírez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Villarreal,222,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dd8528bd-75e4-4be5-9669-ab0c49bdbd50,3,,,266952,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['eea6fc03-0b20-4e9f-96d7-dc453deee1ef'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,eea6fc03-0b20-4e9f-96d7-dc453deee1ef,4,,,266952,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['dd8528bd-75e4-4be5-9669-ab0c49bdbd50'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bd3a819f-6aa3-4a07-b0b8-93c5718e2d48,2078,,,266952,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,87,Villarreal,222,['efdc63ae-30fa-4051-ba3d-e8b4737de02c'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,efdc63ae-30fa-4051-ba3d-e8b4737de02c,2079,,,266952,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,87,Villarreal,222,['bd3a819f-6aa3-4a07-b0b8-93c5718e2d48'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,1.625651,,,,,,,,,,,,,,0620ad84-1234-4757-9545-661f38cacb9c,5,,"[60.0, 40.0]",266952,0,,,,2.9708574,,Right Foot,,,,"[54.2, 41.0]",,Ground Pass,5.885576,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['84c67fb6-6254-4ceb-abd4-d54e1935af43'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.365,Pass,,2016/2017
,,,,,,,,,,,,,,,1.13523,,,,,,,,,,,,,,a08f3ebf-3814-48c0-8ac8-acbc26eedcaf,8,,"[54.6, 40.5]",266952,0,,,,1.706324,,Left Foot,,,,"[52.8, 53.7]",,Ground Pass,13.322162,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['00492bc3-96d4-4456-8206-5c9f0703da62'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.773,Pass,,2016/2017
,,,,,,,,,,,,,,,1.498999,,,,,,,,,,,,,,536afa22-62ef-4fd3-a449-1c44b91a53a2,11,,"[55.0, 56.9]",266952,0,,,,1.5707964,,Right Foot,,,,"[55.0, 74.4]",,Ground Pass,17.5,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['fd2f7140-d718-496e-831a-d855a10c0cd6'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.963,Pass,,2016/2017
,,,,,,,,,,,,,,,1.664698,,,,,,,,,,,,,,9d78b653-b99f-4d9a-bc75-9bf91ee86312,14,,"[55.5, 75.5]",266952,0,,,,-2.255361,,Right Foot,,,,"[36.4, 52.1]",,Ground Pass,30.205463,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['0f2b37d7-101b-4f1b-827b-096271da32b2'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.737,Pass,,2016/2017
