ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a8742945-eb97-464a-91ec-6cbd28cf1bfd,1,,,267077,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6757, 'name': 'Aarón Martín Caricol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Espanyol,214,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3ba03a28-a105-449e-baa6-2a06db03d392,2,,,267077,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,37228962-857a-46be-8479-121f90104391,3,,,267077,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['592d88f1-4a69-4d21-a24f-dbb88188b991'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,592d88f1-4a69-4d21-a24f-dbb88188b991,4,,,267077,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['37228962-857a-46be-8479-121f90104391'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fd76fa32-4965-4a66-8df2-fa02b50cee3d,2019,,,267077,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Barcelona,217,['42807d52-4a33-49c2-8012-ccb3f0822f4d'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,42807d52-4a33-49c2-8012-ccb3f0822f4d,2020,,,267077,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Barcelona,217,['fd76fa32-4965-4a66-8df2-fa02b50cee3d'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,1.0246,,,,,,,,,,,,,07e3f65d-1cad-455c-86c6-d3e2ae6d1af2,5,,"[61.0, 40.1]",267077,0,,,,,2.988391,,Left Foot,,,,"[47.4, 42.2]",,Ground Pass,,13.761177,,,,Sergio Busquets i Burgos,5203.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['3584e9e3-03ba-4841-a765-c17c80816011'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.051,Pass,,2016/2017
,,,,,,,,,,,,,,,2.098947,,,,,,,,,,,,,f3a79551-0066-48f3-a40b-0829db22f055,8,,"[48.3, 41.4]",267077,0,,,,,-2.252708,,Right Foot,,,,"[33.2, 22.8]",,Ground Pass,,23.95767,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['3f965252-2743-4f95-87d8-a07fd2297ebb'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.807,Pass,,2016/2017
,,,,,,,,,,,,,,,2.2126,,,,,,,,,,,,,9f63fa23-6a51-4947-84b0-4c02b5004fd2,12,,"[33.6, 25.3]",267077,0,,,,,2.6028984,,Left Foot,,,,"[8.0, 40.6]",,Ground Pass,,29.823648,,,,Marc-André ter Stegen,20055.0,,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['0b59772b-c220-40cf-9d97-97200352c613'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.016,Pass,,2016/2017
,,,,,,,,,,,,,,,2.3145,,,,,,,,,,,,,98216901-f4c5-4626-8d05-724ed0ef55da,15,,"[8.0, 40.6]",267077,0,,,,,0.10087106,,Right Foot,,,,"[57.4, 45.6]",,Ground Pass,,49.652393,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['39b26c81-8a38-48ed-bb7e-349890157232'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.554,Pass,,2016/2017
