50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dafbbf1d-155e-477d-98e1-7e9901e156ca,1,,,267101,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 7}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c1842af2-3a57-46fd-9f2d-af9ac5952ce3,2,,,267101,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 7469, 'name': 'Salvatore Sirigu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 27563, 'name': 'Aitor Buñuel Redrado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 34}, {'player': {'id': 23944, 'name': 'Oier Sanjurjo Mate'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 27564, 'name': 'Jhon Stiven Mondragón Dosman'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 37}, {'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 23821, 'name': 'Fausto Antonio Tienza Nuñez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 23995, 'name': 'Jaime Romero Gómez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 23931, 'name': 'Francisco Mérida Pérez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 23991, 'name': 'Miguel Ángel De las Cuevas Barberá'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 23947, 'name': 'Roberto Torres Morales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 6657, 'name': 'Sergio León Limones'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Osasuna,422,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cdd338ae-7014-4739-b24f-c3167ae18594,3,,,267101,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['80e8ea34-ba64-4ba6-85b3-14e55e5f5830'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,80e8ea34-ba64-4ba6-85b3-14e55e5f5830,4,,,267101,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['cdd338ae-7014-4739-b24f-c3167ae18594'],0,,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3e9ee2b9-f729-43ac-bd7e-fd7696abdafc,2067,,,267101,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,76,Barcelona,217,['8810c26d-4f17-4918-9abb-d58d7a96aaf5'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8810c26d-4f17-4918-9abb-d58d7a96aaf5,2068,,,267101,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,76,Barcelona,217,['3e9ee2b9-f729-43ac-bd7e-fd7696abdafc'],0,,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,1.023559,,,,,,,,,,,,,,3e1500df-4a0b-4a5d-b2cb-aadba725352a,5,,"[60.0, 40.0]",267101,0,,,,-3.1103528,,Right Foot,,,,"[47.2, 39.6]",,Ground Pass,,12.806249,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Francisco Alcácer García,6402.0,Left Center Forward,2,Barcelona,217,['43337ef9-473e-4571-b50e-3bc7a0d7b0e9'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.540,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.318615,,,,,,,,,,,,,,f49ca20a-e83c-40d7-bed4-6860df05e99c,8,,"[50.1, 39.8]",267101,0,,,,1.6991196,,Right Foot,,,,"[47.7, 58.4]",,Ground Pass,,18.7542,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['2d58a648-0346-4673-9432-64f6837a299a'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.219,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.868489,,,,,,,,,,,,,,cefec226-fa52-4861-b35e-7877fa465a2a,11,,"[52.5, 59.1]",267101,0,,,,-1.2401965,,Right Foot,,,,"[58.3, 42.2]",,Ground Pass,,17.867569,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['8c30e3f4-5aa4-41d5-899a-011fce4b7bb9'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.129,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.655378,,,,,,,,,,,,,,8cfc091c-f1b8-4567-9442-b8d21e886afc,15,,"[58.1, 44.4]",267101,0,,,,3.041924,,Right Foot,,,,"[44.1, 45.8]",,Ground Pass,,14.069826,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['1e4b1120-63aa-4aa4-9bd6-e82dd2cbb32d'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.777,Pass,,2016/2017
