50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0ccac291-b6c2-40fa-9d3e-5c3d41b6eee4,1,,,267220,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c11e2701-4a52-458c-900e-1fbd6241a574,2,,,267220,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6376, 'name': 'Stefan Savić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0ead47c9-d379-4608-8bdb-6d1852e99cb1,3,,,267220,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c5fc8cf1-5a01-4d0d-8d74-8ae3d3521203'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c5fc8cf1-5a01-4d0d-8d74-8ae3d3521203,4,,,267220,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['0ead47c9-d379-4608-8bdb-6d1852e99cb1'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,de7207fe-3718-4371-8b11-a17c147f342d,2141,,,267220,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,90,Atlético Madrid,212,['fcac3fb1-7832-4f71-8936-86bfe1543471'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fcac3fb1-7832-4f71-8936-86bfe1543471,2142,,,267220,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,90,Atlético Madrid,212,['de7207fe-3718-4371-8b11-a17c147f342d'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.8829,,,,,,,,,,,,946b1344-0844-487c-aa0c-af2cce8623ea,5,,"[60.0, 40.0]",267220,0,,,,,3.0936294,,Left Foot,,,"[47.5, 40.6]",,Ground Pass,,12.514392,,,Sergio Busquets i Burgos,5203.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['8db495d0-e62d-4bf9-b046-8ed297b12433'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.760,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.7423,,,,,,,,,,,,e1211791-0af6-40a0-b235-aa278f7695a7,8,,"[46.2, 41.8]",267220,0,,,,,1.6678927,,Right Foot,,,"[43.2, 72.6]",,Ground Pass,,30.945759,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['076ebcb7-20a2-4113-b152-e1a55542a9da'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.697,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.5353,,,,,,,,,,,,f3c5a623-c5c7-44e5-b5dd-cf6293fc6b88,12,,"[46.1, 73.8]",267220,0,,,,,-2.4464748,,Right Foot,,,"[20.2, 52.2]",,Ground Pass,,33.72492,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,"['2f045d13-9c99-4f45-b551-3f2007c0bd0c', 'f2b33ddb-64fc-4cb6-9fc9-9e2134e15745']",5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.568,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,2.5203,,,,,,,,,,,,db4c9cf0-7bf9-4e62-b92b-f739bd562a29,16,,"[18.9, 51.6]",267220,0,,,,,-1.9504316,,Right Foot,,,"[11.0, 31.8]",,Ground Pass,,21.317833,,,Marc-André ter Stegen,20055.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['c6b64127-0df1-4191-baa0-9ea63a02a6ac', 'e9da11dd-9615-459d-b780-2dd0287b941d']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.590,Pass,True,2016/2017
