50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,e8f5b89b-7fe1-4f81-b5e2-00605d06c2c0,1,,,267343,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6692, 'name': 'Oier Olazábal Paredes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 25707, 'name': 'Francisco Manuel Rico Castro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 18721, 'name': 'Robert Ibáñez Castro'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 23761, 'name': 'Alhassane Bangoura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 8817, 'name': 'Jhon Andrés Córdoba Copete'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Granada,1049,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4e03de26-506c-4e24-8189-03ac87d3d50a,2,,,267343,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ce900924-56f1-4c10-bc51-16a648188819,3,,,267343,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['bb02fbcf-ded4-4532-bef0-6c60bfffce59'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,bb02fbcf-ded4-4532-bef0-6c60bfffce59,4,,,267343,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['ce900924-56f1-4c10-bc51-16a648188819'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0e6d81a8-6645-4153-a554-dd02ce434665,1551,,,267343,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Barcelona,217,['67b8bb94-33f8-4d48-a566-f1930034bd0c'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,67b8bb94-33f8-4d48-a566-f1930034bd0c,1552,,,267343,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Barcelona,217,['0e6d81a8-6645-4153-a554-dd02ce434665'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.4631,,,,,,,,,,,,,,,,efe7334c-308a-43ea-bc11-e81119665e21,5,,"[60.0, 40.0]",267343,0,,,,,-1.2160907,,Right Foot,,,"[61.0, 37.3]",,Ground Pass,2.879236,,,Javier Márquez Moreno,24783.0,,,,,,Kick Off,1,From Kick Off,Jhon Andrés Córdoba Copete,8817.0,Left Center Forward,2,Granada,1049,['3fcf5103-a8b2-47fa-a0cb-7a2da4d50186'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.641,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.121787,,,,,,,,,,,,,,,,58bfd866-c232-4954-bf63-8b9e2942b474,8,,"[61.9, 37.3]",267343,0,,,,,3.03574,,Left Foot,,,"[45.9, 39.0]",,Ground Pass,16.09006,,,Francisco Manuel Rico Castro,25707.0,,,,,,,1,From Kick Off,Javier Márquez Moreno,24783.0,Right Center Forward,2,Granada,1049,['0cda51af-496b-4eb5-b420-f0bab82494f3'],1,,,,,,,,,,,,,,,,,,Granada,1049,00:00:01.144,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.4742,,,,,,,,,,,,,,,,9abd8967-b067-4270-b0d9-17b5cba627ba,12,,"[44.4, 37.8]",267343,0,,,,,1.6433958,,Right Foot,,,"[42.8, 59.8]",,Ground Pass,22.058105,,,Allan Romeo Nyom,3991.0,,,,,,,1,From Kick Off,Francisco Manuel Rico Castro,25707.0,Left Defensive Midfield,2,Granada,1049,"['1f126805-cb3d-46b8-8917-a51e8d873157', 'ba19ede6-45e3-4094-a648-63c0c40c1f20']",2,,,,,,,,,,,,,,,,,,Granada,1049,00:00:02.924,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,1.467886,,,,,,,,,,,,,,,,386dfd64-a6e7-42f3-b0a5-dd052005da78,16,,"[40.9, 62.6]",267343,0,,,,,0.16258983,,Right Foot,,,"[72.6, 67.8]",,High Pass,32.12367,Incomplete,,Robert Ibáñez Castro,18721.0,,,,,,,1,From Kick Off,Allan Romeo Nyom,3991.0,Right Back,2,Granada,1049,"['44b12038-40fc-4e1f-8111-28debe6380e3', 'ad49506d-8c4b-467e-abc8-3cf26b3b6ddd', 'dd4d3402-67a5-440c-b59f-26b9e8a7516e']",5,,,,,,,,,,,,,,,,,,Granada,1049,00:00:05.364,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,0.5272,,,,,,,,,,,,,,,,44b12038-40fc-4e1f-8111-28debe6380e3,18,,"[47.5, 12.3]",267343,0,,,,,0.43240777,,Right Foot,,,"[55.3, 15.9]",,Ground Pass,8.5906925,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,Recovery,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Granada,1049,"['32a38b7b-68dd-43bc-9649-42ca984b1f8a', '386dfd64-a6e7-42f3-b0a5-dd052005da78', '80faf2c3-703c-4d29-a79c-00a63001bf8d']",6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.832,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,3.185195,,,,,,,,,,,,,,,,32a38b7b-68dd-43bc-9649-42ca984b1f8a,20,,"[64.8, 64.2]",267343,0,,,,,0.53517175,,Right Foot,,,"[90.1, 79.2]",,High Pass,29.412413,Out,,,,,,,,,Recovery,1,From Kick Off,Manuel Rolando Iturra Urrutia,6743.0,Right Defensive Midfield,2,Granada,1049,['44b12038-40fc-4e1f-8111-28debe6380e3'],7,,,,,,,,,,,,,,,,,,Granada,1049,00:00:07.359,Pass,,2014/2015
