ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dd80139a-1072-468f-9491-d96b07af342a,1,,,267373,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1418a464-af00-4a82-9f03-c54987cb5bc7,2,,,267373,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6693, 'name': 'Raúl Rodríguez Navas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 6721, 'name': 'Willian José da Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Real Sociedad,210,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,60df93e0-f53d-4ab0-a3eb-ddab459eda26,3,,,267373,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5570da13-e565-4ea8-b0fa-19ac41c0d858'],0,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5570da13-e565-4ea8-b0fa-19ac41c0d858,4,,,267373,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['60df93e0-f53d-4ab0-a3eb-ddab459eda26'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6e372383-8b74-4f25-aa82-ddfb0752dd5e,1977,,,267373,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Real Sociedad,210,['8ddc3b01-bf97-4fd4-9c76-0338f565c25a'],0,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8ddc3b01-bf97-4fd4-9c76-0338f565c25a,1978,,,267373,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Real Sociedad,210,['6e372383-8b74-4f25-aa82-ddfb0752dd5e'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.299615,,,,,,,,,,,,,,de7819e0-9464-4528-9fce-2c9814f73493,5,,"[61.0, 40.1]",267373,0,,True,,,-1.0636978,,Right Foot,,,,"[62.0, 38.3]",,Ground Pass,,2.0591261,,,,Carlos Alberto Vela Garrido,5560.0,,,,,,Kick Off,1,From Kick Off,Willian José da Silva,6721.0,Center Forward,2,Real Sociedad,210,['a61c1ebf-1682-412e-bfaa-f46c7ab69eef'],0,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.872,Pass,,2016/2017
,,,,,,,,,,,,,,,,4.0319,,,,,,,,,,,,,,17295994-ed6f-45d9-9436-8bc1f97f944c,7,,"[64.7, 37.1]",267373,0,,,,,-0.3458009,,Left Foot,,,,"[108.0, 21.5]",,High Pass,,46.02445,,Incomplete,,Mikel Oyarzabal Ugarte,6685.0,,,,,,,1,From Kick Off,Carlos Alberto Vela Garrido,5560.0,Right Wing,2,Real Sociedad,210,"['c7fdbf84-710d-4236-a0fb-15044f744d4f', 'd2047282-7761-4c30-a121-59b91e5c9142']",1,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:01.819,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.944537,,,,,,,,,,,,,,c7fdbf84-710d-4236-a0fb-15044f744d4f,10,,"[12.1, 58.6]",267373,0,,,,,-2.1401095,,Right Foot,,,,"[8.9, 53.6]",,Low Pass,,5.936329,,,,Marc-André ter Stegen,20055.0,,,,,,Recovery,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,"['17295994-ed6f-45d9-9436-8bc1f97f944c', '1a56b52e-2d76-4fc1-b6b7-2f9423b8f6f7', 'fcc6565f-7726-4f7a-88ae-eec1bd54f3e6']",5,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.851,Pass,True,2016/2017
,,,,,,,,,,,,,,,,2.2523,,,,,,,,,,,,,,9285c5df-1d5a-40b2-baf2-27002b4d1046,14,,"[8.5, 53.8]",267373,0,,,,,0.08293889,,Right Foot,,,,"[49.4, 57.2]",,High Pass,,41.041077,,Incomplete,,,,,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,"['07b5fd80-7243-4bb2-a566-d56387d8b9c3', '2f4715d8-249a-4298-a54a-a5cf5bd184b2']",6,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.916,Pass,True,2016/2017
