50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dfef57cd-4417-426a-a82e-8620dcda00f4,1,,,,267400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,46b58f1a-0a81-417c-83dd-d10b33934eee,2,,,,267400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 27460, 'name': 'Julián Cuesta Díaz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27459, 'name': 'Antonio Marín Molina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 25824, 'name': 'Ángel Trujillo Canorea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26612, 'name': 'José Manuel Casado Bizcocho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 6383, 'name': 'Thomas Teye Partey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 26432, 'name': 'Miguel Ángel García Pérez Roldán'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 25723, 'name': 'Wellington Alves da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 21445, 'name': 'Javier Espinosa González'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 26387, 'name': 'Edgar Antonio Méndez Ortega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 26775, 'name': 'Thievy Guivane Bifouma Koulossa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Almería,403,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d5788d73-1fc7-4ec8-a714-11674399f40d,3,,,,267400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['55e0dc89-3866-4ae2-9190-c4d3647572d0'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,55e0dc89-3866-4ae2-9190-c4d3647572d0,4,,,,267400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d5788d73-1fc7-4ec8-a714-11674399f40d'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d3fe1975-7b8f-4354-b410-6882896029b2,1661,,,,267400,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,93,Barcelona,217,['2cfd5f56-90e8-4dc6-80f3-bbe3d9dd8698'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2cfd5f56-90e8-4dc6-80f3-bbe3d9dd8698,1662,,,,267400,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,93,Barcelona,217,['d3fe1975-7b8f-4354-b410-6882896029b2'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.352006,,,,,,,,,,,,0ce2f314-0009-4632-8d50-3e60e27dd8d3,5,,,"[61.0, 40.1]",267400,0,,,,,-2.786887,,Right Foot,,,,"[58.3, 39.1]",,Ground Pass,,2.879236,,,,,Thievy Guivane Bifouma Koulossa,26775.0,,,,,Kick Off,1,From Kick Off,Javier Espinosa González,21445.0,Center Attacking Midfield,2,Almería,403,['7e4ae0ca-efb1-4f28-9c6c-b0b66921d5d1'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.800,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,2.100854,,,,,,,,,,,,c14e912e-3924-4b27-9fcd-128787974126,8,,,"[58.2, 39.6]",267400,0,,,,,2.56159,,Right Foot,,,,"[37.9, 52.9]",,Ground Pass,,24.26891,,,,,Joaquín Navarro Jiménez,6923.0,,,,,,1,From Kick Off,Thievy Guivane Bifouma Koulossa,26775.0,Center Forward,2,Almería,403,['f7ba1e33-2dca-41c3-89ca-b19a06e26285'],1,,,,,,,,,,,,,,,,,Almería,403,00:00:01.712,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,2.879041,,,,,,,,,,,,7a03987c-de33-4b0e-b145-29569ed61c14,12,,,"[42.4, 55.0]",267400,0,,,,,-0.5540598,,Right Foot,,,,"[84.1, 29.2]",,High Pass,,49.036007,,,Incomplete,,Edgar Antonio Méndez Ortega,26387.0,,,,,,1,From Kick Off,Joaquín Navarro Jiménez,6923.0,Left Center Back,2,Almería,403,"['7a93aab0-2d1d-4692-90a7-4d768240d656', 'ac18869b-f77d-492d-9ff8-d424f3b0723e', 'e664c7b1-7261-4e1a-b265-46d2e86421e6']",4,,,,,,,,,,,,,,,,,Almería,403,00:00:04.867,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,1.560335,,,,,,,,,,,,996f9e5f-1385-438f-8372-3b6b16472bf6,15,,,"[68.5, 30.2]",267400,0,,,,,-0.9990195,,Right Foot,,,,"[75.9, 18.7]",,Low Pass,,13.67516,,,,,Edgar Antonio Méndez Ortega,26387.0,,,,,Recovery,1,From Kick Off,Thievy Guivane Bifouma Koulossa,26775.0,Center Forward,2,Almería,403,['708512e5-cb41-4e29-8413-e0eb640e33bb'],8,,,,,,,,,,,,,,,,,Almería,403,00:00:08.999,Pass,,2014/2015
